max_bins,min_samples_leaf,interactions,max_leaves,learning_rate,max_rounds,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
4.0,32.0,2.0,10000.0,1.0,25.0,0.967703,0.032547,0.03697,0.051877,0.296222,0.268829,,,,10.14,19260817.0,-1.0,0.0
4096.0,2.0,2.0,10000.0,1.0,200.0,0.871938,-0.169259,-0.124623,0.103302,0.325655,0.290509,,,,15.95,19260817.0,-1.0,1.0
4096.0,32.0,8.0,100.0,0.001,200.0,0.947762,-0.010457,-0.017889,0.065977,0.302734,0.27638,,,,13.22,19260817.0,-1.0,2.0
4096.0,32.0,8.0,10000.0,0.001,200.0,0.879016,-0.06602,-0.120442,0.100406,0.310946,0.289968,,,,14.72,19260817.0,-1.0,3.0
4.0,32.0,2.0,100.0,1.0,200.0,0.968395,0.019369,-0.00811,0.051319,0.298232,0.275049,,,,9.09,19260817.0,-1.0,4.0
4096.0,32.0,2.0,100.0,0.001,200.0,0.947499,-0.011079,-0.01754,0.066143,0.302827,0.276332,,,,13.46,19260817.0,-1.0,5.0
4096.0,2.0,2.0,10000.0,1.0,25.0,0.871938,-0.169259,-0.124623,0.103302,0.325655,0.290509,,,,4.22,19260817.0,-1.0,6.0
4096.0,2.0,8.0,100.0,1.0,200.0,0.940051,-0.106834,-0.149801,0.070679,0.316842,0.293743,,,,14.21,19260817.0,-1.0,7.0
4.0,32.0,2.0,100.0,0.001,200.0,0.259125,0.064387,-0.040607,0.248467,0.291306,0.279447,,,,9.0,19260817.0,-1.0,8.0
4.0,2.0,8.0,100.0,0.001,25.0,0.178426,-0.148656,-0.307066,0.261649,0.322773,0.313188,,,,10.17,19260817.0,-1.0,9.0
4.0,2.0,8.0,10000.0,0.001,200.0,0.616239,0.038157,0.003126,0.178824,0.295362,0.273512,,,,20.81,19260817.0,-1.0,10.0
4.0,32.0,8.0,100.0,1.0,25.0,0.966562,0.089027,-0.103584,0.052786,0.287445,0.287779,,,,2.74,19260817.0,-1.0,11.0
4.0,2.0,8.0,100.0,0.001,200.0,0.616239,0.038157,0.003126,0.178824,0.295362,0.273512,,,,11.15,19260817.0,-1.0,12.0
4.0,2.0,8.0,100.0,1.0,25.0,0.969372,0.076394,-0.036923,0.050519,0.289431,0.278952,,,,3.35,19260817.0,-1.0,13.0
4096.0,2.0,2.0,100.0,1.0,25.0,0.941242,-0.138657,-0.136894,0.069973,0.321365,0.292089,,,,2.93,19260817.0,-1.0,14.0
4.0,2.0,8.0,100.0,1.0,200.0,0.967538,0.110462,-0.044576,0.05201,0.284043,0.279979,,,,8.95,19260817.0,-1.0,15.0
4096.0,2.0,2.0,10000.0,0.001,200.0,0.878964,-0.066145,-0.120445,0.100428,0.310964,0.289969,,,,14.58,19260817.0,-1.0,16.0
4.0,32.0,8.0,100.0,0.001,200.0,0.593077,0.107279,-0.017828,0.184142,0.284551,0.276371,,,,9.47,19260817.0,-1.0,17.0
4096.0,32.0,2.0,10000.0,1.0,200.0,0.871938,-0.169259,-0.124623,0.103302,0.325655,0.290509,,,,12.84,19260817.0,-1.0,18.0
4096.0,32.0,8.0,100.0,1.0,200.0,0.938918,-0.118282,-0.105207,0.071343,0.318477,0.28799,,,,9.52,19260817.0,-1.0,19.0
4096.0,2.0,8.0,10000.0,1.0,25.0,0.871938,-0.169259,-0.124623,0.103302,0.325655,0.290509,,,,3.72,19260817.0,-1.0,20.0
4096.0,32.0,2.0,100.0,1.0,25.0,0.93987,-0.115594,-0.092544,0.070785,0.318094,0.286336,,,,1.99,19260817.0,-1.0,21.0
4.0,2.0,2.0,10000.0,0.001,25.0,-0.017046,-0.16123,-0.319119,0.291116,0.324535,0.314628,,,,2.53,19260817.0,-1.0,22.0
4096.0,32.0,8.0,10000.0,0.001,25.0,0.629053,-0.296611,-0.500756,0.175813,0.342931,0.335591,,,,2.87,19260817.0,-1.0,23.0
4096.0,32.0,8.0,10000.0,1.0,200.0,0.871938,-0.169259,-0.124623,0.103302,0.325655,0.290509,,,,12.47,19260817.0,-1.0,24.0
4096.0,32.0,2.0,100.0,1.0,200.0,0.939603,-0.111638,-0.078884,0.070942,0.317529,0.28454,,,,8.83,19260817.0,-1.0,25.0
4096.0,32.0,2.0,10000.0,0.001,25.0,0.571761,-0.31255,-0.517311,0.188903,0.345033,0.337437,,,,2.63,19260817.0,-1.0,26.0
4096.0,2.0,8.0,100.0,1.0,25.0,0.935302,-0.086043,-0.141562,0.073424,0.313853,0.292688,,,,2.79,19260817.0,-1.0,27.0
4.0,32.0,2.0,100.0,1.0,25.0,0.967703,0.032547,0.03697,0.051877,0.296222,0.268829,,,,1.93,19260817.0,-1.0,28.0
4.0,32.0,8.0,10000.0,0.001,200.0,0.593077,0.107279,-0.017828,0.184142,0.284551,0.276371,,,,7.68,19260817.0,-1.0,29.0
4.0,32.0,2.0,100.0,0.001,25.0,-0.052146,-0.163749,-0.327475,0.296097,0.324887,0.315623,,,,2.04,19260817.0,-1.0,30.0
4096.0,32.0,2.0,100.0,0.001,25.0,0.601431,-0.217705,-0.378018,0.182242,0.332333,0.321576,,,,2.31,19260817.0,-1.0,31.0
4096.0,2.0,8.0,10000.0,0.001,25.0,0.628216,-0.304185,-0.514485,0.176012,0.343931,0.337123,,,,3.15,19260817.0,-1.0,32.0
4.0,32.0,2.0,10000.0,0.001,25.0,-0.052146,-0.163749,-0.327475,0.296097,0.324887,0.315623,,,,1.71,19260817.0,-1.0,33.0
4096.0,2.0,2.0,100.0,1.0,200.0,0.940009,-0.155893,-0.143033,0.070703,0.323788,0.292877,,,,9.5,19260817.0,-1.0,34.0
4.0,32.0,8.0,10000.0,1.0,200.0,0.959005,0.091229,-0.021,0.058447,0.287097,0.276802,,,,10.96,19260817.0,-1.0,35.0
4.0,32.0,8.0,100.0,1.0,200.0,0.959005,0.091229,-0.021,0.058447,0.287097,0.276802,,,,7.72,19260817.0,-1.0,36.0
4.0,32.0,8.0,100.0,0.001,25.0,0.203195,-0.143868,-0.302783,0.257675,0.322099,0.312674,,,,3.51,19260817.0,-1.0,37.0
4096.0,32.0,8.0,10000.0,1.0,25.0,0.871938,-0.169259,-0.124623,0.103302,0.325655,0.290509,,,,5.35,19260817.0,-1.0,38.0
4.0,2.0,8.0,10000.0,1.0,25.0,0.969372,0.076394,-0.036923,0.050519,0.289431,0.278952,,,,6.49,19260817.0,-1.0,39.0
4.0,2.0,2.0,100.0,1.0,25.0,0.963542,-0.021284,-0.010868,0.055118,0.304351,0.275425,,,,7.15,19260817.0,-1.0,40.0
4.0,2.0,2.0,10000.0,1.0,25.0,0.963542,-0.021284,-0.010868,0.055118,0.304351,0.275425,,,,7.94,19260817.0,-1.0,41.0
4.0,2.0,2.0,100.0,0.001,25.0,-0.017046,-0.16123,-0.319119,0.291116,0.324535,0.314628,,,,5.2,19260817.0,-1.0,42.0
4096.0,32.0,2.0,10000.0,0.001,200.0,0.878946,-0.066041,-0.120359,0.100435,0.310949,0.289958,,,,18.8,19260817.0,-1.0,43.0
4.0,32.0,2.0,10000.0,1.0,200.0,0.968395,0.019369,-0.00811,0.051319,0.298232,0.275049,,,,11.73,19260817.0,-1.0,44.0
4096.0,32.0,8.0,100.0,0.001,25.0,0.669585,-0.201961,-0.363214,0.16593,0.330177,0.319844,,,,3.3,19260817.0,-1.0,45.0
4096.0,2.0,2.0,100.0,0.001,200.0,0.947478,-0.011691,-0.017417,0.066155,0.302919,0.276316,,,,12.94,19260817.0,-1.0,46.0
4.0,2.0,8.0,10000.0,0.001,25.0,0.178426,-0.148656,-0.307066,0.261649,0.322773,0.313188,,,,3.74,19260817.0,-1.0,47.0
4096.0,32.0,2.0,10000.0,1.0,25.0,0.871938,-0.169259,-0.124623,0.103302,0.325655,0.290509,,,,2.81,19260817.0,-1.0,48.0
4.0,2.0,2.0,100.0,1.0,200.0,0.970606,-0.035623,-0.078182,0.049491,0.306481,0.284447,,,,12.1,19260817.0,-1.0,49.0
4.0,32.0,8.0,10000.0,1.0,25.0,0.966562,0.089027,-0.103584,0.052786,0.287445,0.287779,,,,4.12,19260817.0,-1.0,50.0
4.0,2.0,8.0,10000.0,1.0,200.0,0.967538,0.110462,-0.044576,0.05201,0.284043,0.279979,,,,11.0,19260817.0,-1.0,51.0
4096.0,2.0,8.0,10000.0,0.001,200.0,0.87902,-0.066106,-0.120487,0.100404,0.310958,0.289974,,,,16.26,19260817.0,-1.0,52.0
4096.0,32.0,8.0,100.0,1.0,25.0,0.939633,-0.106272,-0.054504,0.070925,0.316762,0.281307,,,,3.88,19260817.0,-1.0,53.0
4.0,2.0,2.0,10000.0,1.0,200.0,0.970606,-0.035623,-0.078182,0.049491,0.306481,0.284447,,,,10.95,19260817.0,-1.0,54.0
4096.0,2.0,8.0,100.0,0.001,25.0,0.669083,-0.211423,-0.372009,0.166056,0.331474,0.320874,,,,6.12,19260817.0,-1.0,55.0
4.0,32.0,8.0,10000.0,0.001,25.0,0.203195,-0.143868,-0.302783,0.257675,0.322099,0.312674,,,,3.02,19260817.0,-1.0,56.0
4.0,2.0,2.0,10000.0,0.001,200.0,0.274369,0.043984,-0.013473,0.245897,0.294466,0.275779,,,,10.67,19260817.0,-1.0,57.0
