n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,warnings,Precedence
25.0,192.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,17.0
800.0,3.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,18.0
800.0,24.0,1.0,1.0,0.1,0.0001,0.999527,-0.098857,0.115992,0.006279,0.315699,0.257563,,,,0.08,19260817.0,-1.0,none,19.0
800.0,24.0,0.4,1.0,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,0.17,19260817.0,-1.0,none,20.0
25.0,24.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,21.0
800.0,192.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,22.0
25.0,192.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,23.0
800.0,192.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,24.0
800.0,192.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,25.0
25.0,24.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,26.0
25.0,192.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,27.0
800.0,3.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,28.0
25.0,24.0,0.4,1.0,0.1,0.0001,0.642793,0.074575,0.0542,0.172527,0.289716,0.266413,,,,0.01,19260817.0,-1.0,none,29.0
800.0,24.0,0.4,1.0,0.1,0.0001,0.999527,-0.098857,0.115992,0.006279,0.315699,0.257563,,,,0.09,19260817.0,-1.0,none,30.0
800.0,24.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,31.0
25.0,192.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,32.0
25.0,24.0,0.4,0.4,0.1,0.0001,0.619504,-0.029757,0.037174,0.178062,0.305611,0.2688,,,,0.04,19260817.0,-1.0,none,33.0
25.0,24.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,34.0
25.0,24.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,35.0
800.0,24.0,1.0,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,36.0
800.0,3.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,37.0
800.0,24.0,1.0,1.0,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,0.07,19260817.0,-1.0,none,38.0
25.0,3.0,0.4,1.0,0.1,0.0001,0.583476,0.058261,0.049631,0.186301,0.292259,0.267056,,,,0.01,19260817.0,-1.0,none,39.0
800.0,192.0,1.0,0.4,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280447,,,,0.1,19260817.0,-1.0,none,40.0
800.0,24.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,41.0
25.0,192.0,0.4,0.4,0.1,0.0001,0.619504,-0.029757,0.037174,0.178062,0.305611,0.2688,,,,0.0,19260817.0,-1.0,none,42.0
800.0,192.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,-1.0,none,43.0
25.0,3.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,44.0
25.0,192.0,0.4,1.0,0.1,0.0001,0.642793,0.074575,0.0542,0.172527,0.289716,0.266413,,,,0.0,19260817.0,-1.0,none,45.0
25.0,192.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,46.0
800.0,192.0,1.0,1.0,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,0.14,19260817.0,-1.0,none,47.0
25.0,24.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,48.0
800.0,192.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,49.0
800.0,192.0,0.4,1.0,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,0.11,19260817.0,-1.0,none,50.0
800.0,24.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,51.0
25.0,192.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,52.0
25.0,3.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,53.0
800.0,24.0,0.4,0.4,0.1,0.0001,0.999506,-0.135564,0.060216,0.006413,0.320928,0.265564,,,,0.11,19260817.0,-1.0,none,54.0
800.0,3.0,0.4,0.4,0.1,0.0001,0.999121,-0.138287,0.000289,0.008558,0.321313,0.273901,,,,0.06,19260817.0,-1.0,none,55.0
25.0,192.0,0.4,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,56.0
25.0,3.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,57.0
25.0,3.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,58.0
800.0,3.0,1.0,0.4,0.1,0.0001,0.999121,-0.138287,0.000289,0.008558,0.321313,0.273901,,,,0.16,19260817.0,-1.0,none,59.0
800.0,192.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,60.0
25.0,24.0,1.0,1.0,0.1,0.0001,0.642793,0.074575,0.0542,0.172527,0.289716,0.266413,,,,0.01,19260817.0,-1.0,none,61.0
25.0,192.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,62.0
800.0,24.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,63.0
25.0,3.0,1.0,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,64.0
800.0,24.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,65.0
25.0,192.0,1.0,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,66.0
800.0,3.0,1.0,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.05,19260817.0,-1.0,none,67.0
800.0,3.0,1.0,1.0,0.1,0.0001,0.999359,-0.098101,0.038551,0.007306,0.31559,0.268608,,,,0.11,19260817.0,-1.0,none,68.0
800.0,3.0,0.4,1.0,0.1,0.0001,0.999359,-0.098101,0.038551,0.007306,0.31559,0.268608,,,,0.08,19260817.0,-1.0,none,69.0
800.0,3.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,70.0
800.0,192.0,1.0,1.0,0.1,0.0001,0.999527,-0.098857,0.115992,0.006279,0.315699,0.257563,,,,0.22,19260817.0,-1.0,none,71.0
25.0,24.0,1.0,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,72.0
25.0,3.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,73.0
25.0,3.0,1.0,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,74.0
25.0,3.0,0.4,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,75.0
800.0,192.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,76.0
800.0,192.0,1.0,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.05,19260817.0,-1.0,none,77.0
800.0,3.0,1.0,0.4,1e-08,0.0001,3e-06,-0.008999,-0.048065,0.288666,0.302515,0.280447,,,,0.09,19260817.0,-1.0,none,78.0
800.0,24.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,79.0
25.0,24.0,1.0,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,80.0
800.0,192.0,0.4,1.0,0.1,0.0001,0.999527,-0.098857,0.115992,0.006279,0.315699,0.257563,,,,0.22,19260817.0,-1.0,none,81.0
25.0,3.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,82.0
800.0,3.0,1.0,1.0,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,0.14,19260817.0,-1.0,none,83.0
25.0,24.0,1.0,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,84.0
800.0,192.0,1.0,0.4,0.1,0.0001,0.999506,-0.135564,0.060216,0.006413,0.320928,0.265564,,,,0.16,19260817.0,-1.0,none,85.0
25.0,3.0,1.0,1.0,0.1,0.0001,0.583476,0.058261,0.049631,0.186301,0.292259,0.267056,,,,0.01,19260817.0,-1.0,none,86.0
800.0,192.0,0.4,0.4,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280447,,,,0.22,19260817.0,-1.0,none,87.0
800.0,3.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.09,19260817.0,-1.0,none,88.0
25.0,3.0,1.0,0.4,0.1,0.0001,0.553226,0.044504,-0.039003,0.192948,0.294386,0.279231,,,,0.01,19260817.0,-1.0,none,89.0
25.0,3.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,90.0
800.0,192.0,0.4,0.4,0.1,0.0001,0.999506,-0.135564,0.060216,0.006413,0.320928,0.265564,,,,0.2,19260817.0,-1.0,none,91.0
800.0,24.0,1.0,0.4,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280447,,,,0.27,19260817.0,-1.0,none,92.0
25.0,192.0,1.0,0.4,0.1,0.0001,0.619504,-0.029757,0.037174,0.178062,0.305611,0.2688,,,,0.02,19260817.0,-1.0,none,93.0
200.0,24.0,0.7,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.07,19260817.0,-1.0,none,94.0
25.0,192.0,1.0,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,95.0
800.0,24.0,0.4,0.4,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280447,,,,0.2,19260817.0,-1.0,none,96.0
100.0,24.0,0.7,0.7,0.0001,0.1,0.004684,-0.007438,-0.046166,0.28799,0.302281,0.280192,,,,0.03,19260817.0,-1.0,none,97.0
400.0,24.0,0.7,0.7,0.0001,0.1,0.018547,-0.002863,-0.041872,0.285977,0.301594,0.279617,,,,0.15,19260817.0,-1.0,none,98.0
200.0,12.0,0.7,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.04,19260817.0,-1.0,none,99.0
200.0,48.0,0.7,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.1,19260817.0,-1.0,none,100.0
200.0,24.0,0.55,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.05,19260817.0,-1.0,none,101.0
200.0,24.0,0.85,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.06,19260817.0,-1.0,none,102.0
200.0,24.0,0.7,0.55,0.0001,0.1,0.009213,-0.00583,-0.044961,0.287334,0.30204,0.280031,,,,0.13,19260817.0,-1.0,none,103.0
200.0,24.0,0.7,0.85,0.0001,0.1,0.009621,-0.005968,-0.044732,0.287274,0.302061,0.28,,,,0.04,19260817.0,-1.0,none,104.0
200.0,24.0,0.7,0.7,1e-06,0.1,9.5e-05,-0.008965,-0.048026,0.288653,0.30251,0.280441,,,,0.13,19260817.0,-1.0,none,105.0
200.0,24.0,0.7,0.7,0.01,0.1,0.562216,0.105688,0.025457,0.190997,0.284804,0.270431,,,,0.04,19260817.0,-1.0,none,106.0
200.0,24.0,0.7,0.7,0.0001,0.01,0.009575,-0.00584,-0.044667,0.287281,0.302041,0.279991,,,,0.08,19260817.0,-1.0,none,107.0
200.0,24.0,0.7,0.7,0.0001,1.0,0.007717,-0.006449,-0.045447,0.28755,0.302133,0.280096,,,,0.03,19260817.0,-1.0,none,108.0
50.0,24.0,0.7,0.7,0.0001,0.1,0.002357,-0.008165,-0.047081,0.288326,0.30239,0.280315,,,,0.01,19260817.0,-1.0,none,109.0
100.0,12.0,0.7,0.7,0.0001,0.1,0.004684,-0.007438,-0.046166,0.28799,0.302281,0.280192,,,,0.02,19260817.0,-1.0,none,110.0
100.0,48.0,0.7,0.7,0.0001,0.1,0.004684,-0.007438,-0.046166,0.28799,0.302281,0.280192,,,,0.02,19260817.0,-1.0,none,111.0
100.0,24.0,0.55,0.7,0.0001,0.1,0.004684,-0.007438,-0.046166,0.28799,0.302281,0.280192,,,,0.03,19260817.0,-1.0,none,112.0
100.0,24.0,0.85,0.7,0.0001,0.1,0.004684,-0.007438,-0.046166,0.28799,0.302281,0.280192,,,,0.03,19260817.0,-1.0,none,113.0
100.0,24.0,0.7,0.55,0.0001,0.1,0.004596,-0.007289,-0.046409,0.288002,0.302259,0.280225,,,,0.02,19260817.0,-1.0,none,114.0
100.0,24.0,0.7,0.85,0.0001,0.1,0.004825,-0.007436,-0.046256,0.287969,0.302281,0.280204,,,,0.02,19260817.0,-1.0,none,115.0
100.0,24.0,0.7,0.7,1e-06,0.1,4.7e-05,-0.008983,-0.048045,0.28866,0.302513,0.280444,,,,0.02,19260817.0,-1.0,none,116.0
100.0,24.0,0.7,0.7,0.01,0.1,0.363476,0.106485,0.004752,0.230305,0.284677,0.273289,,,,0.02,19260817.0,-1.0,none,117.0
100.0,24.0,0.7,0.7,0.0001,0.01,0.004767,-0.007408,-0.046138,0.287978,0.302277,0.280189,,,,0.06,19260817.0,-1.0,none,118.0
100.0,24.0,0.7,0.7,0.0001,1.0,0.003862,-0.007769,-0.046733,0.288108,0.302331,0.280268,,,,0.08,19260817.0,-1.0,none,119.0
800.0,24.0,0.7,0.7,0.0001,0.1,0.03653,0.002821,-0.036674,0.283345,0.300738,0.278918,,,,0.15,19260817.0,-1.0,none,120.0
400.0,12.0,0.7,0.7,0.0001,0.1,0.018547,-0.002863,-0.041872,0.285977,0.301594,0.279617,,,,0.07,19260817.0,-1.0,none,121.0
400.0,48.0,0.7,0.7,0.0001,0.1,0.018547,-0.002863,-0.041872,0.285977,0.301594,0.279617,,,,0.07,19260817.0,-1.0,none,122.0
400.0,24.0,0.55,0.7,0.0001,0.1,0.018547,-0.002863,-0.041872,0.285977,0.301594,0.279617,,,,0.06,19260817.0,-1.0,none,123.0
400.0,24.0,0.85,0.7,0.0001,0.1,0.018547,-0.002863,-0.041872,0.285977,0.301594,0.279617,,,,0.1,19260817.0,-1.0,none,124.0
400.0,24.0,0.7,0.55,0.0001,0.1,0.018231,-0.002648,-0.042289,0.286023,0.301562,0.279673,,,,0.06,19260817.0,-1.0,none,125.0
400.0,24.0,0.7,0.85,0.0001,0.1,0.018986,-0.003135,-0.041731,0.285913,0.301635,0.279598,,,,0.12,19260817.0,-1.0,none,126.0
400.0,24.0,0.7,0.7,1e-06,0.1,0.00019,-0.00893,-0.04799,0.288639,0.302505,0.280436,,,,0.06,19260817.0,-1.0,none,127.0
400.0,24.0,0.7,0.7,0.01,0.1,0.756562,0.068991,0.035589,0.142426,0.290589,0.269022,,,,0.12,19260817.0,-1.0,none,128.0
400.0,24.0,0.7,0.7,0.0001,0.01,0.018894,-0.00276,-0.041799,0.285926,0.301579,0.279607,,,,0.06,19260817.0,-1.0,none,129.0
400.0,24.0,0.7,0.7,0.0001,1.0,0.015271,-0.003797,-0.042839,0.286454,0.301735,0.279746,,,,0.09,19260817.0,-1.0,none,130.0
200.0,6.0,0.7,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.03,19260817.0,-1.0,none,131.0
200.0,12.0,0.55,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.03,19260817.0,-1.0,none,132.0
200.0,12.0,0.85,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.03,19260817.0,-1.0,none,133.0
200.0,12.0,0.7,0.55,0.0001,0.1,0.009213,-0.00583,-0.044961,0.287334,0.30204,0.280031,,,,0.07,19260817.0,-1.0,none,134.0
200.0,12.0,0.7,0.85,0.0001,0.1,0.009621,-0.005968,-0.044732,0.287274,0.302061,0.28,,,,0.03,19260817.0,-1.0,none,135.0
200.0,12.0,0.7,0.7,1e-06,0.1,9.5e-05,-0.008965,-0.048026,0.288653,0.30251,0.280441,,,,0.04,19260817.0,-1.0,none,136.0
200.0,12.0,0.7,0.7,0.01,0.1,0.562216,0.105688,0.025457,0.190997,0.284804,0.270431,,,,0.03,19260817.0,-1.0,none,137.0
200.0,12.0,0.7,0.7,0.0001,0.01,0.009575,-0.00584,-0.044667,0.287281,0.302041,0.279991,,,,0.12,19260817.0,-1.0,none,138.0
200.0,12.0,0.7,0.7,0.0001,1.0,0.007717,-0.006449,-0.045447,0.28755,0.302133,0.280096,,,,0.03,19260817.0,-1.0,none,139.0
200.0,96.0,0.7,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.04,19260817.0,-1.0,none,140.0
200.0,48.0,0.55,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.05,19260817.0,-1.0,none,141.0
200.0,48.0,0.85,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.04,19260817.0,-1.0,none,142.0
200.0,48.0,0.7,0.55,0.0001,0.1,0.009213,-0.00583,-0.044961,0.287334,0.30204,0.280031,,,,0.04,19260817.0,-1.0,none,143.0
200.0,48.0,0.7,0.85,0.0001,0.1,0.009621,-0.005968,-0.044732,0.287274,0.302061,0.28,,,,0.06,19260817.0,-1.0,none,144.0
200.0,48.0,0.7,0.7,1e-06,0.1,9.5e-05,-0.008965,-0.048026,0.288653,0.30251,0.280441,,,,0.04,19260817.0,-1.0,none,145.0
200.0,48.0,0.7,0.7,0.01,0.1,0.562216,0.105688,0.025457,0.190997,0.284804,0.270431,,,,0.04,19260817.0,-1.0,none,146.0
200.0,48.0,0.7,0.7,0.0001,0.01,0.009575,-0.00584,-0.044667,0.287281,0.302041,0.279991,,,,0.12,19260817.0,-1.0,none,147.0
200.0,48.0,0.7,0.7,0.0001,1.0,0.007717,-0.006449,-0.045447,0.28755,0.302133,0.280096,,,,0.02,19260817.0,-1.0,none,148.0
200.0,24.0,0.4,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.02,19260817.0,-1.0,none,149.0
200.0,24.0,0.55,0.55,0.0001,0.1,0.009213,-0.00583,-0.044961,0.287334,0.30204,0.280031,,,,0.03,19260817.0,-1.0,none,150.0
200.0,24.0,0.55,0.85,0.0001,0.1,0.009621,-0.005968,-0.044732,0.287274,0.302061,0.28,,,,0.06,19260817.0,-1.0,none,151.0
200.0,24.0,0.55,0.7,1e-06,0.1,9.5e-05,-0.008965,-0.048026,0.288653,0.30251,0.280441,,,,0.02,19260817.0,-1.0,none,152.0
200.0,24.0,0.55,0.7,0.01,0.1,0.562216,0.105688,0.025457,0.190997,0.284804,0.270431,,,,0.03,19260817.0,-1.0,none,153.0
200.0,24.0,0.55,0.7,0.0001,0.01,0.009575,-0.00584,-0.044667,0.287281,0.302041,0.279991,,,,0.03,19260817.0,-1.0,none,154.0
200.0,24.0,0.55,0.7,0.0001,1.0,0.007717,-0.006449,-0.045447,0.28755,0.302133,0.280096,,,,0.05,19260817.0,-1.0,none,155.0
200.0,24.0,1.0,0.7,0.0001,0.1,0.009406,-0.00587,-0.044702,0.287306,0.302046,0.279996,,,,0.04,19260817.0,-1.0,none,156.0
200.0,24.0,0.85,0.55,0.0001,0.1,0.009213,-0.00583,-0.044961,0.287334,0.30204,0.280031,,,,0.02,19260817.0,-1.0,none,157.0
200.0,24.0,0.85,0.85,0.0001,0.1,0.009621,-0.005968,-0.044732,0.287274,0.302061,0.28,,,,0.03,19260817.0,-1.0,none,158.0
200.0,24.0,0.85,0.7,1e-06,0.1,9.5e-05,-0.008965,-0.048026,0.288653,0.30251,0.280441,,,,0.03,19260817.0,-1.0,none,159.0
200.0,24.0,0.85,0.7,0.01,0.1,0.562216,0.105688,0.025457,0.190997,0.284804,0.270431,,,,0.08,19260817.0,-1.0,none,160.0
200.0,24.0,0.85,0.7,0.0001,0.01,0.009575,-0.00584,-0.044667,0.287281,0.302041,0.279991,,,,0.03,19260817.0,-1.0,none,161.0
200.0,24.0,0.85,0.7,0.0001,1.0,0.007717,-0.006449,-0.045447,0.28755,0.302133,0.280096,,,,0.02,19260817.0,-1.0,none,162.0
200.0,24.0,0.7,0.4,0.0001,0.1,0.008844,-0.005872,-0.045425,0.287387,0.302046,0.280093,,,,0.03,19260817.0,-1.0,none,163.0
200.0,24.0,0.7,0.55,1e-06,0.1,9.3e-05,-0.008967,-0.048033,0.288653,0.302511,0.280442,,,,0.05,19260817.0,-1.0,none,164.0
200.0,24.0,0.7,0.55,0.01,0.1,0.550614,0.112253,0.017657,0.193511,0.283757,0.271511,,,,0.03,19260817.0,-1.0,none,165.0
200.0,24.0,0.7,0.55,0.0001,0.01,0.009379,-0.0058,-0.04491,0.287309,0.302035,0.280024,,,,0.1,19260817.0,-1.0,none,166.0
200.0,24.0,0.7,0.55,0.0001,1.0,0.007482,-0.006364,-0.045816,0.287584,0.30212,0.280145,,,,0.1,19260817.0,-1.0,none,167.0
200.0,24.0,0.7,1.0,0.0001,0.1,0.009728,-0.005716,-0.044576,0.287259,0.302023,0.279979,,,,0.05,19260817.0,-1.0,none,168.0
200.0,24.0,0.7,0.85,1e-06,0.1,9.8e-05,-0.008963,-0.048021,0.288652,0.30251,0.280441,,,,0.05,19260817.0,-1.0,none,169.0
200.0,24.0,0.7,0.85,0.01,0.1,0.571857,0.102591,0.012849,0.188882,0.285297,0.272175,,,,0.06,19260817.0,-1.0,none,170.0
