n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,warnings,Precedence
800.0,3.0,0.4,1.0,1e-08,0.0001,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,0.13,19260817.0,-1.0,none,0.0
800.0,3.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.06,19260817.0,-1.0,none,1.0
25.0,192.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,2.0
25.0,3.0,0.4,0.4,0.1,0.0001,0.553226,0.044504,-0.039003,0.192948,0.294386,0.279231,,,,0.01,19260817.0,-1.0,none,3.0
25.0,192.0,1.0,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,4.0
25.0,3.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,5.0
800.0,3.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,6.0
25.0,24.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,7.0
25.0,3.0,1.0,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,8.0
800.0,24.0,1.0,0.4,0.1,0.0001,0.999506,-0.135564,0.060216,0.006413,0.320928,0.265564,,,,0.19,19260817.0,-1.0,none,9.0
25.0,192.0,1.0,1.0,0.1,0.0001,0.642793,0.074575,0.0542,0.172527,0.289716,0.266413,,,,0.01,19260817.0,-1.0,none,10.0
25.0,24.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,11.0
25.0,24.0,0.4,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,12.0
25.0,24.0,1.0,0.4,0.1,0.0001,0.619504,-0.029757,0.037174,0.178062,0.305611,0.2688,,,,0.01,19260817.0,-1.0,none,13.0
800.0,24.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,14.0
800.0,3.0,0.4,0.4,1e-08,0.0001,3e-06,-0.008999,-0.048065,0.288666,0.302515,0.280447,,,,0.07,19260817.0,-1.0,none,15.0
25.0,24.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,-1.0,none,16.0
