n_estimators,max_depth,max_samples,max_features,ccp_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
800.0,192.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.37,19260817.0,-1.0,0.0
25.0,192.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.05,19260817.0,-1.0,1.0
25.0,3.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.05,19260817.0,-1.0,2.0
800.0,192.0,0.4,0.4,1e-08,0.609735,0.1036,0.071915,0.180333,0.285137,0.263906,,,,1.79,19260817.0,-1.0,3.0
25.0,192.0,0.4,1.0,1e-08,0.565154,0.062737,-0.106846,0.190355,0.291563,0.288204,,,,0.05,19260817.0,-1.0,4.0
25.0,192.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,5.0
25.0,24.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.04,19260817.0,-1.0,6.0
800.0,3.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,1.81,19260817.0,-1.0,7.0
800.0,192.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.83,19260817.0,-1.0,8.0
25.0,24.0,0.4,0.4,1e-08,0.55771,0.150914,0.081971,0.191977,0.27751,0.262473,,,,0.06,19260817.0,-1.0,9.0
25.0,3.0,0.4,1.0,1e-08,0.2555,0.060066,0.070306,0.249074,0.291978,0.264135,,,,0.08,19260817.0,-1.0,10.0
25.0,192.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.05,19260817.0,-1.0,11.0
25.0,3.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.1,19260817.0,-1.0,12.0
800.0,3.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.54,19260817.0,-1.0,13.0
25.0,24.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.06,19260817.0,-1.0,14.0
800.0,3.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,2.0,19260817.0,-1.0,15.0
800.0,3.0,0.4,1.0,1e-08,0.24585,0.041082,0.003811,0.250683,0.294912,0.273418,,,,3.79,19260817.0,-1.0,16.0
800.0,24.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,2.11,19260817.0,-1.0,17.0
25.0,24.0,0.4,1.0,1e-08,0.565154,0.062737,-0.106846,0.190355,0.291563,0.288204,,,,0.06,19260817.0,-1.0,18.0
25.0,192.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,19.0
800.0,192.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,3.35,19260817.0,-1.0,20.0
25.0,24.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.05,19260817.0,-1.0,21.0
800.0,192.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.8,19260817.0,-1.0,22.0
25.0,192.0,0.4,0.4,1e-08,0.55771,0.150914,0.081971,0.191977,0.27751,0.262473,,,,0.05,19260817.0,-1.0,23.0
800.0,24.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,2.22,19260817.0,-1.0,24.0
800.0,24.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.32,19260817.0,-1.0,25.0
800.0,24.0,0.4,1.0,1e-08,0.612215,0.097648,0.011416,0.17976,0.286082,0.272372,,,,1.76,19260817.0,-1.0,26.0
800.0,3.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.94,19260817.0,-1.0,27.0
25.0,3.0,0.4,0.4,1e-08,0.383539,0.106538,0.058911,0.226646,0.284669,0.265749,,,,0.05,19260817.0,-1.0,28.0
800.0,3.0,0.4,0.4,1e-08,0.399193,0.081317,0.041218,0.22375,0.288659,0.268235,,,,2.19,19260817.0,-1.0,29.0
25.0,24.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.07,19260817.0,-1.0,30.0
800.0,24.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.72,19260817.0,-1.0,31.0
25.0,24.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.05,19260817.0,-1.0,32.0
800.0,24.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.55,19260817.0,-1.0,33.0
25.0,3.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.05,19260817.0,-1.0,34.0
800.0,3.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.25,19260817.0,-1.0,35.0
25.0,24.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.05,19260817.0,-1.0,36.0
800.0,192.0,0.4,1.0,1e-08,0.612215,0.097648,0.011416,0.17976,0.286082,0.272372,,,,3.06,19260817.0,-1.0,37.0
25.0,3.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,38.0
800.0,3.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.68,19260817.0,-1.0,39.0
25.0,3.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,40.0
25.0,3.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.07,19260817.0,-1.0,41.0
800.0,192.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,4.1,19260817.0,-1.0,42.0
800.0,24.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.27,19260817.0,-1.0,43.0
25.0,192.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.05,19260817.0,-1.0,44.0
