learning_rate,n_estimators,subsample,min_samples_split,max_depth,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
1e-08,800.0,1.0,64.0,48.0,1.0,3e-06,-0.009,-0.048066,0.288666,0.302515,0.280447,,,,0.52,42.0,0.0
10.0,800.0,0.25,64.0,384.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.22,42.0,1.0
1e-08,25.0,1.0,2.0,384.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.17,42.0,2.0
1e-08,25.0,1.0,2.0,48.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.09,42.0,3.0
0.01,800.0,0.25,2.0,3.0,1.0,0.754388,0.180927,0.026593,0.143061,0.272561,0.270273,,,,0.35,42.0,4.0
0.01,25.0,0.25,2.0,48.0,0.25,0.132842,0.014584,-0.02069,0.26881,0.298959,0.27676,,,,0.02,42.0,5.0
1e-08,25.0,1.0,64.0,384.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,6.0
10.0,800.0,1.0,64.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4,42.0,7.0
0.01,25.0,0.25,64.0,3.0,1.0,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,8.0
10.0,25.0,0.25,2.0,3.0,0.25,-1.3427276956854873e+46,-1.248607992322145e+46,-1.5381952303515037e+46,3.344954028170791e+22,3.365233022381138e+22,3.3975163974546033e+22,,,,0.02,42.0,9.0
10.0,800.0,0.25,64.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.24,42.0,10.0
10.0,800.0,1.0,2.0,48.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.34,42.0,11.0
10.0,25.0,1.0,2.0,48.0,1.0,-5.1524861473855e+47,-5.354157966140619e+47,-6.3571107816238e+47,2.0720708271446397e+23,2.20367566984364e+23,2.1841663961717995e+23,,,,0.01,42.0,12.0
10.0,25.0,1.0,64.0,48.0,0.25,-5.845170157248307e+45,-7.451852272837459e+45,-3.89623347114089e+45,2.206961510125148e+22,2.599765672707362e+22,1.7099299441919041e+22,,,,0.03,42.0,13.0
0.01,25.0,1.0,64.0,384.0,0.25,0.116397,0.020357,-0.015891,0.271347,0.298082,0.276108,,,,0.02,42.0,14.0
10.0,25.0,1.0,2.0,384.0,1.0,-5.1524861473855e+47,-5.354157966140619e+47,-6.3571107816238e+47,2.0720708271446397e+23,2.20367566984364e+23,2.1841663961717995e+23,,,,0.01,42.0,15.0
0.01,25.0,0.25,2.0,48.0,1.0,0.133432,0.017678,-0.030349,0.268718,0.29849,0.278066,,,,0.01,42.0,16.0
0.01,800.0,1.0,64.0,48.0,0.25,0.930401,0.111109,0.058636,0.076155,0.28394,0.265787,,,,0.65,42.0,17.0
1e-08,25.0,1.0,64.0,3.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,42.0,18.0
1e-08,800.0,1.0,2.0,48.0,1.0,1.6e-05,-0.008998,-0.048065,0.288664,0.302515,0.280446,,,,0.35,42.0,19.0
1e-08,800.0,0.25,2.0,48.0,0.25,5e-06,-0.008999,-0.048066,0.288666,0.302515,0.280447,,,,0.4,42.0,20.0
0.01,25.0,1.0,64.0,384.0,1.0,0.087611,0.018448,-0.02934,0.275731,0.298372,0.27793,,,,0.01,42.0,21.0
1e-08,800.0,0.25,2.0,3.0,1.0,2e-06,-0.009,-0.048066,0.288666,0.302515,0.280447,,,,0.25,42.0,22.0
0.01,25.0,0.25,64.0,48.0,1.0,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,23.0
1e-08,800.0,1.0,64.0,48.0,0.25,4e-06,-0.008999,-0.048065,0.288666,0.302515,0.280447,,,,0.56,42.0,24.0
