n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
800.0,3.0,0.4,1.0,1e-08,0.0001,0.040768,-0.00201,-0.045659,0.282721,0.301466,0.280124,,,,11.72,19260817.0,-1.0,0.0
800.0,3.0,0.4,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18.54,19260817.0,-1.0,1.0
25.0,192.0,0.4,1.0,1e-08,0.0001,0.001839,-0.010309,-0.052747,0.288401,0.302712,0.281072,,,,4.65,19260817.0,-1.0,2.0
25.0,3.0,0.4,0.4,0.1,0.0001,0.001173,-0.010762,-0.053067,0.288497,0.302779,0.281115,,,,1.42,19260817.0,-1.0,3.0
25.0,192.0,1.0,1.0,1e-08,0.0001,0.004067,-0.01036,-0.051264,0.288079,0.302719,0.280874,,,,6.76,19260817.0,-1.0,4.0
25.0,3.0,0.4,1.0,1e-08,0.0001,0.001261,-0.010573,-0.05273,0.288484,0.302751,0.28107,,,,1.54,19260817.0,-1.0,5.0
800.0,3.0,0.4,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.89,19260817.0,-1.0,6.0
25.0,24.0,0.4,1.0,1e-08,0.0001,0.001839,-0.010309,-0.052747,0.288401,0.302712,0.281072,,,,4.53,19260817.0,-1.0,7.0
25.0,3.0,1.0,0.4,1e-08,0.0001,0.001303,-0.010964,-0.052554,0.288478,0.30281,0.281046,,,,1.91,19260817.0,-1.0,8.0
800.0,24.0,1.0,0.4,0.1,0.0001,0.112966,0.004308,-0.032166,0.271873,0.300514,0.278311,,,,224.47,19260817.0,-1.0,9.0
25.0,192.0,1.0,1.0,0.1,0.0001,0.003792,-0.01042,-0.051379,0.288119,0.302728,0.280889,,,,6.94,19260817.0,-1.0,10.0
25.0,24.0,1.0,0.4,1e-08,10.0,-1.2796581340686725e+42,-1.1535376404913389e+42,-1.425469973766271e+42,3.265450920087455e+20,3.2345805579899804e+20,3.2706559976496575e+20,,,,9.41,19260817.0,-1.0,11.0
25.0,24.0,0.4,0.4,1e-08,0.0001,0.001798,-0.010707,-0.052995,0.288407,0.302771,0.281105,,,,4.54,19260817.0,-1.0,12.0
25.0,24.0,1.0,0.4,0.1,0.0001,0.003664,-0.010706,-0.051986,0.288137,0.302771,0.280971,,,,6.78,19260817.0,-1.0,13.0
800.0,24.0,0.4,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24.95,19260817.0,-1.0,14.0
800.0,3.0,0.4,0.4,1e-08,0.0001,0.03581,-0.004205,-0.047289,0.283451,0.301796,0.280343,,,,52.72,19260817.0,-1.0,15.0
25.0,24.0,1.0,0.4,0.1,10.0,-4.847401451732392e+41,-4.841063840767077e+41,-5.195327286478596e+41,2.0097899684025195e+20,2.095426787729605e+20,1.974523410060501e+20,,,,7.87,19260817.0,-1.0,16.0
25.0,192.0,0.4,1.0,0.1,10.0,-5.483833024689386e+44,-5.0453149616547216e+44,-6.094890241267157e+44,6.759869177480627e+21,6.764663968860586e+21,6.762990475926381e+21,,,,3.19,19260817.0,-1.0,17.0
800.0,3.0,1.0,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.53,19260817.0,-1.0,18.0
800.0,24.0,1.0,1.0,0.1,0.0001,0.117038,-0.001304,-0.022227,0.271248,0.30136,0.276968,,,,183.74,19260817.0,-1.0,19.0
800.0,24.0,0.4,1.0,1e-08,0.0001,0.057002,0.001547,-0.043544,0.280318,0.30093,0.279841,,,,108.08,19260817.0,-1.0,20.0
25.0,24.0,0.4,0.4,0.1,10.0,-9.987457468266008e+44,-9.186150766851575e+44,-1.1081789441071928e+45,9.122705419409597e+21,9.127857913623115e+21,9.119284782439123e+21,,,,3.56,19260817.0,-1.0,21.0
800.0,192.0,1.0,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,27.4,19260817.0,-1.0,22.0
25.0,192.0,0.4,0.4,0.1,10.0,-9.987457468266008e+44,-9.186150766851575e+44,-1.1081789441071928e+45,9.122705419409597e+21,9.127857913623115e+21,9.119284782439123e+21,,,,3.84,19260817.0,-1.0,23.0
800.0,192.0,1.0,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,29.49,19260817.0,-1.0,24.0
800.0,192.0,0.4,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.4,19260817.0,-1.0,25.0
25.0,24.0,1.0,1.0,1e-08,10.0,-1.596059226117471e+44,-1.4711457562335235e+44,-1.778070416598593e+44,3.646873351218225e+21,3.652834015151037e+21,3.652837136364643e+21,,,,6.64,19260817.0,-1.0,26.0
25.0,192.0,1.0,0.4,1e-08,10.0,-1.2796581340686725e+42,-1.1535376404913389e+42,-1.425469973766271e+42,3.265450920087455e+20,3.2345805579899804e+20,3.2706559976496575e+20,,,,7.76,19260817.0,-1.0,27.0
800.0,3.0,0.4,1.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.06,19260817.0,-1.0,28.0
