n_restarts_optimizer,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
0.0,0.999992,-3.120072,-4.203346,0.000834,0.6113,0.624881,,,,0.04,42.0,0.0
5.0,0.999992,-3.120072,-4.203346,0.000834,0.6113,0.624881,,,,0.14,42.0,1.0
3.0,0.999992,-3.120072,-4.203346,0.000834,0.6113,0.624881,,,,0.16,42.0,2.0
2.0,0.999992,-3.120072,-4.203346,0.000834,0.6113,0.624881,,,,0.08,42.0,3.0
4.0,0.999992,-3.120072,-4.203346,0.000834,0.6113,0.624881,,,,0.35,42.0,4.0
1.0,0.999992,-3.120072,-4.203346,0.000834,0.6113,0.624881,,,,0.29,42.0,5.0
