fit_intercept,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,Precedence
0.0,-2.233108,-2.472447,-3.746521,0.519047,0.561203,0.59682,,,,0.0,0.0
1.0,0.304109,0.068507,0.086625,0.240806,0.290664,0.261807,,,,0.0,1.0
