max_bins,min_samples_leaf,interactions,max_leaves,learning_rate,max_rounds,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
4.0,32.0,2.0,10000.0,1.0,25.0,0.949575,-0.037992,-0.009926,0.064821,0.306831,0.275297,,,,3.48,19260817.0,-1.0,0.0
4096.0,2.0,2.0,10000.0,1.0,200.0,0.869116,-0.377967,-0.642204,0.104433,0.353526,0.35105,,,,0.63,19260817.0,-1.0,1.0
4096.0,32.0,8.0,100.0,0.001,200.0,0.948361,0.03475,-0.107792,0.065597,0.295884,0.288327,,,,0.66,19260817.0,-1.0,2.0
4096.0,32.0,8.0,10000.0,0.001,200.0,0.874302,-0.011208,-0.186033,0.102343,0.302846,0.298335,,,,0.66,19260817.0,-1.0,3.0
4.0,32.0,2.0,100.0,1.0,200.0,0.949575,-0.037992,-0.009926,0.064821,0.306831,0.275297,,,,0.38,19260817.0,-1.0,4.0
4096.0,32.0,2.0,100.0,0.001,200.0,0.947218,0.034762,-0.108507,0.066319,0.295882,0.28842,,,,0.55,19260817.0,-1.0,5.0
4096.0,2.0,2.0,10000.0,1.0,25.0,0.869422,-0.377954,-0.642182,0.104311,0.353524,0.351048,,,,0.18,19260817.0,-1.0,6.0
4096.0,2.0,8.0,100.0,1.0,200.0,0.935814,-0.059199,-0.444303,0.073133,0.309949,0.329219,,,,0.56,19260817.0,-1.0,7.0
4.0,32.0,2.0,100.0,0.001,200.0,0.274179,0.030342,-0.007384,0.24593,0.296559,0.27495,,,,0.4,19260817.0,-1.0,8.0
4.0,2.0,8.0,100.0,0.001,25.0,-0.123293,-0.615643,-0.981148,0.305945,0.382802,0.38558,,,,0.26,19260817.0,-1.0,9.0
4.0,2.0,8.0,10000.0,0.001,200.0,0.62922,0.014389,0.014896,0.175774,0.298989,0.271892,,,,0.61,19260817.0,-1.0,10.0
4.0,32.0,8.0,100.0,1.0,25.0,0.945066,-0.037932,-0.010338,0.067658,0.306822,0.275353,,,,0.17,19260817.0,-1.0,11.0
4.0,2.0,8.0,100.0,0.001,200.0,0.62922,0.014389,0.014896,0.175774,0.298989,0.271892,,,,0.64,19260817.0,-1.0,12.0
4.0,2.0,8.0,100.0,1.0,25.0,0.963953,-0.056363,0.02882,0.054806,0.309534,0.269964,,,,0.18,19260817.0,-1.0,13.0
4096.0,2.0,2.0,100.0,1.0,25.0,0.935831,-0.059199,-0.445171,0.073124,0.309949,0.329318,,,,0.17,19260817.0,-1.0,14.0
4.0,2.0,8.0,100.0,1.0,200.0,0.963953,-0.056363,0.02882,0.054806,0.309534,0.269964,,,,0.5,19260817.0,-1.0,15.0
4096.0,2.0,2.0,10000.0,0.001,200.0,0.873696,-0.011789,-0.186764,0.10259,0.302933,0.298427,,,,0.58,19260817.0,-1.0,16.0
4.0,32.0,8.0,100.0,0.001,200.0,0.595903,0.039822,-0.000394,0.183501,0.295106,0.273994,,,,0.53,19260817.0,-1.0,17.0
4096.0,32.0,2.0,10000.0,1.0,200.0,0.869116,-0.377967,-0.642204,0.104433,0.353526,0.35105,,,,0.48,19260817.0,-1.0,18.0
