n_estimators,max_depth,max_samples,max_features,ccp_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
800.0,192.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.86,19260817.0,-1.0,0.0
25.0,192.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.1,19260817.0,-1.0,1.0
25.0,3.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,2.0
800.0,192.0,0.4,0.4,1e-08,0.596009,0.078846,0.031767,0.183477,0.289047,0.269554,,,,1.93,19260817.0,-1.0,3.0
25.0,192.0,0.4,1.0,1e-08,0.594237,-0.016797,0.001691,0.183879,0.303682,0.273709,,,,0.06,19260817.0,-1.0,4.0
25.0,192.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.05,19260817.0,-1.0,5.0
25.0,24.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,6.0
800.0,3.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,1.7,19260817.0,-1.0,7.0
800.0,192.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.05,19260817.0,-1.0,8.0
25.0,24.0,0.4,0.4,1e-08,0.531747,0.047415,0.043153,0.197532,0.293937,0.267964,,,,0.25,19260817.0,-1.0,9.0
25.0,3.0,0.4,1.0,1e-08,0.201584,0.027554,-0.044118,0.257935,0.296985,0.279918,,,,0.06,19260817.0,-1.0,10.0
25.0,192.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.05,19260817.0,-1.0,11.0
25.0,3.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.05,19260817.0,-1.0,12.0
800.0,3.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.58,19260817.0,-1.0,13.0
25.0,24.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.07,19260817.0,-1.0,14.0
800.0,3.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,1.87,19260817.0,-1.0,15.0
800.0,3.0,0.4,1.0,1e-08,0.217479,0.02597,-0.020177,0.255355,0.297227,0.27669,,,,3.25,19260817.0,-1.0,16.0
800.0,24.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,1.99,19260817.0,-1.0,17.0
25.0,24.0,0.4,1.0,1e-08,0.594237,-0.016797,0.001691,0.183879,0.303682,0.273709,,,,0.08,19260817.0,-1.0,18.0
25.0,192.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.08,19260817.0,-1.0,19.0
800.0,192.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,3.04,19260817.0,-1.0,20.0
25.0,24.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,21.0
