n_estimators,max_depth,max_samples,max_features,ccp_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
800.0,192.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.74,19260817.0,-1.0,22.0
25.0,192.0,0.4,0.4,1e-08,0.531747,0.047415,0.043153,0.197532,0.293937,0.267964,,,,0.07,19260817.0,-1.0,23.0
800.0,24.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,1.91,19260817.0,-1.0,24.0
800.0,24.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.38,19260817.0,-1.0,25.0
800.0,24.0,0.4,1.0,1e-08,0.589326,0.076729,0.003482,0.184989,0.289379,0.273463,,,,1.76,19260817.0,-1.0,26.0
800.0,3.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.98,19260817.0,-1.0,27.0
25.0,3.0,0.4,0.4,1e-08,0.357684,0.016959,-0.013696,0.231351,0.298599,0.27581,,,,0.06,19260817.0,-1.0,28.0
800.0,3.0,0.4,0.4,1e-08,0.405709,0.060802,0.013881,0.222534,0.291864,0.272032,,,,2.32,19260817.0,-1.0,29.0
25.0,24.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.15,19260817.0,-1.0,30.0
800.0,24.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.52,19260817.0,-1.0,31.0
25.0,24.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,32.0
800.0,24.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.61,19260817.0,-1.0,33.0
25.0,3.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.07,19260817.0,-1.0,34.0
800.0,3.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.3,19260817.0,-1.0,35.0
25.0,24.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,36.0
800.0,192.0,0.4,1.0,1e-08,0.589326,0.076729,0.003482,0.184989,0.289379,0.273463,,,,2.96,19260817.0,-1.0,37.0
25.0,3.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,38.0
800.0,3.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.7,19260817.0,-1.0,39.0
25.0,3.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.07,19260817.0,-1.0,40.0
25.0,3.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.06,19260817.0,-1.0,41.0
800.0,192.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,4.34,19260817.0,-1.0,42.0
800.0,24.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,2.11,19260817.0,-1.0,43.0
25.0,192.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.06,19260817.0,-1.0,44.0
800.0,192.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,1.54,19260817.0,-1.0,45.0
25.0,192.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.07,19260817.0,-1.0,46.0
800.0,24.0,0.4,0.4,1e-08,0.596009,0.078846,0.031767,0.183477,0.289047,0.269554,,,,2.57,19260817.0,-1.0,47.0
200.0,24.0,0.7,0.7,0.0001,0.767211,0.068694,0.034948,0.139276,0.290635,0.269111,,,,0.91,19260817.0,-1.0,48.0
100.0,24.0,0.7,0.7,0.0001,0.76499,0.036426,0.036092,0.139939,0.295627,0.268951,,,,0.2,19260817.0,-1.0,49.0
400.0,24.0,0.7,0.7,0.0001,0.773503,0.07237,0.016066,0.137381,0.290061,0.271731,,,,1.55,19260817.0,-1.0,50.0
200.0,12.0,0.7,0.7,0.0001,0.768447,0.082668,0.037936,0.138906,0.288447,0.268694,,,,0.43,19260817.0,-1.0,51.0
200.0,48.0,0.7,0.7,0.0001,0.767211,0.068694,0.034948,0.139276,0.290635,0.269111,,,,0.53,19260817.0,-1.0,52.0
200.0,24.0,0.55,0.7,0.0001,0.692623,0.092914,0.024229,0.160041,0.286831,0.270601,,,,0.45,19260817.0,-1.0,53.0
200.0,24.0,0.85,0.7,0.0001,0.832065,0.04307,0.064713,0.118295,0.294606,0.264928,,,,0.42,19260817.0,-1.0,54.0
200.0,24.0,0.7,0.55,0.0001,0.770774,0.071667,0.058328,0.138206,0.290171,0.265831,,,,0.38,19260817.0,-1.0,55.0
200.0,24.0,0.7,0.85,0.0001,0.770983,0.067706,0.064724,0.138143,0.290789,0.264927,,,,0.52,19260817.0,-1.0,56.0
200.0,24.0,0.7,0.7,1e-06,0.774127,0.069509,0.041667,0.137192,0.290508,0.268172,,,,0.46,19260817.0,-1.0,57.0
200.0,24.0,0.7,0.7,0.01,0.236191,0.034912,-0.017997,0.252283,0.295859,0.276394,,,,0.59,19260817.0,-1.0,58.0
800.0,24.0,0.7,0.7,0.0001,0.77701,0.085053,0.047709,0.136314,0.288071,0.267326,,,,3.34,19260817.0,-1.0,59.0
400.0,12.0,0.7,0.7,0.0001,0.773948,0.080347,0.017436,0.137246,0.288811,0.271542,,,,1.64,19260817.0,-1.0,60.0
400.0,48.0,0.7,0.7,0.0001,0.773503,0.07237,0.016066,0.137381,0.290061,0.271731,,,,1.53,19260817.0,-1.0,61.0
400.0,24.0,0.55,0.7,0.0001,0.698175,0.09416,0.019222,0.158589,0.286634,0.271295,,,,1.73,19260817.0,-1.0,62.0
400.0,24.0,0.85,0.7,0.0001,0.833465,0.07723,0.042116,0.117801,0.2893,0.268109,,,,2.12,19260817.0,-1.0,63.0
400.0,24.0,0.7,0.55,0.0001,0.774579,0.086282,0.02304,0.137054,0.287878,0.270766,,,,3.32,19260817.0,-1.0,64.0
400.0,24.0,0.7,0.85,0.0001,0.772623,0.07274,0.038636,0.137648,0.290003,0.268596,,,,3.64,19260817.0,-1.0,65.0
400.0,24.0,0.7,0.7,1e-06,0.780583,0.071488,0.017222,0.135217,0.290199,0.271571,,,,2.83,19260817.0,-1.0,66.0
400.0,24.0,0.7,0.7,0.01,0.250556,0.034441,-0.024513,0.2499,0.295932,0.277277,,,,4.62,19260817.0,-1.0,67.0
100.0,12.0,0.7,0.7,0.0001,0.764653,0.0414,0.025115,0.14004,0.294863,0.270478,,,,0.98,19260817.0,-1.0,68.0
200.0,6.0,0.7,0.7,0.0001,0.727489,0.067279,0.071218,0.150691,0.290856,0.264005,,,,1.85,19260817.0,-1.0,69.0
200.0,12.0,0.55,0.7,0.0001,0.693937,0.09702,0.02812,0.159699,0.286181,0.270061,,,,1.56,19260817.0,-1.0,70.0
200.0,12.0,0.85,0.7,0.0001,0.832531,0.045891,0.063135,0.118131,0.294172,0.265152,,,,1.82,19260817.0,-1.0,71.0
200.0,12.0,0.7,0.55,0.0001,0.770221,0.059692,0.052178,0.138373,0.292036,0.266698,,,,0.92,19260817.0,-1.0,72.0
200.0,12.0,0.7,0.85,0.0001,0.771347,0.065867,0.067876,0.138033,0.291076,0.26448,,,,0.86,19260817.0,-1.0,73.0
200.0,12.0,0.7,0.7,1e-06,0.774885,0.081551,0.042241,0.136961,0.288622,0.268092,,,,0.97,19260817.0,-1.0,74.0
200.0,12.0,0.7,0.7,0.01,0.236211,0.03562,-0.017745,0.25228,0.295751,0.27636,,,,1.73,19260817.0,-1.0,75.0
100.0,48.0,0.7,0.7,0.0001,0.76499,0.036426,0.036092,0.139939,0.295627,0.268951,,,,0.36,19260817.0,-1.0,76.0
200.0,96.0,0.7,0.7,0.0001,0.767211,0.068694,0.034948,0.139276,0.290635,0.269111,,,,1.55,19260817.0,-1.0,77.0
200.0,48.0,0.55,0.7,0.0001,0.692623,0.092914,0.024229,0.160041,0.286831,0.270601,,,,1.05,19260817.0,-1.0,78.0
200.0,48.0,0.85,0.7,0.0001,0.832065,0.04307,0.064713,0.118295,0.294606,0.264928,,,,1.07,19260817.0,-1.0,79.0
200.0,48.0,0.7,0.55,0.0001,0.770774,0.071667,0.058328,0.138206,0.290171,0.265831,,,,1.35,19260817.0,-1.0,80.0
200.0,48.0,0.7,0.85,0.0001,0.770983,0.067706,0.064724,0.138143,0.290789,0.264927,,,,1.64,19260817.0,-1.0,81.0
200.0,48.0,0.7,0.7,1e-06,0.774127,0.069509,0.041667,0.137192,0.290508,0.268172,,,,1.18,19260817.0,-1.0,82.0
200.0,48.0,0.7,0.7,0.01,0.236191,0.034912,-0.017997,0.252283,0.295859,0.276394,,,,0.72,19260817.0,-1.0,83.0
100.0,24.0,0.55,0.7,0.0001,0.692119,0.085126,0.045319,0.160172,0.28806,0.267661,,,,0.28,19260817.0,-1.0,84.0
200.0,24.0,0.4,0.7,0.0001,0.588483,0.100485,0.051937,0.185178,0.285632,0.266732,,,,0.65,19260817.0,-1.0,85.0
200.0,24.0,0.55,0.55,0.0001,0.694968,0.098562,0.021594,0.15943,0.285937,0.270966,,,,1.15,19260817.0,-1.0,86.0
200.0,24.0,0.55,0.85,0.0001,0.698269,0.089446,0.036269,0.158565,0.287379,0.268927,,,,1.13,19260817.0,-1.0,87.0
200.0,24.0,0.55,0.7,1e-06,0.6969,0.093804,0.027028,0.158924,0.28669,0.270213,,,,0.78,19260817.0,-1.0,88.0
200.0,24.0,0.55,0.7,0.01,0.285013,0.054832,-0.00408,0.244087,0.29279,0.274498,,,,0.77,19260817.0,-1.0,89.0
100.0,24.0,0.7,0.55,0.0001,0.76666,0.080827,0.068767,0.139441,0.288736,0.264354,,,,0.55,19260817.0,-1.0,90.0
200.0,24.0,0.85,0.55,0.0001,0.827442,0.07519,0.054111,0.119912,0.28962,0.266426,,,,1.09,19260817.0,-1.0,91.0
200.0,24.0,0.7,0.4,0.0001,0.773771,0.087511,0.044675,0.1373,0.287684,0.267751,,,,0.49,19260817.0,-1.0,92.0
200.0,24.0,0.7,0.55,1e-06,0.776703,0.070186,0.054151,0.136407,0.290402,0.26642,,,,0.6,19260817.0,-1.0,93.0
200.0,24.0,0.7,0.55,0.01,0.217236,0.035456,-0.010789,0.255395,0.295776,0.275414,,,,0.57,19260817.0,-1.0,94.0
100.0,24.0,0.7,0.85,0.0001,0.768686,0.071508,0.05097,0.138835,0.290196,0.266868,,,,0.59,19260817.0,-1.0,95.0
200.0,24.0,0.85,0.85,0.0001,0.828901,0.041207,0.0065,0.119404,0.294893,0.273048,,,,1.72,19260817.0,-1.0,96.0
200.0,24.0,0.7,1.0,0.0001,0.7688,0.066599,0.00586,0.1388,0.290962,0.273136,,,,0.45,19260817.0,-1.0,97.0
200.0,24.0,0.7,0.85,1e-06,0.777065,0.068067,0.066001,0.136297,0.290733,0.264746,,,,0.64,19260817.0,-1.0,98.0
200.0,24.0,0.7,0.85,0.01,0.254902,0.02737,-0.001017,0.249174,0.297013,0.27408,,,,0.68,19260817.0,-1.0,99.0
100.0,24.0,0.7,0.7,1e-06,0.771767,0.035076,0.042382,0.137907,0.295834,0.268072,,,,0.23,19260817.0,-1.0,100.0
200.0,24.0,0.85,0.7,1e-06,0.838913,0.047489,0.063259,0.115858,0.293925,0.265134,,,,1.01,19260817.0,-1.0,101.0
200.0,24.0,0.7,0.7,1e-08,0.774184,0.069641,0.041525,0.137175,0.290487,0.268192,,,,0.54,19260817.0,-1.0,102.0
100.0,24.0,0.4,0.7,0.0001,0.590726,0.087257,0.064947,0.184673,0.287724,0.264895,,,,0.19,19260817.0,-1.0,103.0
400.0,24.0,0.4,0.7,0.0001,0.588344,0.095251,0.044179,0.18521,0.286461,0.267821,,,,1.56,19260817.0,-1.0,104.0
200.0,12.0,0.4,0.7,0.0001,0.587171,0.098569,0.049562,0.185473,0.285936,0.267066,,,,0.59,19260817.0,-1.0,105.0
200.0,48.0,0.4,0.7,0.0001,0.588483,0.100485,0.051937,0.185178,0.285632,0.266732,,,,0.53,19260817.0,-1.0,106.0
200.0,24.0,0.4,0.55,0.0001,0.590206,0.054715,0.051014,0.18479,0.292808,0.266861,,,,0.54,19260817.0,-1.0,107.0
200.0,24.0,0.4,0.85,0.0001,0.580272,0.093119,0.017238,0.187016,0.286799,0.271569,,,,0.39,19260817.0,-1.0,108.0
200.0,24.0,0.4,0.7,1e-06,0.592229,0.099582,0.052249,0.184333,0.285775,0.266688,,,,0.42,19260817.0,-1.0,109.0
200.0,24.0,0.4,0.7,0.01,0.29939,0.072381,0.020162,0.241621,0.290059,0.271165,,,,0.49,19260817.0,-1.0,110.0
100.0,12.0,0.4,0.7,0.0001,0.589966,0.082133,0.064935,0.184844,0.288531,0.264897,,,,0.5,19260817.0,-1.0,111.0
400.0,12.0,0.4,0.7,0.0001,0.587829,0.094151,0.044153,0.185325,0.286635,0.267824,,,,0.96,19260817.0,-1.0,112.0
200.0,6.0,0.4,0.7,0.0001,0.569396,0.086901,0.031791,0.189424,0.28778,0.269551,,,,0.52,19260817.0,-1.0,113.0
200.0,12.0,0.4,0.55,0.0001,0.589706,0.055344,0.049368,0.184903,0.292711,0.267093,,,,0.51,19260817.0,-1.0,114.0
200.0,12.0,0.4,0.85,0.0001,0.58028,0.090765,0.015438,0.187015,0.287171,0.271818,,,,0.78,19260817.0,-1.0,115.0
200.0,12.0,0.4,0.7,1e-06,0.590979,0.097436,0.049815,0.184616,0.286115,0.26703,,,,0.62,19260817.0,-1.0,116.0
200.0,12.0,0.4,0.7,0.01,0.29939,0.072381,0.020162,0.241621,0.290059,0.271165,,,,0.45,19260817.0,-1.0,117.0
100.0,48.0,0.4,0.7,0.0001,0.590726,0.087257,0.064947,0.184673,0.287724,0.264895,,,,0.38,19260817.0,-1.0,118.0
400.0,48.0,0.4,0.7,0.0001,0.588344,0.095251,0.044179,0.18521,0.286461,0.267821,,,,2.52,19260817.0,-1.0,119.0
200.0,96.0,0.4,0.7,0.0001,0.588483,0.100485,0.051937,0.185178,0.285632,0.266732,,,,0.36,19260817.0,-1.0,120.0
200.0,48.0,0.4,0.55,0.0001,0.590206,0.054715,0.051014,0.18479,0.292808,0.266861,,,,0.35,19260817.0,-1.0,121.0
200.0,48.0,0.4,0.85,0.0001,0.580272,0.093119,0.017238,0.187016,0.286799,0.271569,,,,0.47,19260817.0,-1.0,122.0
200.0,48.0,0.4,0.7,1e-06,0.592229,0.099582,0.052249,0.184333,0.285775,0.266688,,,,0.64,19260817.0,-1.0,123.0
200.0,48.0,0.4,0.7,0.01,0.29939,0.072381,0.020162,0.241621,0.290059,0.271165,,,,1.39,19260817.0,-1.0,124.0
100.0,24.0,0.4,0.7,1e-06,0.593439,0.086294,0.068685,0.18406,0.287876,0.264365,,,,0.19,19260817.0,-1.0,125.0
400.0,24.0,0.4,0.7,1e-06,0.591804,0.094808,0.045984,0.18443,0.286532,0.267568,,,,0.93,19260817.0,-1.0,126.0
200.0,24.0,0.4,0.55,1e-06,0.593959,0.053966,0.051751,0.183942,0.292924,0.266758,,,,0.34,19260817.0,-1.0,127.0
200.0,24.0,0.4,0.85,1e-06,0.584148,0.093863,0.017143,0.186151,0.286681,0.271582,,,,1.02,19260817.0,-1.0,128.0
200.0,24.0,0.4,0.7,1e-08,0.592209,0.099672,0.052163,0.184338,0.285761,0.2667,,,,0.51,19260817.0,-1.0,129.0
