n_estimators,max_depth,max_samples,max_features,ccp_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,bootstrap,Precedence
800.0,192.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,0.61,19260817.0,-1.0,True,0.0
25.0,192.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.03,19260817.0,-1.0,True,1.0
25.0,3.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.02,19260817.0,-1.0,True,2.0
800.0,192.0,0.4,0.4,1e-08,0.620786,0.11075,0.036594,0.177762,0.283997,0.268881,,,,0.74,19260817.0,-1.0,True,3.0
25.0,192.0,0.4,1.0,1e-08,0.603116,0.01777,-0.004431,0.181856,0.298476,0.274546,,,,0.03,19260817.0,-1.0,True,4.0
25.0,192.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.02,19260817.0,-1.0,True,5.0
25.0,24.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.03,19260817.0,-1.0,True,6.0
800.0,3.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,0.69,19260817.0,-1.0,True,7.0
800.0,192.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,0.57,19260817.0,-1.0,True,8.0
25.0,24.0,0.4,0.4,1e-08,0.599791,0.029023,0.036836,0.182616,0.296761,0.268848,,,,0.03,19260817.0,-1.0,True,9.0
25.0,3.0,0.4,1.0,1e-08,0.08356,0.020236,-0.012916,0.276343,0.298101,0.275704,,,,0.03,19260817.0,-1.0,True,10.0
25.0,192.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.03,19260817.0,-1.0,True,11.0
25.0,3.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.03,19260817.0,-1.0,True,12.0
800.0,3.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,0.57,19260817.0,-1.0,True,13.0
25.0,24.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.02,19260817.0,-1.0,True,14.0
800.0,3.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,0.67,19260817.0,-1.0,True,15.0
800.0,3.0,0.4,1.0,1e-08,0.088463,0.014233,-0.020252,0.275603,0.299012,0.2767,,,,0.69,19260817.0,-1.0,True,16.0
800.0,24.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,0.72,19260817.0,-1.0,True,17.0
25.0,24.0,0.4,1.0,1e-08,0.603116,0.01777,-0.004431,0.181856,0.298476,0.274546,,,,0.03,19260817.0,-1.0,True,18.0
25.0,192.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.02,19260817.0,-1.0,True,19.0
800.0,192.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,0.71,19260817.0,-1.0,True,20.0
25.0,24.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.03,19260817.0,-1.0,True,21.0
800.0,192.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,0.59,19260817.0,-1.0,True,22.0
25.0,192.0,0.4,0.4,1e-08,0.599791,0.029023,0.036836,0.182616,0.296761,0.268848,,,,0.03,19260817.0,-1.0,True,23.0
800.0,24.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,0.72,19260817.0,-1.0,True,24.0
800.0,24.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,0.61,19260817.0,-1.0,True,25.0
