alpha,tol,max_iter,fit_intercept,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
0.0001,1e-05,1000.0,1.0,0.365961,-0.053771,-0.070797,0.229855,0.309154,0.283472,,,,0.01,19260817.0,0.0
1000.0,1e-05,1000.0,True,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,1.0
1000.0,0.1,1000.0,True,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,2.0
1e-08,0.1,1000.0,False,-2.181093,-2.909094,-4.099418,0.514854,0.595443,0.618609,,,,0.0,19260817.0,3.0
1000.0,0.1,10000.0,True,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,4.0
1.0,1e-05,10000.0,True,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,5.0
0.0001,1e-05,1000.0,False,-2.181096,-2.908753,-4.097502,0.514855,0.595417,0.618493,,,,0.0,19260817.0,6.0
1000.0,0.1,10000.0,False,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,7.0
1.0,1e-05,1000.0,True,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,8.0
0.0001,1e-05,10000.0,True,0.365961,-0.053771,-0.070797,0.229855,0.309154,0.283472,,,,0.0,19260817.0,9.0
1000.0,0.1,1000.0,False,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,10.0
0.0001,0.1,1000.0,True,0.365961,-0.053778,-0.070808,0.229855,0.309155,0.283473,,,,0.0,19260817.0,11.0
1.0,0.1,1000.0,True,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,12.0
0.0001,0.1,1000.0,False,-2.181096,-2.908693,-4.097379,0.514855,0.595412,0.618485,,,,0.0,19260817.0,13.0
1e-08,0.1,1000.0,True,0.365964,-0.05416,-0.070638,0.229855,0.309211,0.28345,,,,0.0,19260817.0,14.0
1000.0,1e-05,1000.0,False,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,15.0
1e-08,0.1,10000.0,False,-2.181093,-2.909094,-4.099418,0.514854,0.595443,0.618609,,,,0.0,19260817.0,16.0
1.0,0.1,10000.0,False,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,17.0
1e-08,1e-05,1000.0,True,0.365964,-0.05416,-0.070638,0.229855,0.309211,0.28345,,,,0.0,19260817.0,18.0
0.0001,0.1,10000.0,True,0.365961,-0.053778,-0.070808,0.229855,0.309155,0.283473,,,,0.0,19260817.0,19.0
