n_neighbors,p,weights,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,n_jobs,Precedence
31.0,2.0,distance,0.999588,0.132195,0.007691,0.005862,0.280552,0.272885,,,,0.0,-1.0,0.0
100.0,2.0,distance,0.999588,0.069935,-0.044987,0.005862,0.290442,0.280034,,,,0.0,-1.0,1.0
1.0,2.0,distance,0.999283,-0.824489,-0.44441,0.007728,0.406792,0.329231,,,,0.0,-1.0,2.0
21.0,2.0,uniform,0.150441,0.086431,-0.111442,0.266068,0.287854,0.288801,,,,0.0,-1.0,3.0
66.0,1.0,distance,0.99975,0.076419,0.019412,0.004565,0.289427,0.271268,,,,0.0,-1.0,4.0
21.0,1.0,distance,0.99975,0.153283,-0.017589,0.004565,0.277122,0.276339,,,,0.0,-1.0,5.0
51.0,1.0,uniform,0.061789,0.070493,-0.007059,0.279606,0.290354,0.274905,,,,0.0,-1.0,6.0
100.0,1.0,uniform,0.013141,-0.011418,-0.035216,0.286763,0.302878,0.278722,,,,0.0,-1.0,7.0
41.0,2.0,distance,0.999588,0.085531,0.010219,0.005862,0.287996,0.272537,,,,0.0,-1.0,8.0
86.0,1.0,uniform,0.019855,0.006263,-0.042813,0.285786,0.300219,0.279743,,,,0.0,-1.0,9.0
21.0,1.0,uniform,0.134291,0.156662,-0.071029,0.268585,0.276569,0.283502,,,,0.0,-1.0,10.0
26.0,1.0,uniform,0.13558,0.134608,-0.022532,0.268385,0.280161,0.277009,,,,0.0,-1.0,11.0
36.0,1.0,uniform,0.09593,0.100584,0.012132,0.274471,0.285616,0.272273,,,,0.0,-1.0,12.0
6.0,1.0,distance,0.99975,-0.070551,-0.269098,0.004565,0.311606,0.308605,,,,0.0,-1.0,13.0
46.0,2.0,distance,0.999588,0.076415,-0.016963,0.005862,0.289428,0.276254,,,,0.0,-1.0,14.0
71.0,2.0,distance,0.999588,0.058314,-0.030467,0.005862,0.29225,0.278082,,,,0.0,-1.0,15.0
71.0,2.0,uniform,0.050569,0.0097,-0.059671,0.281273,0.299699,0.281995,,,,0.0,-1.0,16.0
26.0,2.0,distance,0.999588,0.120842,-0.015276,0.005862,0.282381,0.276025,,,,0.0,-1.0,17.0
41.0,2.0,uniform,0.098806,0.041997,-0.037527,0.274035,0.294771,0.279033,,,,0.0,-1.0,18.0
76.0,2.0,distance,0.999588,0.069992,-0.025517,0.005862,0.290433,0.277413,,,,0.0,-1.0,19.0
61.0,1.0,uniform,0.052837,0.032573,-0.008365,0.280937,0.296218,0.275084,,,,0.0,-1.0,20.0
56.0,2.0,distance,0.999588,0.049139,-0.023336,0.005862,0.293671,0.277118,,,,0.0,-1.0,21.0
