alpha,tol,max_iter,fit_intercept,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
0.0001,1e-05,1000.0,1.0,0.304107,0.068491,0.08664,0.240806,0.290667,0.261804,,,,0.0,19260817.0,0.0
1000.0,1e-05,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,1.0
1000.0,0.1,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,2.0
1e-08,0.1,1000.0,0.0,-2.233108,-2.472447,-3.746521,0.519047,0.561203,0.59682,,,,0.0,19260817.0,3.0
1000.0,0.1,10000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,4.0
1.0,1e-05,10000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,5.0
0.0001,1e-05,1000.0,0.0,-2.233111,-2.473151,-3.745808,0.519047,0.56126,0.596775,,,,0.0,19260817.0,6.0
1000.0,0.1,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,7.0
1.0,1e-05,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,8.0
0.0001,1e-05,10000.0,1.0,0.304107,0.068491,0.08664,0.240806,0.290667,0.261804,,,,0.0,19260817.0,9.0
1000.0,0.1,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,10.0
0.0001,0.1,1000.0,1.0,0.304106,0.068371,0.086607,0.240806,0.290686,0.261809,,,,0.0,19260817.0,11.0
1.0,0.1,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,12.0
0.0001,0.1,1000.0,0.0,-2.233113,-2.473769,-3.745678,0.519047,0.56131,0.596767,,,,0.0,19260817.0,13.0
1e-08,0.1,1000.0,1.0,0.304109,0.068507,0.086625,0.240806,0.290664,0.261807,,,,0.0,19260817.0,14.0
1000.0,1e-05,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,15.0
1e-08,0.1,10000.0,0.0,-2.233108,-2.472447,-3.746521,0.519047,0.561203,0.59682,,,,0.0,19260817.0,16.0
1.0,0.1,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,17.0
1e-08,1e-05,1000.0,1.0,0.304109,0.068507,0.086625,0.240806,0.290664,0.261807,,,,0.0,19260817.0,18.0
0.0001,0.1,10000.0,1.0,0.304106,0.068371,0.086607,0.240806,0.290686,0.261809,,,,0.0,19260817.0,19.0
1e-08,0.1,10000.0,1.0,0.304109,0.068507,0.086625,0.240806,0.290664,0.261807,,,,0.0,19260817.0,20.0
1000.0,1e-05,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,21.0
1e-08,1e-05,10000.0,1.0,0.304109,0.068507,0.086625,0.240806,0.290664,0.261807,,,,0.0,19260817.0,22.0
1000.0,1e-05,10000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.0,19260817.0,23.0
0.0001,0.1,10000.0,0.0,-2.233113,-2.473769,-3.745678,0.519047,0.56131,0.596767,,,,0.0,19260817.0,24.0
1e-08,1e-05,10000.0,0.0,-2.233108,-2.472447,-3.746521,0.519047,0.561203,0.59682,,,,0.0,19260817.0,25.0
1e-08,1e-05,1000.0,0.0,-2.233108,-2.472447,-3.746521,0.519047,0.561203,0.59682,,,,0.0,19260817.0,26.0
1.0,0.1,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,27.0
1.0,1e-05,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,28.0
0.0001,1e-05,10000.0,0.0,-2.233111,-2.473151,-3.745808,0.519047,0.56126,0.596775,,,,0.0,19260817.0,29.0
1.0,1e-05,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,30.0
