n_estimators,max_depth,max_samples,max_features,ccp_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,bootstrap,Precedence
800.0,192.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,0.47,19260817.0,-1.0,True,0.0
25.0,192.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.02,19260817.0,-1.0,True,1.0
25.0,3.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.02,19260817.0,-1.0,True,2.0
800.0,192.0,0.4,0.4,1e-08,0.629937,0.10093,0.015581,0.175604,0.285561,0.271798,,,,0.62,19260817.0,-1.0,True,3.0
25.0,192.0,0.4,1.0,1e-08,0.580079,-0.098568,0.017115,0.18706,0.315657,0.271586,,,,0.02,19260817.0,-1.0,True,4.0
25.0,192.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.02,19260817.0,-1.0,True,5.0
25.0,24.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.02,19260817.0,-1.0,True,6.0
800.0,3.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,0.56,19260817.0,-1.0,True,7.0
800.0,192.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,0.45,19260817.0,-1.0,True,8.0
25.0,24.0,0.4,0.4,1e-08,0.61425,0.141232,-0.072138,0.179287,0.279087,0.283649,,,,0.02,19260817.0,-1.0,True,9.0
25.0,3.0,0.4,1.0,1e-08,0.072399,-0.004085,-0.013547,0.27802,0.301778,0.275789,,,,0.02,19260817.0,-1.0,True,10.0
25.0,192.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.03,19260817.0,-1.0,True,11.0
