n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,warnings,Precedence
800.0,3.0,0.4,1.0,1e-08,0.0001,3e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,1.59,19260817.0,-1.0,none,0.0
800.0,3.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.48,19260817.0,-1.0,none,1.0
25.0,192.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.06,19260817.0,-1.0,none,2.0
25.0,3.0,0.4,0.4,0.1,0.0001,0.511434,0.000255,0.042065,0.201771,0.301125,0.268117,,,,0.03,19260817.0,-1.0,none,3.0
25.0,192.0,1.0,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.07,19260817.0,-1.0,none,4.0
25.0,3.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,5.0
800.0,3.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.64,19260817.0,-1.0,none,6.0
25.0,24.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,7.0
25.0,3.0,1.0,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.14,19260817.0,-1.0,none,8.0
800.0,24.0,1.0,0.4,0.1,0.0001,0.999492,0.020948,0.039872,0.006509,0.297992,0.268423,,,,2.12,19260817.0,-1.0,none,9.0
25.0,192.0,1.0,1.0,0.1,0.0001,0.656837,-0.036817,0.008819,0.169101,0.306657,0.27273,,,,0.15,19260817.0,-1.0,none,10.0
25.0,24.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,-1.0,none,11.0
25.0,24.0,0.4,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.1,19260817.0,-1.0,none,12.0
