C,degree,tol,max_iter,gamma,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,kernel,Precedence
10.0,9.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,0.0
0.0001,9.0,0.0001,50.0,scale,-0.160634,-0.268832,-0.466846,0.310988,0.339238,0.331778,,,,0.03,False,poly,1.0
0.0001,1.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.03,False,poly,2.0
10.0,9.0,0.0001,50.0,auto,0.612805,-0.72802,-1.043885,0.179623,0.395892,0.391637,,,,0.01,False,poly,3.0
0.0001,9.0,0.0001,1600.0,auto,0.895353,-0.379449,-0.593696,0.093381,0.353716,0.345827,,,,0.12,False,poly,4.0
0.0001,9.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,5.0
0.0001,5.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,6.0
10.0,1.0,0.0001,50.0,scale,-0.109826,-0.15849,-0.414623,0.304105,0.324152,0.325819,,,,0.01,False,poly,7.0
10.0,9.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,8.0
0.0001,5.0,0.0001,50.0,auto,0.589202,-0.054535,-0.085034,0.185016,0.309266,0.28535,,,,0.01,False,poly,9.0
0.0001,1.0,0.0001,1600.0,auto,0.004513,-0.00767,-0.049728,0.288014,0.302316,0.280669,,,,0.01,False,poly,10.0
0.0001,9.0,0.0001,1600.0,scale,0.034221,-0.007055,-0.042872,0.283684,0.302224,0.279751,,,,0.01,False,poly,11.0
0.0001,1.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,12.0
10.0,1.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.02,False,poly,13.0
0.0001,5.0,0.0001,50.0,scale,-0.148744,-0.218274,-0.394807,0.309391,0.33241,0.323529,,,,0.05,False,poly,14.0
10.0,1.0,0.0001,1600.0,scale,0.420043,0.254408,-0.051852,0.219834,0.260048,0.280953,,,,0.07,False,poly,15.0
10.0,1.0,0.0001,1600.0,auto,0.275421,0.16112,0.180559,0.245719,0.275837,0.247979,,,,0.06,False,poly,16.0
10.0,5.0,0.0001,1600.0,scale,0.892018,0.083135,-0.036271,0.094857,0.288373,0.278864,,,,0.04,False,poly,17.0
0.0001,5.0,0.0001,1600.0,auto,0.743832,0.091214,-0.016952,0.146103,0.2871,0.276252,,,,0.05,False,poly,18.0
0.0001,9.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,19.0
10.0,9.0,0.0001,1600.0,scale,0.834,0.123586,0.027534,0.117612,0.28194,0.270143,,,,0.01,False,poly,20.0
0.0001,5.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,21.0
10.0,9.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,22.0
0.0001,9.0,0.0001,50.0,auto,0.612805,-0.72802,-1.043885,0.179623,0.395892,0.391637,,,,0.01,False,poly,23.0
10.0,5.0,0.0001,50.0,scale,0.686098,-0.088569,-0.187441,0.161731,0.314217,0.298512,,,,0.01,False,poly,24.0
10.0,5.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,25.0
10.0,5.0,0.0001,1600.0,auto,0.896773,0.030441,-0.105147,0.092746,0.296544,0.287982,,,,0.1,False,poly,26.0
10.0,1.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.02,False,poly,27.0
0.0001,1.0,0.0001,50.0,auto,0.002064,-0.016627,-0.068747,0.288368,0.303657,0.2832,,,,0.01,False,poly,28.0
10.0,1.0,0.0001,50.0,auto,-0.467943,-0.346948,-1.076069,0.349744,0.349524,0.394709,,,,0.02,False,poly,29.0
0.0001,5.0,0.0001,1600.0,scale,0.002632,-0.008897,-0.048323,0.288286,0.3025,0.280481,,,,0.07,False,poly,30.0
10.0,5.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,31.0
0.0001,5.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,32.0
10.0,5.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,33.0
0.0001,1.0,0.0001,1600.0,scale,0.000848,-0.008748,-0.048373,0.288544,0.302478,0.280488,,,,0.13,False,poly,34.0
10.0,1.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,35.0
0.0001,5.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,36.0
10.0,9.0,0.0001,1600.0,auto,0.895353,-0.379449,-0.593696,0.093381,0.353716,0.345827,,,,0.01,False,poly,37.0
0.0001,1.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.02,False,poly,38.0
10.0,1.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,39.0
0.0001,1.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,40.0
0.0001,1.0,0.0001,50.0,scale,-0.001047,-0.017951,-0.069299,0.288817,0.303854,0.283273,,,,0.01,False,poly,41.0
10.0,9.0,0.0001,50.0,scale,0.593734,-0.100393,-0.151275,0.183993,0.315919,0.293931,,,,0.01,False,poly,42.0
10.0,5.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,43.0
0.0001,9.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.11,False,poly,44.0
10.0,9.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,45.0
0.0001,9.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,46.0
10.0,5.0,0.0001,50.0,auto,0.698001,-0.141131,-0.267841,0.158635,0.321714,0.308452,,,,0.01,False,poly,47.0
0.1,5.0,0.1,400.0,scale,0.473506,0.054829,-0.08004,0.209456,0.292791,0.284692,,,,0.02,False,poly,48.0
0.01,5.0,0.1,400.0,scale,0.124619,-0.00077,-0.062273,0.270081,0.301279,0.282341,,,,0.01,False,poly,49.0
1.0,5.0,0.1,400.0,scale,0.81347,0.106705,0.006616,0.124673,0.284642,0.273033,,,,0.01,False,poly,50.0
0.1,4.0,0.1,400.0,scale,0.478681,0.060395,-0.079152,0.208424,0.291927,0.284575,,,,0.02,False,poly,51.0
