C,degree,tol,max_iter,gamma,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,kernel,Precedence
0.1,6.0,0.1,400.0,scale,0.469748,0.054654,-0.074588,0.210202,0.292818,0.283973,,,,0.02,False,poly,52.0
0.1,5.0,0.01,400.0,scale,0.474808,0.062891,-0.076797,0.209197,0.291539,0.284265,,,,0.01,False,poly,53.0
0.1,5.0,1.0,400.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,54.0
0.1,5.0,0.1,200.0,scale,0.473506,0.054829,-0.08004,0.209456,0.292791,0.284692,,,,0.02,False,poly,55.0
0.1,5.0,0.1,800.0,scale,0.473506,0.054829,-0.08004,0.209456,0.292791,0.284692,,,,0.01,False,poly,56.0
0.1,5.0,0.1,400.0,auto,0.892912,0.009198,-0.117711,0.094464,0.299775,0.289615,,,,0.04,False,poly,57.0
10.0,5.0,0.1,400.0,scale,0.888343,0.076702,-0.043964,0.096458,0.289383,0.279897,,,,0.01,False,poly,58.0
1.0,4.0,0.1,400.0,scale,0.836421,0.125764,0.017098,0.116751,0.28159,0.271588,,,,0.01,False,poly,59.0
1.0,6.0,0.1,400.0,scale,0.792462,0.102066,-0.002171,0.131506,0.28538,0.274237,,,,0.01,False,poly,60.0
1.0,5.0,0.01,400.0,scale,0.817874,0.112762,0.009505,0.123192,0.283676,0.272635,,,,0.01,False,poly,61.0
1.0,5.0,1.0,400.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,62.0
1.0,5.0,0.1,200.0,scale,0.81347,0.106705,0.006616,0.124673,0.284642,0.273033,,,,0.01,False,poly,63.0
1.0,5.0,0.1,800.0,scale,0.81347,0.106705,0.006616,0.124673,0.284642,0.273033,,,,0.02,False,poly,64.0
1.0,5.0,0.1,400.0,auto,0.892912,0.009198,-0.117711,0.094464,0.299775,0.289615,,,,0.01,False,poly,65.0
0.01,4.0,0.1,400.0,scale,0.110258,0.00898,-0.036259,0.272288,0.299808,0.278862,,,,0.01,False,poly,66.0
0.1,3.0,0.1,400.0,scale,0.483834,0.070483,-0.044439,0.207392,0.290356,0.279961,,,,0.01,False,poly,67.0
0.1,4.0,0.01,400.0,scale,0.477797,0.067278,-0.076454,0.208601,0.290856,0.284219,,,,0.01,False,poly,68.0
0.1,4.0,1.0,400.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,69.0
0.1,4.0,0.1,200.0,scale,0.478681,0.060395,-0.079152,0.208424,0.291927,0.284575,,,,0.04,False,poly,70.0
0.1,4.0,0.1,800.0,scale,0.478681,0.060395,-0.079152,0.208424,0.291927,0.284575,,,,0.01,False,poly,71.0
0.1,4.0,0.1,400.0,auto,0.893081,0.086456,-0.067365,0.094389,0.28785,0.283017,,,,0.01,False,poly,72.0
0.01,6.0,0.1,400.0,scale,0.136854,0.003403,-0.056002,0.268187,0.300651,0.281506,,,,0.03,False,poly,73.0
0.1,7.0,0.1,400.0,scale,0.467301,0.0507,-0.072731,0.210687,0.29343,0.283727,,,,0.01,False,poly,74.0
0.1,6.0,0.01,400.0,scale,0.470086,0.059918,-0.070406,0.210135,0.292001,0.28342,,,,0.02,False,poly,75.0
0.1,6.0,1.0,400.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,76.0
0.1,6.0,0.1,200.0,scale,0.469748,0.054654,-0.074588,0.210202,0.292818,0.283973,,,,0.01,False,poly,77.0
0.1,6.0,0.1,800.0,scale,0.469748,0.054654,-0.074588,0.210202,0.292818,0.283973,,,,0.01,False,poly,78.0
0.1,6.0,0.1,400.0,auto,0.89435,-0.054498,-0.205136,0.093828,0.309261,0.300728,,,,0.02,False,poly,79.0
0.01,5.0,0.01,400.0,scale,0.125661,0.00809,-0.047424,0.269921,0.299943,0.280361,,,,0.01,False,poly,80.0
0.1,5.0,0.001,400.0,scale,0.474844,0.063145,-0.076503,0.20919,0.2915,0.284226,,,,0.01,False,poly,81.0
0.1,5.0,0.01,200.0,scale,0.474808,0.062891,-0.076797,0.209197,0.291539,0.284265,,,,0.1,False,poly,82.0
0.1,5.0,0.01,800.0,scale,0.474808,0.062891,-0.076797,0.209197,0.291539,0.284265,,,,0.01,False,poly,83.0
0.1,5.0,0.01,400.0,auto,0.896027,0.027704,-0.109123,0.09308,0.296962,0.2885,,,,0.01,False,poly,84.0
0.01,5.0,0.1,200.0,scale,0.124619,-0.00077,-0.062273,0.270081,0.301279,0.282341,,,,0.01,False,poly,85.0
0.1,5.0,1.0,200.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.03,False,poly,86.0
0.1,5.0,0.1,100.0,scale,0.473506,0.054829,-0.08004,0.209456,0.292791,0.284692,,,,0.01,False,poly,87.0
0.1,5.0,0.1,200.0,auto,0.892912,0.009198,-0.117711,0.094464,0.299775,0.289615,,,,0.01,False,poly,88.0
0.01,5.0,0.1,800.0,scale,0.124619,-0.00077,-0.062273,0.270081,0.301279,0.282341,,,,0.01,False,poly,89.0
0.1,5.0,1.0,800.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,90.0
0.1,5.0,0.1,1600.0,scale,0.473506,0.054829,-0.08004,0.209456,0.292791,0.284692,,,,0.07,False,poly,91.0
0.1,5.0,0.1,800.0,auto,0.892912,0.009198,-0.117711,0.094464,0.299775,0.289615,,,,0.03,False,poly,92.0
1.0,1.0,0.0001,1600.0,scale,0.42197,0.215934,-0.046775,0.219468,0.266673,0.280274,,,,0.01,False,poly,93.0
10.0,2.0,0.0001,1600.0,scale,0.90148,0.191055,-0.076488,0.090606,0.27087,0.284224,,,,0.01,False,poly,94.0
10.0,1.0,0.001,1600.0,scale,0.420043,0.254408,-0.051852,0.219834,0.260048,0.280953,,,,0.12,False,poly,95.0
10.0,1.0,0.0001,800.0,scale,0.397532,0.227979,-0.087585,0.224059,0.264616,0.285685,,,,0.02,False,poly,96.0
1.0,1.0,0.001,1600.0,scale,0.422136,0.216231,-0.046474,0.219436,0.266622,0.280233,,,,0.01,False,poly,97.0
10.0,2.0,0.001,1600.0,scale,0.901481,0.191106,-0.076618,0.090606,0.270862,0.284241,,,,0.01,False,poly,98.0
10.0,1.0,0.01,1600.0,scale,0.420043,0.254408,-0.051852,0.219834,0.260048,0.280953,,,,0.03,False,poly,99.0
10.0,1.0,0.001,800.0,scale,0.397532,0.227979,-0.087585,0.224059,0.264616,0.285685,,,,0.02,False,poly,100.0
10.0,1.0,0.001,1600.0,auto,0.275421,0.16112,0.180559,0.245719,0.275837,0.247979,,,,0.04,False,poly,101.0
