max_depth,max_bins,interaction_cst,learning_rate,l2_regularization,max_iter,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
24.0,255.0,no_interactions,0.1,0.0001,25.0,0.426582,0.120334,0.012544,0.218591,0.282463,0.272217,,,,0.19,19260817.0,0.0
24.0,255.0,no_interactions,1e-08,10.0,400.0,1e-06,-0.009,-0.048067,0.288666,0.302515,0.280447,,,,0.24,19260817.0,1.0
24.0,4.0,no_interactions,0.1,0.0001,25.0,0.188722,0.032129,0.004923,0.260005,0.296286,0.273265,,,,0.02,19260817.0,2.0
3.0,4.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,3.0
24.0,4.0,pairwise,0.1,0.0001,25.0,0.4019,0.048152,0.100661,0.223246,0.293823,0.259787,,,,0.03,19260817.0,4.0
3.0,4.0,no_interactions,0.1,0.0001,25.0,0.188722,0.032129,0.004923,0.260005,0.296286,0.273265,,,,0.02,19260817.0,5.0
24.0,255.0,no_interactions,0.1,0.0001,400.0,0.979098,0.040667,0.038346,0.041734,0.294976,0.268637,,,,0.29,19260817.0,6.0
3.0,255.0,no_interactions,0.1,0.0001,25.0,0.395621,0.123894,-0.002516,0.224414,0.281891,0.274285,,,,0.02,19260817.0,7.0
3.0,4.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,8.0
192.0,4.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,9.0
24.0,4.0,pairwise,0.1,10.0,25.0,0.338912,0.053122,0.112146,0.234707,0.293055,0.258123,,,,0.04,19260817.0,10.0
3.0,255.0,pairwise,1e-08,0.0001,400.0,2e-06,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.35,19260817.0,11.0
3.0,255.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,12.0
3.0,255.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,13.0
