alpha,tol,max_iter,fit_intercept,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
0.0001,1e-05,1000.0,1.0,0.478273,0.250816,0.105995,0.208506,0.260673,0.259016,,,,0.02,19260817.0,0.0
1000.0,1e-05,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,1.0
1000.0,0.1,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,2.0
1e-08,0.1,1000.0,0.0,-1.914777,-1.977629,-3.125863,0.492832,0.519682,0.556433,,,,0.01,19260817.0,3.0
1000.0,0.1,10000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,4.0
1.0,1e-05,10000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.1,19260817.0,5.0
0.0001,1e-05,1000.0,0.0,-1.914785,-1.977838,-3.124039,0.492833,0.5197,0.55631,,,,0.01,19260817.0,6.0
1000.0,0.1,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.01,19260817.0,7.0
1.0,1e-05,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,8.0
0.0001,1e-05,10000.0,1.0,0.478273,0.250816,0.105995,0.208506,0.260673,0.259016,,,,0.02,19260817.0,9.0
1000.0,0.1,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.13,19260817.0,10.0
0.0001,0.1,1000.0,1.0,0.478273,0.250562,0.106263,0.208506,0.260717,0.258977,,,,0.02,19260817.0,11.0
1.0,0.1,1000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,12.0
0.0001,0.1,1000.0,0.0,-1.914786,-1.977845,-3.123391,0.492833,0.5197,0.556267,,,,0.01,19260817.0,13.0
1e-08,0.1,1000.0,1.0,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.01,19260817.0,14.0
1000.0,1e-05,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.14,19260817.0,15.0
1e-08,0.1,10000.0,0.0,-1.914777,-1.977629,-3.125863,0.492832,0.519682,0.556433,,,,0.02,19260817.0,16.0
1.0,0.1,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.01,19260817.0,17.0
1e-08,1e-05,1000.0,1.0,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.01,19260817.0,18.0
0.0001,0.1,10000.0,1.0,0.478273,0.250562,0.106263,0.208506,0.260717,0.258977,,,,0.01,19260817.0,19.0
1e-08,0.1,10000.0,1.0,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.01,19260817.0,20.0
1000.0,1e-05,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.01,19260817.0,21.0
1e-08,1e-05,10000.0,1.0,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.04,19260817.0,22.0
1000.0,1e-05,10000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,23.0
0.0001,0.1,10000.0,0.0,-1.914786,-1.977845,-3.123391,0.492833,0.5197,0.556267,,,,0.01,19260817.0,24.0
1e-08,1e-05,10000.0,0.0,-1.914777,-1.977629,-3.125863,0.492832,0.519682,0.556433,,,,0.08,19260817.0,25.0
1e-08,1e-05,1000.0,0.0,-1.914777,-1.977629,-3.125863,0.492832,0.519682,0.556433,,,,0.01,19260817.0,26.0
1.0,0.1,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.0,19260817.0,27.0
1.0,1e-05,10000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.01,19260817.0,28.0
0.0001,1e-05,10000.0,0.0,-1.914785,-1.977838,-3.124039,0.492833,0.5197,0.55631,,,,0.02,19260817.0,29.0
1.0,1e-05,1000.0,0.0,-3.036658,-3.115793,-4.225156,0.579972,0.610983,0.626189,,,,0.01,19260817.0,30.0
1.0,0.1,10000.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,31.0
0.01,0.001,5000.0,1.0,0.44768,0.212719,0.085308,0.214532,0.267219,0.261995,,,,0.01,19260817.0,32.0
0.001,0.001,5000.0,1.0,0.477742,0.24798,0.107265,0.208612,0.261166,0.258831,,,,0.01,19260817.0,33.0
0.1,0.001,5000.0,1.0,0.077683,0.037809,-0.003142,0.277227,0.295415,0.27437,,,,0.01,19260817.0,34.0
0.01,0.0001,5000.0,1.0,0.447686,0.212789,0.0853,0.214531,0.267207,0.261996,,,,0.01,19260817.0,35.0
0.01,0.01,5000.0,1.0,0.447566,0.211959,0.085194,0.214554,0.267348,0.262011,,,,0.05,19260817.0,36.0
0.01,0.001,1000.0,1.0,0.44768,0.212719,0.085308,0.214532,0.267219,0.261995,,,,0.06,19260817.0,37.0
0.01,0.001,10000.0,1.0,0.44768,0.212719,0.085308,0.214532,0.267219,0.261995,,,,0.01,19260817.0,38.0
0.01,0.001,5000.0,0.0,-1.979538,-2.102198,-3.031939,0.498277,0.530441,0.550063,,,,0.08,19260817.0,39.0
0.0001,0.001,5000.0,1.0,0.478273,0.250805,0.106008,0.208506,0.260675,0.259014,,,,0.01,19260817.0,40.0
0.001,0.0001,5000.0,1.0,0.477741,0.248008,0.107267,0.208612,0.261161,0.258831,,,,0.01,19260817.0,41.0
0.001,0.01,5000.0,1.0,0.477745,0.247858,0.10727,0.208611,0.261187,0.258831,,,,0.01,19260817.0,42.0
0.001,0.001,1000.0,1.0,0.477742,0.24798,0.107265,0.208612,0.261166,0.258831,,,,0.01,19260817.0,43.0
0.001,0.001,10000.0,1.0,0.477742,0.24798,0.107265,0.208612,0.261166,0.258831,,,,0.02,19260817.0,44.0
0.001,0.001,5000.0,0.0,-1.915506,-1.980593,-3.107521,0.492894,0.51994,0.555195,,,,0.01,19260817.0,45.0
0.1,0.0001,5000.0,1.0,0.077683,0.037809,-0.003141,0.277228,0.295415,0.27437,,,,0.01,19260817.0,46.0
0.01,1e-05,5000.0,1.0,0.447685,0.212796,0.085296,0.214531,0.267206,0.261997,,,,0.02,19260817.0,47.0
0.01,0.0001,1000.0,1.0,0.447686,0.212789,0.0853,0.214531,0.267207,0.261996,,,,0.01,19260817.0,48.0
0.01,0.0001,10000.0,1.0,0.447686,0.212789,0.0853,0.214531,0.267207,0.261996,,,,0.01,19260817.0,49.0
0.01,0.0001,5000.0,0.0,-1.979338,-2.102222,-3.032642,0.49826,0.530443,0.550111,,,,0.01,19260817.0,50.0
0.1,0.01,5000.0,1.0,0.077688,0.037805,-0.00315,0.277227,0.295416,0.274371,,,,0.01,19260817.0,51.0
0.01,0.1,5000.0,1.0,0.445897,0.203736,0.083791,0.214878,0.268739,0.262212,,,,0.02,19260817.0,52.0
0.01,0.01,1000.0,1.0,0.447566,0.211959,0.085194,0.214554,0.267348,0.262011,,,,0.02,19260817.0,53.0
0.01,0.01,10000.0,1.0,0.447566,0.211959,0.085194,0.214554,0.267348,0.262011,,,,0.01,19260817.0,54.0
0.01,0.01,5000.0,0.0,-1.981298,-2.10317,-3.030075,0.498424,0.530524,0.549936,,,,0.01,19260817.0,55.0
