n_estimators,max_depth,max_samples,max_features,ccp_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,bootstrap,Precedence
800.0,192.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,6.15,19260817.0,-1.0,True,0.0
25.0,192.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.16,19260817.0,-1.0,True,1.0
25.0,3.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.16,19260817.0,-1.0,True,2.0
800.0,192.0,0.4,0.4,1e-08,0.595545,0.102519,0.025217,0.183582,0.285308,0.270464,,,,6.87,19260817.0,-1.0,True,3.0
25.0,192.0,0.4,1.0,1e-08,0.56717,-0.125087,-0.237209,0.189913,0.319444,0.304703,,,,0.2,19260817.0,-1.0,True,4.0
25.0,192.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.27,19260817.0,-1.0,True,5.0
25.0,24.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.21,19260817.0,-1.0,True,6.0
800.0,3.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,7.61,19260817.0,-1.0,True,7.0
800.0,192.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,6.24,19260817.0,-1.0,True,8.0
25.0,24.0,0.4,0.4,1e-08,0.562525,0.084421,0.071691,0.190929,0.288171,0.263938,,,,0.12,19260817.0,-1.0,True,9.0
25.0,3.0,0.4,1.0,1e-08,0.049654,0.0126,-0.029517,0.281408,0.29926,0.277954,,,,0.24,19260817.0,-1.0,True,10.0
25.0,192.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.34,19260817.0,-1.0,True,11.0
25.0,3.0,1.0,1.0,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.17,19260817.0,-1.0,True,12.0
800.0,3.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,5.99,19260817.0,-1.0,True,13.0
25.0,24.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.17,19260817.0,-1.0,True,14.0
800.0,3.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,5.36,19260817.0,-1.0,True,15.0
800.0,3.0,0.4,1.0,1e-08,0.081126,0.004897,-0.033994,0.27671,0.300425,0.278557,,,,6.76,19260817.0,-1.0,True,16.0
800.0,24.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,6.12,19260817.0,-1.0,True,17.0
25.0,24.0,0.4,1.0,1e-08,0.56717,-0.125087,-0.237209,0.189913,0.319444,0.304703,,,,0.12,19260817.0,-1.0,True,18.0
25.0,192.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.18,19260817.0,-1.0,True,19.0
800.0,192.0,0.4,1.0,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,6.92,19260817.0,-1.0,True,20.0
25.0,24.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.12,19260817.0,-1.0,True,21.0
800.0,192.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,6.81,19260817.0,-1.0,True,22.0
25.0,192.0,0.4,0.4,1e-08,0.562525,0.084421,0.071691,0.190929,0.288171,0.263938,,,,0.17,19260817.0,-1.0,True,23.0
800.0,24.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,7.82,19260817.0,-1.0,True,24.0
800.0,24.0,1.0,0.4,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,8.04,19260817.0,-1.0,True,25.0
800.0,24.0,0.4,1.0,1e-08,0.583921,0.083195,-0.007656,0.186202,0.288364,0.274987,,,,7.62,19260817.0,-1.0,True,26.0
800.0,3.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,7.07,19260817.0,-1.0,True,27.0
25.0,3.0,0.4,0.4,1e-08,0.231776,0.025688,0.095853,0.253011,0.29727,0.260481,,,,0.15,19260817.0,-1.0,True,28.0
800.0,3.0,0.4,0.4,1e-08,0.247088,0.038279,-0.00111,0.250477,0.295343,0.274092,,,,7.93,19260817.0,-1.0,True,29.0
25.0,24.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.29,19260817.0,-1.0,True,30.0
800.0,24.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,8.7,19260817.0,-1.0,True,31.0
25.0,24.0,1.0,0.4,1e-08,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.11,19260817.0,-1.0,True,32.0
800.0,24.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,6.22,19260817.0,-1.0,True,33.0
25.0,3.0,0.4,1.0,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.14,19260817.0,-1.0,True,34.0
800.0,3.0,1.0,1.0,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,5.98,19260817.0,-1.0,True,35.0
25.0,24.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.15,19260817.0,-1.0,True,36.0
800.0,192.0,0.4,1.0,1e-08,0.583921,0.083195,-0.007656,0.186202,0.288364,0.274987,,,,7.24,19260817.0,-1.0,True,37.0
25.0,3.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.15,19260817.0,-1.0,True,38.0
800.0,3.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,6.6,19260817.0,-1.0,True,39.0
25.0,3.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.12,19260817.0,-1.0,True,40.0
25.0,3.0,0.4,0.4,0.1,-0.001135,-0.003916,-0.033761,0.28883,0.301752,0.278526,,,,0.17,19260817.0,-1.0,True,41.0
800.0,192.0,0.4,0.4,0.1,-3.8e-05,-0.007919,-0.045273,0.288672,0.302353,0.280073,,,,6.82,19260817.0,-1.0,True,42.0
800.0,24.0,1.0,0.4,1e-08,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,5.82,19260817.0,-1.0,True,43.0
25.0,192.0,1.0,0.4,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.12,19260817.0,-1.0,True,44.0
800.0,192.0,1.0,1.0,0.1,-0.000859,-0.00446,-0.035481,0.28879,0.301834,0.278758,,,,6.16,19260817.0,-1.0,True,45.0
25.0,192.0,1.0,1.0,0.1,-0.024138,-0.059432,-0.146656,0.29213,0.309984,0.293341,,,,0.11,19260817.0,-1.0,True,46.0
800.0,24.0,0.4,0.4,1e-08,0.595545,0.102519,0.025217,0.183582,0.285308,0.270464,,,,7.95,19260817.0,-1.0,True,47.0
200.0,24.0,0.7,0.7,0.0001,0.767256,0.065278,-0.029868,0.139263,0.291168,0.278001,,,,1.96,19260817.0,-1.0,True,48.0
100.0,24.0,0.7,0.7,0.0001,0.767835,0.04797,-0.008643,0.13909,0.293851,0.275122,,,,0.89,19260817.0,-1.0,True,49.0
400.0,24.0,0.7,0.7,0.0001,0.773283,0.094116,0.006762,0.137448,0.286641,0.273013,,,,3.68,19260817.0,-1.0,True,50.0
200.0,12.0,0.7,0.7,0.0001,0.765682,0.114386,-0.005814,0.139733,0.283416,0.274735,,,,1.92,19260817.0,-1.0,True,51.0
200.0,48.0,0.7,0.7,0.0001,0.767256,0.065278,-0.029868,0.139263,0.291168,0.278001,,,,1.86,19260817.0,-1.0,True,52.0
200.0,24.0,0.55,0.7,0.0001,0.703628,0.139996,0.010955,0.15715,0.279288,0.272436,,,,1.57,19260817.0,-1.0,True,53.0
200.0,24.0,0.85,0.7,0.0001,0.831135,0.115759,-0.002827,0.118622,0.283196,0.274327,,,,2.0,19260817.0,-1.0,True,54.0
200.0,24.0,0.7,0.55,0.0001,0.769016,0.109628,0.025254,0.138735,0.284176,0.270459,,,,1.44,19260817.0,-1.0,True,55.0
200.0,24.0,0.7,0.85,0.0001,0.771848,0.080121,0.028685,0.137882,0.288847,0.269983,,,,1.81,19260817.0,-1.0,True,56.0
200.0,24.0,0.7,0.7,1e-06,0.773763,0.066536,-0.027723,0.137302,0.290972,0.277711,,,,1.41,19260817.0,-1.0,True,57.0
200.0,24.0,0.7,0.7,0.01,0.029969,-0.005331,-0.043643,0.284308,0.301965,0.279854,,,,1.33,19260817.0,-1.0,True,58.0
800.0,24.0,0.7,0.7,0.0001,0.774509,0.106218,0.016769,0.137076,0.28472,0.271634,,,,6.35,19260817.0,-1.0,True,59.0
400.0,12.0,0.7,0.7,0.0001,0.768616,0.115634,0.015587,0.138855,0.283216,0.271797,,,,2.92,19260817.0,-1.0,True,60.0
400.0,48.0,0.7,0.7,0.0001,0.773283,0.094116,0.006762,0.137448,0.286641,0.273013,,,,3.07,19260817.0,-1.0,True,61.0
400.0,24.0,0.55,0.7,0.0001,0.700843,0.121363,0.036134,0.157887,0.282297,0.268945,,,,3.67,19260817.0,-1.0,True,62.0
400.0,24.0,0.85,0.7,0.0001,0.835082,0.130247,-0.006674,0.117228,0.280867,0.274853,,,,3.88,19260817.0,-1.0,True,63.0
400.0,24.0,0.7,0.55,0.0001,0.770968,0.12549,0.024626,0.138148,0.281634,0.270546,,,,3.26,19260817.0,-1.0,True,64.0
400.0,24.0,0.7,0.85,0.0001,0.772421,0.090588,0.024791,0.137709,0.287199,0.270523,,,,4.14,19260817.0,-1.0,True,65.0
400.0,24.0,0.7,0.7,1e-06,0.779516,0.095442,0.008564,0.135545,0.286431,0.272765,,,,3.26,19260817.0,-1.0,True,66.0
400.0,24.0,0.7,0.7,0.01,0.027942,-0.001615,-0.04144,0.284605,0.301406,0.279559,,,,3.1,19260817.0,-1.0,True,67.0
100.0,12.0,0.7,0.7,0.0001,0.76829,0.091368,0.013109,0.138953,0.287075,0.272139,,,,0.69,19260817.0,-1.0,True,68.0
200.0,6.0,0.7,0.7,0.0001,0.602245,0.059861,-4.2e-05,0.182056,0.29201,0.273946,,,,1.57,19260817.0,-1.0,True,69.0
200.0,12.0,0.55,0.7,0.0001,0.695311,0.145725,-0.00663,0.15934,0.278356,0.274847,,,,1.58,19260817.0,-1.0,True,70.0
200.0,12.0,0.85,0.7,0.0001,0.81903,0.12704,0.001516,0.1228,0.281384,0.273733,,,,1.94,19260817.0,-1.0,True,71.0
200.0,12.0,0.7,0.55,0.0001,0.762539,0.117088,0.051963,0.140667,0.282983,0.266728,,,,1.54,19260817.0,-1.0,True,72.0
200.0,12.0,0.7,0.85,0.0001,0.771876,0.106721,0.067718,0.137874,0.28464,0.264502,,,,1.48,19260817.0,-1.0,True,73.0
200.0,12.0,0.7,0.7,1e-06,0.771575,0.115745,-0.005612,0.137965,0.283198,0.274708,,,,1.38,19260817.0,-1.0,True,74.0
200.0,12.0,0.7,0.7,0.01,0.030419,-0.005557,-0.043851,0.284242,0.301999,0.279882,,,,1.59,19260817.0,-1.0,True,75.0
100.0,48.0,0.7,0.7,0.0001,0.767835,0.04797,-0.008643,0.13909,0.293851,0.275122,,,,0.84,19260817.0,-1.0,True,76.0
200.0,96.0,0.7,0.7,0.0001,0.767256,0.065278,-0.029868,0.139263,0.291168,0.278001,,,,1.68,19260817.0,-1.0,True,77.0
200.0,48.0,0.55,0.7,0.0001,0.703628,0.139996,0.010955,0.15715,0.279288,0.272436,,,,1.07,19260817.0,-1.0,True,78.0
200.0,48.0,0.85,0.7,0.0001,0.831135,0.115759,-0.002827,0.118622,0.283196,0.274327,,,,1.3,19260817.0,-1.0,True,79.0
200.0,48.0,0.7,0.55,0.0001,0.768869,0.108249,0.026029,0.138779,0.284396,0.270352,,,,1.58,19260817.0,-1.0,True,80.0
200.0,48.0,0.7,0.85,0.0001,0.771848,0.080121,0.028685,0.137882,0.288847,0.269983,,,,1.49,19260817.0,-1.0,True,81.0
200.0,48.0,0.7,0.7,1e-06,0.773763,0.066536,-0.027723,0.137302,0.290972,0.277711,,,,1.32,19260817.0,-1.0,True,82.0
200.0,48.0,0.7,0.7,0.01,0.029969,-0.005331,-0.043643,0.284308,0.301965,0.279854,,,,1.41,19260817.0,-1.0,True,83.0
100.0,24.0,0.55,0.7,0.0001,0.700613,0.08767,0.039976,0.157947,0.287659,0.268409,,,,0.63,19260817.0,-1.0,True,84.0
200.0,24.0,0.4,0.7,0.0001,0.590961,0.065415,0.019539,0.18462,0.291147,0.271251,,,,1.14,19260817.0,-1.0,True,85.0
200.0,24.0,0.55,0.55,0.0001,0.698285,0.126176,0.054128,0.15856,0.281523,0.266423,,,,1.59,19260817.0,-1.0,True,86.0
200.0,24.0,0.55,0.85,0.0001,0.695811,0.065199,0.002074,0.159209,0.29118,0.273656,,,,1.3,19260817.0,-1.0,True,87.0
200.0,24.0,0.55,0.7,1e-06,0.70807,0.136357,0.009831,0.155968,0.279878,0.27259,,,,1.52,19260817.0,-1.0,True,88.0
200.0,24.0,0.55,0.7,0.01,0.050317,0.001817,-0.035154,0.28131,0.30089,0.278714,,,,1.48,19260817.0,-1.0,True,89.0
100.0,24.0,0.85,0.7,0.0001,0.83244,0.112335,-0.007147,0.118163,0.283744,0.274917,,,,0.56,19260817.0,-1.0,True,90.0
200.0,24.0,1.0,0.7,0.0001,-0.000108,-0.00721,-0.043385,0.288682,0.302247,0.27982,,,,1.06,19260817.0,-1.0,True,91.0
200.0,24.0,0.85,0.55,0.0001,0.829208,0.083469,0.034254,0.119297,0.288321,0.269208,,,,1.52,19260817.0,-1.0,True,92.0
200.0,24.0,0.85,0.85,0.0001,0.832888,0.075275,0.022859,0.118005,0.289607,0.270791,,,,1.45,19260817.0,-1.0,True,93.0
200.0,24.0,0.85,0.7,1e-06,0.837836,0.116639,-0.004819,0.116245,0.283055,0.274599,,,,1.76,19260817.0,-1.0,True,94.0
200.0,24.0,0.85,0.7,0.01,0.014455,-0.006001,-0.043354,0.286573,0.302066,0.279815,,,,1.56,19260817.0,-1.0,True,95.0
100.0,24.0,0.7,0.55,0.0001,0.772319,0.107083,0.054636,0.13774,0.284582,0.266352,,,,0.91,19260817.0,-1.0,True,96.0
200.0,24.0,0.7,0.4,0.0001,0.778659,0.099247,-0.000369,0.135809,0.285828,0.273991,,,,1.6,19260817.0,-1.0,True,97.0
200.0,24.0,0.7,0.55,1e-06,0.775118,0.105174,0.022897,0.136891,0.284886,0.270786,,,,1.28,19260817.0,-1.0,True,98.0
200.0,24.0,0.7,0.55,0.01,0.026117,-0.003043,-0.043679,0.284872,0.301621,0.279859,,,,1.74,19260817.0,-1.0,True,99.0
100.0,24.0,0.7,0.85,0.0001,0.770558,0.060967,0.030583,0.138272,0.291839,0.269719,,,,0.69,19260817.0,-1.0,True,100.0
200.0,24.0,0.7,1.0,0.0001,0.761544,0.115868,0.057934,0.140961,0.283179,0.265887,,,,1.09,19260817.0,-1.0,True,101.0
200.0,24.0,0.7,0.85,1e-06,0.77878,0.078244,0.026534,0.135771,0.289141,0.270281,,,,1.42,19260817.0,-1.0,True,102.0
200.0,24.0,0.7,0.85,0.01,0.03367,0.001328,-0.042413,0.283765,0.300963,0.279689,,,,1.55,19260817.0,-1.0,True,103.0
100.0,24.0,0.7,0.7,1e-06,0.775923,0.04982,-0.008139,0.136645,0.293565,0.275053,,,,0.61,19260817.0,-1.0,True,104.0
200.0,24.0,0.7,0.7,1e-08,0.773765,0.066766,-0.027536,0.137302,0.290936,0.277686,,,,1.06,19260817.0,-1.0,True,105.0
100.0,12.0,0.55,0.7,0.0001,0.692793,0.103185,0.029201,0.159997,0.285203,0.269911,,,,0.56,19260817.0,-1.0,True,106.0
400.0,12.0,0.55,0.7,0.0001,0.694236,0.127207,0.015304,0.159621,0.281357,0.271836,,,,2.6,19260817.0,-1.0,True,107.0
200.0,6.0,0.55,0.7,0.0001,0.563114,0.087926,0.008569,0.190801,0.287619,0.272764,,,,1.01,19260817.0,-1.0,True,108.0
200.0,12.0,0.4,0.7,0.0001,0.586536,0.082861,0.004113,0.185616,0.288416,0.273376,,,,1.38,19260817.0,-1.0,True,109.0
200.0,12.0,0.55,0.55,0.0001,0.688288,0.124787,0.046797,0.161166,0.281747,0.267454,,,,1.45,19260817.0,-1.0,True,110.0
200.0,12.0,0.55,0.85,0.0001,0.693005,0.059456,-0.002267,0.159942,0.292073,0.274251,,,,1.54,19260817.0,-1.0,True,111.0
200.0,12.0,0.55,0.7,1e-06,0.699843,0.140947,-0.006331,0.15815,0.279134,0.274806,,,,1.3,19260817.0,-1.0,True,112.0
200.0,12.0,0.55,0.7,0.01,0.045295,0.003859,-0.03817,0.282053,0.300582,0.279119,,,,1.76,19260817.0,-1.0,True,113.0
50.0,192.0,0.4,0.4,1e-08,0.575004,0.102151,0.051372,0.188187,0.285367,0.266811,,,,0.26,19260817.0,-1.0,True,114.0
25.0,96.0,0.4,0.4,1e-08,0.562525,0.084421,0.071691,0.190929,0.288171,0.263938,,,,0.16,19260817.0,-1.0,True,115.0
25.0,192.0,0.55,0.4,1e-08,0.682091,0.140974,0.098182,0.16276,0.279129,0.260145,,,,0.34,19260817.0,-1.0,True,116.0
25.0,192.0,0.4,0.55,1e-08,0.584758,0.079952,-0.106444,0.186015,0.288873,0.288151,,,,0.15,19260817.0,-1.0,True,117.0
25.0,192.0,0.4,0.4,1e-06,0.562541,0.084378,0.071994,0.190926,0.288178,0.263895,,,,0.26,19260817.0,-1.0,True,118.0
100.0,192.0,0.4,0.4,1e-08,0.588657,0.091344,0.047986,0.185139,0.287079,0.267287,,,,2.25,19260817.0,-1.0,True,119.0
50.0,96.0,0.4,0.4,1e-08,0.575004,0.102151,0.051372,0.188187,0.285367,0.266811,,,,1.21,19260817.0,-1.0,True,120.0
50.0,192.0,0.55,0.4,1e-08,0.691763,0.144682,0.122545,0.160265,0.278526,0.256607,,,,0.78,19260817.0,-1.0,True,121.0
50.0,192.0,0.4,0.55,1e-08,0.570676,0.080731,-0.030466,0.189142,0.288751,0.278082,,,,0.68,19260817.0,-1.0,True,122.0
50.0,192.0,0.4,0.4,1e-06,0.574974,0.102282,0.051331,0.188193,0.285346,0.266817,,,,0.7,19260817.0,-1.0,True,123.0
25.0,48.0,0.4,0.4,1e-08,0.562525,0.084421,0.071691,0.190929,0.288171,0.263938,,,,0.19,19260817.0,-1.0,True,124.0
25.0,96.0,0.55,0.4,1e-08,0.682091,0.140974,0.098182,0.16276,0.279129,0.260145,,,,0.22,19260817.0,-1.0,True,125.0
25.0,96.0,0.4,0.55,1e-08,0.584758,0.079952,-0.106444,0.186015,0.288873,0.288151,,,,0.19,19260817.0,-1.0,True,126.0
25.0,96.0,0.4,0.4,1e-06,0.562541,0.084378,0.071994,0.190926,0.288178,0.263895,,,,0.4,19260817.0,-1.0,True,127.0
25.0,192.0,0.7,0.4,1e-08,0.775882,0.076322,0.01491,0.136658,0.289443,0.27189,,,,0.28,19260817.0,-1.0,True,128.0
25.0,192.0,0.55,0.55,1e-08,0.693076,0.051298,0.044328,0.159923,0.293337,0.2678,,,,0.28,19260817.0,-1.0,True,129.0
25.0,192.0,0.55,0.4,1e-06,0.682193,0.141185,0.0982,0.162734,0.279095,0.260142,,,,0.33,19260817.0,-1.0,True,130.0
25.0,192.0,0.4,0.7,1e-08,0.575055,-0.039447,0.107724,0.188175,0.307046,0.258765,,,,0.42,19260817.0,-1.0,True,131.0
25.0,192.0,0.4,0.55,1e-06,0.584735,0.080414,-0.106798,0.18602,0.288801,0.288197,,,,0.26,19260817.0,-1.0,True,132.0
