alpha,tol,max_iter,fit_intercept,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
0.0001,1e-05,1000.0,1.0,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.03,19260817.0,0.0
1000.0,1e-05,1000.0,True,0.299314,0.103241,0.015139,0.241634,0.285194,0.271859,,,,0.01,19260817.0,1.0
1000.0,0.1,1000.0,True,0.299314,0.103241,0.015139,0.241634,0.285194,0.271859,,,,0.01,19260817.0,2.0
1e-08,0.1,1000.0,False,-1.914777,-1.977629,-3.125863,0.492832,0.519682,0.556433,,,,0.03,19260817.0,3.0
1000.0,0.1,10000.0,True,0.299314,0.103241,0.015139,0.241634,0.285194,0.271859,,,,0.07,19260817.0,4.0
1.0,1e-05,10000.0,True,0.478272,0.250626,0.106104,0.208506,0.260706,0.259,,,,0.0,19260817.0,5.0
0.0001,1e-05,1000.0,False,-1.914777,-1.977629,-3.12586,0.492832,0.519682,0.556433,,,,0.1,19260817.0,6.0
1000.0,0.1,10000.0,False,-2.708695,-2.850098,-3.952104,0.555913,0.590933,0.609608,,,,0.01,19260817.0,7.0
1.0,1e-05,1000.0,True,0.478272,0.250626,0.106104,0.208506,0.260706,0.259,,,,0.02,19260817.0,8.0
0.0001,1e-05,10000.0,True,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.15,19260817.0,9.0
1000.0,0.1,1000.0,False,-2.708695,-2.850098,-3.952104,0.555913,0.590933,0.609608,,,,0.09,19260817.0,10.0
0.0001,0.1,1000.0,True,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.07,19260817.0,11.0
1.0,0.1,1000.0,True,0.478272,0.250626,0.106104,0.208506,0.260706,0.259,,,,0.05,19260817.0,12.0
0.0001,0.1,1000.0,False,-1.914777,-1.977629,-3.12586,0.492832,0.519682,0.556433,,,,0.01,19260817.0,13.0
1e-08,0.1,1000.0,True,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.01,19260817.0,14.0
1000.0,1e-05,1000.0,False,-2.708695,-2.850098,-3.952104,0.555913,0.590933,0.609608,,,,0.06,19260817.0,15.0
1e-08,0.1,10000.0,False,-1.914777,-1.977629,-3.125863,0.492832,0.519682,0.556433,,,,0.02,19260817.0,16.0
1.0,0.1,10000.0,False,-1.916193,-1.976172,-3.095815,0.492952,0.519555,0.554404,,,,0.06,19260817.0,17.0
1e-08,1e-05,1000.0,True,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.02,19260817.0,18.0
