max_depth,max_bins,interaction_cst,learning_rate,l2_regularization,max_iter,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
24.0,255.0,no_interactions,0.1,0.0001,25.0,0.416696,0.007834,-0.0013,0.220467,0.299981,0.274118,,,,0.06,19260817.0,0.0
24.0,255.0,no_interactions,1e-08,10.0,400.0,1e-06,-0.009,-0.048067,0.288666,0.302515,0.280447,,,,0.23,19260817.0,1.0
24.0,4.0,no_interactions,0.1,0.0001,25.0,0.167751,0.051638,-0.063875,0.263344,0.293285,0.282554,,,,0.02,19260817.0,2.0
3.0,4.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,3.0
24.0,4.0,pairwise,0.1,0.0001,25.0,0.407314,0.025864,0.034284,0.222233,0.297243,0.269203,,,,0.02,19260817.0,4.0
3.0,4.0,no_interactions,0.1,0.0001,25.0,0.167751,0.051638,-0.063875,0.263344,0.293285,0.282554,,,,0.01,19260817.0,5.0
24.0,255.0,no_interactions,0.1,0.0001,400.0,0.974343,-0.184266,-0.119412,0.046238,0.327738,0.289835,,,,0.19,19260817.0,6.0
3.0,255.0,no_interactions,0.1,0.0001,25.0,0.389001,0.01757,0.034773,0.22564,0.298506,0.269135,,,,0.01,19260817.0,7.0
3.0,4.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,8.0
192.0,4.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,9.0
24.0,4.0,pairwise,0.1,10.0,25.0,0.338092,0.064397,0.020973,0.234852,0.291305,0.271052,,,,0.02,19260817.0,10.0
3.0,255.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,0.19,19260817.0,11.0
3.0,255.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,19260817.0,12.0
3.0,255.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,13.0
192.0,4.0,no_interactions,1e-08,0.0001,400.0,1e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.15,19260817.0,14.0
24.0,255.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,15.0
3.0,255.0,pairwise,1e-08,10.0,400.0,1e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.22,19260817.0,16.0
24.0,4.0,no_interactions,0.1,10.0,400.0,0.519822,0.046992,-0.259969,0.200031,0.294002,0.307493,,,,0.14,19260817.0,17.0
24.0,255.0,pairwise,1e-08,10.0,400.0,1e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.43,19260817.0,18.0
192.0,4.0,pairwise,0.1,10.0,25.0,0.338092,0.064397,0.020973,0.234852,0.291305,0.271052,,,,0.05,19260817.0,19.0
192.0,4.0,no_interactions,0.1,0.0001,25.0,0.167751,0.051638,-0.063875,0.263344,0.293285,0.282554,,,,0.04,19260817.0,20.0
3.0,255.0,no_interactions,1e-08,10.0,400.0,1e-06,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.65,19260817.0,21.0
192.0,255.0,pairwise,1e-08,10.0,400.0,1e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.74,19260817.0,22.0
24.0,4.0,no_interactions,1e-08,10.0,400.0,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,1.37,19260817.0,23.0
192.0,255.0,pairwise,1e-08,0.0001,400.0,2e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,1.36,19260817.0,24.0
192.0,255.0,no_interactions,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,1.27,19260817.0,25.0
3.0,255.0,pairwise,0.1,0.0001,400.0,0.992004,-0.040022,-0.153155,0.025813,0.307131,0.294171,,,,0.94,19260817.0,26.0
24.0,4.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,1.07,19260817.0,27.0
24.0,255.0,no_interactions,0.1,10.0,400.0,0.946973,-0.157607,-0.04186,0.066473,0.324028,0.279615,,,,0.87,19260817.0,28.0
3.0,255.0,no_interactions,0.1,10.0,25.0,0.319861,0.019511,-0.002085,0.238065,0.298211,0.274226,,,,0.05,19260817.0,29.0
192.0,4.0,no_interactions,0.1,10.0,25.0,0.144033,0.049012,-0.043005,0.26707,0.29369,0.279769,,,,0.05,19260817.0,30.0
192.0,4.0,no_interactions,0.1,10.0,400.0,0.519822,0.046992,-0.259969,0.200031,0.294002,0.307493,,,,0.67,19260817.0,31.0
