fit_intercept,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,Precedence
0.0,-1.914777,-1.977629,-3.125863,0.492832,0.519682,0.556433,,,,0.01,0.0
True,0.478279,0.250984,0.105921,0.208505,0.260644,0.259026,,,,0.12,1.0
