n_estimators,max_depth,subsample,colsample_bylevel,max_bin,reg_lambda,learning_rate,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,verbose,Precedence
25.0,16.0,1.0,0.4,256.0,1.0,1.0,0.99975,0.018279,-0.075047,0.004565,0.298398,0.284033,,,,11.88,19260817.0,False,0.0
25.0,16.0,1.0,0.4,256.0,0.01,0.001,0.042459,-0.004417,-0.045265,0.282472,0.301828,0.280072,,,,8.88,19260817.0,False,1.0
25.0,2.0,1.0,1.0,64.0,0.01,1.0,0.928841,-0.332132,-0.43418,0.077003,0.347597,0.328063,,,,0.01,19260817.0,False,2.0
25.0,2.0,1.0,0.4,256.0,0.01,1.0,0.90683,-0.281565,-0.461447,0.088112,0.340936,0.331167,,,,0.01,19260817.0,False,3.0
200.0,2.0,0.4,1.0,64.0,0.01,1.0,0.99949,-0.527049,-0.712088,0.00652,0.372159,0.358442,,,,0.05,19260817.0,False,4.0
200.0,2.0,0.4,1.0,64.0,1.0,1.0,0.999341,-0.539177,-0.041635,0.007411,0.373634,0.279585,,,,0.04,19260817.0,False,5.0
25.0,2.0,0.4,1.0,64.0,0.01,1.0,0.785444,-0.269635,-0.434597,0.133711,0.339345,0.328111,,,,0.01,19260817.0,False,6.0
25.0,2.0,1.0,0.4,256.0,1.0,1.0,0.865824,-0.091138,-0.32119,0.105739,0.314588,0.314875,,,,0.01,19260817.0,False,7.0
200.0,2.0,1.0,1.0,64.0,0.01,0.001,0.039852,-0.007961,-0.040467,0.282856,0.30236,0.279428,,,,0.04,19260817.0,False,8.0
25.0,16.0,0.4,1.0,256.0,1.0,0.001,0.024436,-0.007243,-0.046418,0.285118,0.302252,0.280226,,,,20.47,19260817.0,False,9.0
200.0,16.0,0.4,0.4,64.0,0.01,1.0,0.99975,-0.374536,-0.093762,0.004565,0.353086,0.286495,,,,22.5,19260817.0,False,10.0
25.0,16.0,1.0,0.4,64.0,1.0,0.001,0.024877,-0.006232,-0.045948,0.285053,0.3021,0.280163,,,,3.8,19260817.0,False,11.0
25.0,2.0,1.0,0.4,64.0,0.01,1.0,0.86133,-0.180024,-0.207899,0.107495,0.32715,0.301072,,,,0.01,19260817.0,False,12.0
200.0,2.0,0.4,0.4,256.0,1.0,0.001,0.026769,-0.003837,-0.042699,0.284777,0.301741,0.279728,,,,0.05,19260817.0,False,13.0
25.0,16.0,0.4,0.4,64.0,0.01,1.0,0.99975,-0.374536,-0.093762,0.004565,0.353086,0.286495,,,,2.75,19260817.0,False,14.0
200.0,16.0,1.0,1.0,64.0,0.01,0.001,0.304637,0.018657,-0.023457,0.240714,0.298341,0.277134,,,,56.0,19260817.0,False,15.0
200.0,2.0,1.0,0.4,256.0,0.01,0.001,0.036985,-0.005832,-0.042348,0.283278,0.30204,0.279681,,,,0.04,19260817.0,False,16.0
200.0,2.0,1.0,0.4,256.0,1.0,1.0,0.999749,-0.282498,-0.408388,0.004576,0.34106,0.3251,,,,0.03,19260817.0,False,17.0
25.0,16.0,0.4,1.0,64.0,1.0,1.0,0.99975,-0.234712,-0.135391,0.004565,0.334645,0.291896,,,,6.48,19260817.0,False,18.0
200.0,16.0,0.4,1.0,256.0,1.0,0.001,0.18154,0.008546,-0.032573,0.261153,0.299874,0.278366,,,,445.54,19260817.0,False,19.0
25.0,16.0,1.0,1.0,64.0,1.0,0.001,0.024531,-0.006126,-0.045624,0.285104,0.302084,0.28012,,,,58.77,19260817.0,False,20.0
200.0,2.0,1.0,1.0,256.0,1.0,1.0,0.99975,-0.161692,-0.305489,0.004569,0.324599,0.312999,,,,0.11,19260817.0,False,21.0
25.0,16.0,0.4,0.4,64.0,1.0,1.0,0.99975,-0.071229,-0.135479,0.004565,0.311705,0.291908,,,,3.5,19260817.0,False,22.0
200.0,16.0,0.4,0.4,256.0,0.01,1.0,0.99975,0.079706,-0.403736,0.004565,0.288912,0.324563,,,,4085.27,19260817.0,False,23.0
200.0,16.0,1.0,0.4,64.0,1.0,0.001,0.184011,0.007475,-0.029514,0.260758,0.300036,0.277953,,,,47.58,19260817.0,False,24.0
25.0,2.0,0.4,0.4,256.0,0.01,0.001,0.004435,-0.008403,-0.047344,0.288026,0.302426,0.28035,,,,0.01,19260817.0,False,25.0
25.0,2.0,1.0,0.4,64.0,0.01,0.001,0.004953,-0.00926,-0.047089,0.287951,0.302555,0.280316,,,,0.01,19260817.0,False,26.0
200.0,16.0,1.0,1.0,64.0,1.0,0.001,0.184398,0.007168,-0.031209,0.260697,0.300082,0.278182,,,,1159.7,19260817.0,False,27.0
200.0,16.0,0.4,1.0,256.0,0.01,1.0,0.99975,-0.327344,-0.300473,0.004565,0.346972,0.312397,,,,183.66,19260817.0,False,28.0
25.0,2.0,0.4,1.0,64.0,0.01,0.001,0.004376,-0.008577,-0.047743,0.288034,0.302452,0.280403,,,,0.01,19260817.0,False,29.0
200.0,16.0,0.4,0.4,64.0,0.01,0.001,0.293547,0.021316,-0.019215,0.242626,0.297936,0.27656,,,,26.33,19260817.0,False,30.0
200.0,2.0,1.0,1.0,256.0,0.01,1.0,0.99975,-0.184559,-0.68273,0.004565,0.327778,0.355356,,,,0.05,19260817.0,False,31.0
25.0,16.0,0.4,1.0,256.0,0.01,1.0,0.99975,-0.327344,-0.300473,0.004565,0.346972,0.312397,,,,21.73,19260817.0,False,32.0
200.0,16.0,1.0,0.4,64.0,1.0,1.0,0.99975,-0.03895,0.070952,0.004565,0.306973,0.264043,,,,25.79,19260817.0,False,33.0
25.0,16.0,0.4,1.0,64.0,0.01,1.0,0.99975,-0.452393,-0.210911,0.004565,0.362948,0.301448,,,,7.76,19260817.0,False,34.0
25.0,2.0,1.0,1.0,64.0,1.0,0.001,0.004662,-0.008545,-0.047237,0.287993,0.302447,0.280336,,,,0.01,19260817.0,False,35.0
25.0,16.0,0.4,0.4,64.0,0.01,0.001,0.041605,-0.003371,-0.044931,0.282598,0.30167,0.280027,,,,2.85,19260817.0,False,36.0
25.0,16.0,0.4,0.4,256.0,0.01,0.001,0.0432,-0.004401,-0.044144,0.282362,0.301825,0.279921,,,,9.13,19260817.0,False,37.0
25.0,16.0,0.4,0.4,256.0,1.0,0.001,0.024115,-0.006737,-0.045615,0.285164,0.302176,0.280118,,,,12.13,19260817.0,False,38.0
200.0,2.0,0.4,1.0,256.0,1.0,1.0,0.999343,-0.588023,-0.910185,0.007401,0.379516,0.378611,,,,0.08,19260817.0,False,39.0
25.0,2.0,0.4,0.4,256.0,1.0,0.001,0.004141,-0.008438,-0.047386,0.288068,0.302431,0.280356,,,,0.01,19260817.0,False,40.0
200.0,2.0,0.4,0.4,256.0,0.01,0.001,0.028722,-0.003625,-0.042533,0.284491,0.301709,0.279705,,,,0.05,19260817.0,False,41.0
25.0,16.0,1.0,1.0,64.0,1.0,1.0,0.99975,-0.03767,-0.086059,0.004565,0.306783,0.285484,,,,8.08,19260817.0,False,42.0
200.0,16.0,0.4,0.4,256.0,1.0,0.001,0.178726,0.008854,-0.030555,0.261601,0.299827,0.278094,,,,81.39,19260817.0,False,43.0
200.0,2.0,1.0,0.4,64.0,1.0,1.0,0.999747,-0.217735,-0.530162,0.004595,0.332337,0.338863,,,,0.03,19260817.0,False,44.0
200.0,2.0,0.4,0.4,256.0,1.0,1.0,0.999225,-0.732184,-0.622897,0.008038,0.396368,0.348981,,,,0.04,19260817.0,False,45.0
25.0,2.0,0.4,1.0,256.0,0.01,1.0,0.836076,-0.177723,-0.259269,0.116874,0.326831,0.307408,,,,0.01,19260817.0,False,46.0
