n_estimators,learning_rate,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
25.0,0.1,0.637108,0.224103,0.041504,0.173894,0.26528,0.268195,,,,0.29,42.0,0.0
25.0,0.0001,0.56001,0.116323,-0.102887,0.191477,0.283106,0.287688,,,,0.24,42.0,1.0
800.0,0.0001,0.595988,0.041061,0.021564,0.183482,0.294915,0.270971,,,,5.22,42.0,2.0
800.0,100.0,-2.927891,-3.010138,-4.08983,0.572105,0.603089,0.618027,,,,2.49,42.0,3.0
25.0,100.0,-2.927891,-3.010138,-4.08983,0.572105,0.603089,0.618027,,,,0.1,42.0,4.0
800.0,0.1,0.801839,0.100082,0.05953,0.128501,0.285696,0.265661,,,,4.5,42.0,5.0
200.0,0.1,0.752153,0.095667,0.02213,0.14371,0.286396,0.270892,,,,2.94,42.0,6.0
100.0,0.1,0.703049,0.158054,-0.008675,0.157304,0.27634,0.275126,,,,1.6,42.0,7.0
400.0,0.1,0.785881,0.107108,0.034066,0.133575,0.284578,0.269234,,,,3.5,42.0,8.0
200.0,0.01,0.59533,0.05328,0.019065,0.183631,0.29303,0.271316,,,,1.45,42.0,9.0
200.0,1.0,0.825429,0.115755,0.08073,0.12061,0.283197,0.26265,,,,1.39,42.0,10.0
50.0,0.1,0.652923,0.15599,0.02279,0.170063,0.276679,0.270801,,,,0.98,42.0,11.0
100.0,0.01,0.552563,0.035953,0.023204,0.193091,0.2957,0.270743,,,,1.56,42.0,12.0
100.0,1.0,0.813247,0.178115,0.025421,0.124747,0.273028,0.270436,,,,0.83,42.0,13.0
400.0,0.01,0.639201,0.051875,0.017913,0.173392,0.293248,0.271476,,,,3.68,42.0,14.0
400.0,1.0,0.824545,0.083882,0.047845,0.120915,0.288256,0.267307,,,,4.09,42.0,15.0
200.0,10.0,-0.991628,-0.880539,-1.083091,0.407381,0.412994,0.395376,,,,0.97,42.0,16.0
25.0,0.01,0.543693,0.058179,0.00512,0.194996,0.292271,0.273238,,,,0.36,42.0,17.0
25.0,1.0,0.748096,0.078656,-0.024609,0.144882,0.289077,0.27729,,,,0.19,42.0,18.0
400.0,0.0001,0.58875,0.054523,0.029476,0.185118,0.292838,0.269873,,,,3.52,42.0,19.0
800.0,0.001,0.617037,0.060514,0.001536,0.178638,0.291909,0.27373,,,,6.41,42.0,20.0
200.0,0.0001,0.588019,0.042608,0.022177,0.185283,0.294677,0.270886,,,,2.48,42.0,21.0
400.0,0.001,0.606142,0.053534,0.002915,0.181162,0.292991,0.273541,,,,3.19,42.0,22.0
800.0,0.01,0.690732,0.070396,0.044035,0.160533,0.29037,0.267841,,,,6.44,42.0,23.0
800.0,1.0,0.830909,0.081743,0.029129,0.118702,0.288592,0.269921,,,,6.74,42.0,24.0
50.0,0.0001,0.567636,0.049215,-0.03354,0.189811,0.293659,0.278496,,,,0.42,42.0,25.0
25.0,0.001,0.537675,0.084343,-0.083083,0.196277,0.288183,0.285093,,,,0.3,42.0,26.0
