max_depth,max_bins,interaction_cst,learning_rate,l2_regularization,max_iter,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
192.0,4.0,no_interactions,1e-08,0.0001,400.0,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,35.64,19260817.0,14.0
24.0,255.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.54,19260817.0,15.0
3.0,255.0,pairwise,1e-08,10.0,400.0,2e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,54.52,19260817.0,16.0
24.0,4.0,no_interactions,0.1,10.0,400.0,0.65307,0.004878,0.200616,0.170027,0.300428,0.244925,,,,35.35,19260817.0,17.0
24.0,255.0,pairwise,1e-08,10.0,400.0,2e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,82.3,19260817.0,18.0
192.0,4.0,pairwise,0.1,10.0,25.0,0.36235,-0.018039,0.036549,0.230509,0.303868,0.268888,,,,5.96,19260817.0,19.0
192.0,4.0,no_interactions,0.1,0.0001,25.0,0.178739,0.023702,-0.03229,0.261599,0.297573,0.278328,,,,3.64,19260817.0,20.0
3.0,255.0,no_interactions,1e-08,10.0,400.0,1e-06,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,39.59,19260817.0,21.0
192.0,255.0,pairwise,1e-08,10.0,400.0,2e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,139.0,19260817.0,22.0
24.0,4.0,no_interactions,1e-08,10.0,400.0,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,10.73,19260817.0,23.0
192.0,255.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009002,-0.048066,0.288666,0.302516,0.280447,,,,139.52,19260817.0,24.0
192.0,255.0,no_interactions,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,21.78,19260817.0,25.0
3.0,255.0,pairwise,0.1,0.0001,400.0,0.998121,-0.062196,-0.044707,0.012511,0.310388,0.279997,,,,28.74,19260817.0,26.0
24.0,4.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,113.86,19260817.0,27.0
24.0,255.0,no_interactions,0.1,10.0,400.0,0.965614,-0.10782,-0.193988,0.053529,0.316983,0.299334,,,,23.33,19260817.0,28.0
3.0,255.0,no_interactions,0.1,10.0,25.0,0.320046,0.015169,-0.030545,0.238032,0.29887,0.278092,,,,7.33,19260817.0,29.0
192.0,4.0,no_interactions,0.1,10.0,25.0,0.157085,0.016583,-0.034652,0.265026,0.298656,0.278646,,,,4.75,19260817.0,30.0
192.0,4.0,no_interactions,0.1,10.0,400.0,0.65307,0.004878,0.200616,0.170027,0.300428,0.244925,,,,18.99,19260817.0,31.0
24.0,4.0,no_interactions,1e-08,0.0001,400.0,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,129.01,19260817.0,32.0
3.0,255.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.16,19260817.0,33.0
3.0,255.0,no_interactions,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,40.91,19260817.0,34.0
3.0,255.0,no_interactions,0.1,0.0001,400.0,0.975337,-0.129147,-0.261643,0.045333,0.32002,0.307698,,,,40.54,19260817.0,35.0
192.0,4.0,pairwise,0.1,10.0,400.0,0.964773,-0.163852,0.208798,0.054179,0.324901,0.243669,,,,101.56,19260817.0,36.0
24.0,255.0,pairwise,0.1,0.0001,400.0,0.999493,-0.048558,-0.087733,0.006497,0.308389,0.285704,,,,62.65,19260817.0,37.0
192.0,4.0,pairwise,0.1,0.0001,25.0,0.442658,-0.065585,0.068471,0.215505,0.310882,0.264396,,,,6.93,19260817.0,38.0
3.0,4.0,no_interactions,0.1,10.0,25.0,0.157085,0.016583,-0.034652,0.265026,0.298656,0.278646,,,,3.02,19260817.0,39.0
192.0,255.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,9.85,19260817.0,40.0
192.0,4.0,no_interactions,0.1,0.0001,400.0,0.696619,-0.046658,0.201092,0.158998,0.308109,0.244852,,,,109.51,19260817.0,41.0
24.0,4.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,10.71,19260817.0,42.0
192.0,255.0,pairwise,0.1,0.0001,400.0,0.999493,-0.048558,-0.087733,0.006497,0.308389,0.285704,,,,567.02,19260817.0,43.0
3.0,4.0,pairwise,1e-08,10.0,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,107.88,19260817.0,44.0
24.0,4.0,no_interactions,0.1,10.0,25.0,0.157085,0.016583,-0.034652,0.265026,0.298656,0.278646,,,,3.42,19260817.0,45.0
24.0,4.0,pairwise,1e-08,10.0,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,29.98,19260817.0,46.0
192.0,255.0,pairwise,0.1,0.0001,25.0,0.580448,0.048423,-0.032053,0.186977,0.293781,0.278296,,,,7.99,19260817.0,47.0
3.0,255.0,no_interactions,0.1,10.0,400.0,0.952197,-0.120167,-0.230776,0.063114,0.318745,0.30391,,,,16.48,19260817.0,48.0
192.0,255.0,no_interactions,1e-08,10.0,400.0,1e-06,-0.009,-0.048067,0.288666,0.302515,0.280447,,,,27.51,19260817.0,49.0
192.0,255.0,no_interactions,0.1,0.0001,25.0,0.424996,0.012171,-0.055192,0.218893,0.299325,0.281398,,,,2.25,19260817.0,50.0
192.0,4.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,24.1,19260817.0,51.0
24.0,4.0,pairwise,0.1,0.0001,400.0,0.98601,-0.154494,0.237027,0.034143,0.323592,0.239282,,,,24.9,19260817.0,52.0
3.0,4.0,pairwise,0.1,0.0001,400.0,0.984332,-0.279709,0.231029,0.036133,0.340689,0.240221,,,,17.78,19260817.0,53.0
192.0,4.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.64,19260817.0,54.0
24.0,255.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.49,19260817.0,55.0
24.0,4.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.13,19260817.0,56.0
3.0,4.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,25.89,19260817.0,57.0
3.0,4.0,no_interactions,1e-08,0.0001,400.0,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,28.38,19260817.0,58.0
24.0,255.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.93,19260817.0,59.0
192.0,255.0,no_interactions,0.1,10.0,400.0,0.965614,-0.10782,-0.193988,0.053529,0.316983,0.299334,,,,28.97,19260817.0,60.0
3.0,255.0,pairwise,0.1,10.0,25.0,0.465229,-0.021447,-0.027563,0.211096,0.304376,0.27769,,,,5.26,19260817.0,61.0
24.0,4.0,no_interactions,0.1,0.0001,400.0,0.696619,-0.046658,0.201092,0.158998,0.308109,0.244852,,,,15.52,19260817.0,62.0
192.0,4.0,pairwise,1e-08,10.0,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,22.38,19260817.0,63.0
3.0,4.0,pairwise,0.1,10.0,400.0,0.960895,-0.263821,0.228809,0.057083,0.338567,0.240567,,,,22.93,19260817.0,64.0
192.0,4.0,pairwise,0.1,0.0001,400.0,0.98601,-0.154494,0.237027,0.034143,0.323592,0.239282,,,,27.97,19260817.0,65.0
24.0,4.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.11,19260817.0,66.0
24.0,255.0,pairwise,0.1,10.0,400.0,0.996471,0.032948,-0.060992,0.017149,0.29616,0.282171,,,,22.37,19260817.0,67.0
24.0,255.0,pairwise,0.1,10.0,25.0,0.482912,-0.005303,0.012849,0.207577,0.301961,0.272175,,,,4.97,19260817.0,68.0
24.0,255.0,no_interactions,0.1,10.0,25.0,0.342599,0.021524,-0.039151,0.234051,0.297905,0.279251,,,,3.83,19260817.0,69.0
24.0,255.0,no_interactions,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,10.15,19260817.0,70.0
192.0,255.0,pairwise,0.1,10.0,25.0,0.482912,-0.005303,0.012849,0.207577,0.301961,0.272175,,,,4.08,19260817.0,71.0
3.0,255.0,pairwise,0.1,0.0001,25.0,0.538147,-0.015469,0.000943,0.196177,0.303484,0.273811,,,,1.83,19260817.0,72.0
3.0,4.0,no_interactions,0.1,0.0001,400.0,0.696619,-0.046658,0.201092,0.158998,0.308109,0.244852,,,,14.02,19260817.0,73.0
3.0,4.0,pairwise,0.1,0.0001,25.0,0.436491,-0.056964,0.070894,0.216694,0.309622,0.264051,,,,5.16,19260817.0,74.0
3.0,4.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,2.9,19260817.0,75.0
192.0,255.0,no_interactions,0.1,0.0001,400.0,0.984523,-0.10557,-0.287747,0.035912,0.316661,0.310864,,,,17.5,19260817.0,76.0
192.0,255.0,pairwise,0.1,10.0,400.0,0.996471,0.032948,-0.060992,0.017149,0.29616,0.282171,,,,25.16,19260817.0,77.0
24.0,255.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.7,19260817.0,78.0
192.0,4.0,no_interactions,1e-08,10.0,400.0,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,8.22,19260817.0,79.0
3.0,255.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,5.0,19260817.0,80.0
192.0,255.0,no_interactions,0.1,10.0,25.0,0.342599,0.021524,-0.039151,0.234051,0.297905,0.279251,,,,4.62,19260817.0,81.0
3.0,4.0,no_interactions,0.1,10.0,400.0,0.65307,0.004878,0.200616,0.170027,0.300428,0.244925,,,,12.44,19260817.0,82.0
24.0,255.0,pairwise,0.1,0.0001,25.0,0.580448,0.048423,-0.032053,0.186977,0.293781,0.278296,,,,4.73,19260817.0,83.0
3.0,255.0,pairwise,0.1,10.0,400.0,0.993628,-0.087002,-0.082519,0.023042,0.313991,0.285019,,,,7.82,19260817.0,84.0
192.0,255.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,5.29,19260817.0,85.0
3.0,4.0,pairwise,0.1,10.0,25.0,0.35733,-0.029624,0.030531,0.231414,0.305592,0.269726,,,,1.8,19260817.0,86.0
192.0,255.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.61,19260817.0,87.0
24.0,255.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009002,-0.048066,0.288666,0.302516,0.280447,,,,32.31,19260817.0,88.0
3.0,4.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.73,19260817.0,89.0
3.0,4.0,no_interactions,1e-08,10.0,400.0,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,11.41,19260817.0,90.0
192.0,255.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,5.14,19260817.0,91.0
192.0,4.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.73,19260817.0,92.0
24.0,4.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.24,19260817.0,93.0
24.0,64.0,pairwise,0.0001,0.1,100.0,0.003531,-0.011776,-0.047943,0.288156,0.302931,0.28043,,,,5.47,19260817.0,94.0
24.0,4.0,pairwise,0.1,10.0,400.0,0.964773,-0.163852,0.208798,0.054179,0.324901,0.243669,,,,12.3,19260817.0,95.0
192.0,4.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.68,19260817.0,96.0
12.0,64.0,pairwise,0.0001,0.1,100.0,0.003531,-0.011776,-0.047943,0.288156,0.302931,0.28043,,,,6.43,19260817.0,97.0
48.0,64.0,pairwise,0.0001,0.1,100.0,0.003531,-0.011776,-0.047943,0.288156,0.302931,0.28043,,,,7.65,19260817.0,98.0
24.0,16.0,pairwise,0.0001,0.1,100.0,0.00323,-0.010893,-0.047733,0.2882,0.302799,0.280402,,,,5.96,19260817.0,99.0
24.0,255.0,pairwise,0.0001,0.1,100.0,0.003654,-0.011857,-0.047453,0.288138,0.302944,0.280365,,,,8.55,19260817.0,100.0
24.0,64.0,no_interactions,0.0001,0.1,100.0,0.002459,-0.009929,-0.04759,0.288311,0.302655,0.280383,,,,6.66,19260817.0,101.0
24.0,64.0,pairwise,1e-06,0.1,100.0,3.6e-05,-0.009028,-0.048065,0.288661,0.30252,0.280446,,,,9.66,19260817.0,102.0
24.0,64.0,pairwise,0.01,0.1,100.0,0.306082,-0.013598,0.03174,0.240464,0.303204,0.269558,,,,7.48,19260817.0,103.0
24.0,64.0,pairwise,0.0001,0.01,100.0,0.003543,-0.011787,-0.047943,0.288155,0.302933,0.28043,,,,5.32,19260817.0,104.0
24.0,64.0,pairwise,0.0001,1.0,100.0,0.003432,-0.011193,-0.047935,0.288171,0.302844,0.280429,,,,5.16,19260817.0,105.0
24.0,64.0,pairwise,0.0001,0.1,50.0,0.001774,-0.010387,-0.048,0.28841,0.302723,0.280438,,,,4.07,19260817.0,106.0
24.0,64.0,pairwise,0.0001,0.1,200.0,0.007052,-0.013261,-0.047825,0.287647,0.303154,0.280414,,,,12.29,19260817.0,107.0
6.0,64.0,pairwise,0.0001,0.1,100.0,0.003531,-0.011776,-0.047943,0.288156,0.302931,0.28043,,,,6.55,19260817.0,108.0
12.0,16.0,pairwise,0.0001,0.1,100.0,0.00323,-0.010893,-0.047733,0.2882,0.302799,0.280402,,,,6.59,19260817.0,109.0
12.0,255.0,pairwise,0.0001,0.1,100.0,0.003654,-0.011857,-0.047453,0.288138,0.302944,0.280365,,,,3.93,19260817.0,110.0
12.0,64.0,no_interactions,0.0001,0.1,100.0,0.002459,-0.009929,-0.04759,0.288311,0.302655,0.280383,,,,6.83,19260817.0,111.0
12.0,64.0,pairwise,1e-06,0.1,100.0,3.6e-05,-0.009028,-0.048065,0.288661,0.30252,0.280446,,,,5.08,19260817.0,112.0
12.0,64.0,pairwise,0.01,0.1,100.0,0.306082,-0.013598,0.03174,0.240464,0.303204,0.269558,,,,4.96,19260817.0,113.0
12.0,64.0,pairwise,0.0001,0.01,100.0,0.003543,-0.011787,-0.047943,0.288155,0.302933,0.28043,,,,6.43,19260817.0,114.0
12.0,64.0,pairwise,0.0001,1.0,100.0,0.003432,-0.011193,-0.047935,0.288171,0.302844,0.280429,,,,5.71,19260817.0,115.0
12.0,64.0,pairwise,0.0001,0.1,50.0,0.001774,-0.010387,-0.048,0.28841,0.302723,0.280438,,,,3.43,19260817.0,116.0
12.0,64.0,pairwise,0.0001,0.1,200.0,0.007052,-0.013261,-0.047825,0.287647,0.303154,0.280414,,,,179.52,19260817.0,117.0
96.0,64.0,pairwise,0.0001,0.1,100.0,0.003531,-0.011776,-0.047943,0.288156,0.302931,0.28043,,,,18.18,19260817.0,118.0
48.0,16.0,pairwise,0.0001,0.1,100.0,0.00323,-0.010893,-0.047733,0.2882,0.302799,0.280402,,,,34.14,19260817.0,119.0
48.0,255.0,pairwise,0.0001,0.1,100.0,0.003654,-0.011857,-0.047453,0.288138,0.302944,0.280365,,,,149.15,19260817.0,120.0
48.0,64.0,no_interactions,0.0001,0.1,100.0,0.002459,-0.009929,-0.04759,0.288311,0.302655,0.280383,,,,19.0,19260817.0,121.0
48.0,64.0,pairwise,1e-06,0.1,100.0,3.6e-05,-0.009028,-0.048065,0.288661,0.30252,0.280446,,,,35.51,19260817.0,122.0
48.0,64.0,pairwise,0.01,0.1,100.0,0.306082,-0.013598,0.03174,0.240464,0.303204,0.269558,,,,11.97,19260817.0,123.0
48.0,64.0,pairwise,0.0001,0.01,100.0,0.003543,-0.011787,-0.047943,0.288155,0.302933,0.28043,,,,11.34,19260817.0,124.0
48.0,64.0,pairwise,0.0001,1.0,100.0,0.003432,-0.011193,-0.047935,0.288171,0.302844,0.280429,,,,147.77,19260817.0,125.0
48.0,64.0,pairwise,0.0001,0.1,50.0,0.001774,-0.010387,-0.048,0.28841,0.302723,0.280438,,,,7.94,19260817.0,126.0
48.0,64.0,pairwise,0.0001,0.1,200.0,0.007052,-0.013261,-0.047825,0.287647,0.303154,0.280414,,,,145.06,19260817.0,127.0
24.0,4.0,pairwise,0.0001,0.1,100.0,0.003563,-0.009314,-0.046189,0.288152,0.302563,0.280195,,,,42.9,19260817.0,128.0
24.0,16.0,no_interactions,0.0001,0.1,100.0,0.002287,-0.009932,-0.048229,0.288336,0.302655,0.280468,,,,91.9,19260817.0,129.0
24.0,16.0,pairwise,1e-06,0.1,100.0,3.3e-05,-0.009019,-0.048063,0.288662,0.302518,0.280446,,,,2.21,19260817.0,130.0
24.0,16.0,pairwise,0.01,0.1,100.0,0.259041,-0.000967,-0.026315,0.248481,0.301309,0.277521,,,,0.6,19260817.0,131.0
24.0,16.0,pairwise,0.0001,0.01,100.0,0.003241,-0.010899,-0.047731,0.288198,0.3028,0.280402,,,,0.38,19260817.0,132.0
24.0,16.0,pairwise,0.0001,1.0,100.0,0.003127,-0.010837,-0.047753,0.288215,0.302791,0.280405,,,,0.47,19260817.0,133.0
24.0,16.0,pairwise,0.0001,0.1,50.0,0.001623,-0.009945,-0.047895,0.288432,0.302657,0.280424,,,,0.64,19260817.0,134.0
24.0,16.0,pairwise,0.0001,0.1,200.0,0.006396,-0.0128,-0.047441,0.287742,0.303085,0.280363,,,,0.67,19260817.0,135.0
24.0,255.0,no_interactions,0.0001,0.1,100.0,0.002477,-0.009939,-0.047215,0.288309,0.302656,0.280333,,,,0.25,19260817.0,136.0
24.0,255.0,pairwise,1e-06,0.1,100.0,3.7e-05,-0.009029,-0.04806,0.288661,0.30252,0.280446,,,,0.27,19260817.0,137.0
24.0,255.0,pairwise,0.01,0.1,100.0,0.324068,-0.02037,0.021907,0.237327,0.304215,0.270923,,,,0.39,19260817.0,138.0
24.0,255.0,pairwise,0.0001,0.01,100.0,0.003667,-0.011869,-0.047451,0.288137,0.302945,0.280364,,,,0.36,19260817.0,139.0
24.0,255.0,pairwise,0.0001,1.0,100.0,0.003532,-0.011647,-0.047477,0.288156,0.302912,0.280368,,,,0.31,19260817.0,140.0
24.0,255.0,pairwise,0.0001,0.1,50.0,0.001836,-0.010427,-0.047754,0.288401,0.302729,0.280405,,,,0.11,19260817.0,141.0
24.0,255.0,pairwise,0.0001,0.1,200.0,0.007246,-0.014506,-0.046899,0.287619,0.30334,0.28029,,,,0.43,19260817.0,142.0
24.0,64.0,no_interactions,1e-06,0.1,100.0,2.5e-05,-0.00901,-0.048062,0.288663,0.302517,0.280446,,,,0.32,19260817.0,143.0
24.0,64.0,no_interactions,0.01,0.1,100.0,0.189973,0.004882,-0.031017,0.259804,0.300427,0.278156,,,,0.12,19260817.0,144.0
24.0,64.0,no_interactions,0.0001,0.01,100.0,0.002468,-0.009933,-0.047587,0.28831,0.302655,0.280383,,,,0.12,19260817.0,145.0
24.0,64.0,no_interactions,0.0001,1.0,100.0,0.002426,-0.00967,-0.047683,0.288316,0.302616,0.280395,,,,0.13,19260817.0,146.0
24.0,64.0,no_interactions,0.0001,0.1,50.0,0.001236,-0.009464,-0.047825,0.288488,0.302585,0.280414,,,,0.07,19260817.0,147.0
24.0,64.0,no_interactions,0.0001,0.1,200.0,0.005029,-0.010234,-0.047337,0.28794,0.3027,0.280349,,,,0.25,19260817.0,148.0
24.0,64.0,pairwise,1e-08,0.1,100.0,0.0,-0.009001,-0.048067,0.288666,0.302516,0.280447,,,,0.3,19260817.0,149.0
24.0,64.0,pairwise,1e-06,0.01,100.0,3.6e-05,-0.009028,-0.048065,0.288661,0.30252,0.280446,,,,0.25,19260817.0,150.0
24.0,64.0,pairwise,1e-06,1.0,100.0,3.4e-05,-0.009027,-0.048065,0.288661,0.30252,0.280446,,,,0.21,19260817.0,151.0
24.0,64.0,pairwise,1e-06,0.1,50.0,1.8e-05,-0.009014,-0.048066,0.288664,0.302518,0.280447,,,,0.16,19260817.0,152.0
24.0,64.0,pairwise,1e-06,0.1,200.0,7.1e-05,-0.009056,-0.048064,0.288656,0.302524,0.280446,,,,0.52,19260817.0,153.0
24.0,64.0,pairwise,0.1,0.1,100.0,0.910957,0.026556,-0.010139,0.086138,0.297138,0.275325,,,,93.44,19260817.0,154.0
24.0,64.0,pairwise,0.01,0.01,100.0,0.306885,-0.019229,0.034651,0.240325,0.304045,0.269152,,,,9.31,19260817.0,155.0
24.0,64.0,pairwise,0.01,1.0,100.0,0.296721,-0.012021,0.026599,0.242081,0.302968,0.270272,,,,6.56,19260817.0,156.0
24.0,64.0,pairwise,0.01,0.1,50.0,0.171525,-0.020377,-0.007775,0.262746,0.304216,0.275003,,,,9.58,19260817.0,157.0
24.0,64.0,pairwise,0.01,0.1,200.0,0.489524,0.007098,0.027777,0.206245,0.300093,0.270109,,,,19.29,19260817.0,158.0
24.0,64.0,pairwise,0.0001,0.001,100.0,0.003544,-0.011788,-0.047943,0.288154,0.302933,0.28043,,,,12.67,19260817.0,159.0
24.0,64.0,pairwise,0.0001,0.01,50.0,0.00178,-0.010393,-0.048,0.288409,0.302724,0.280438,,,,13.24,19260817.0,160.0
24.0,64.0,pairwise,0.0001,0.01,200.0,0.007069,-0.013428,-0.047828,0.287644,0.303179,0.280415,,,,11.74,19260817.0,161.0
24.0,64.0,pairwise,0.0001,10.0,100.0,0.002823,-0.007336,-0.047935,0.288259,0.302266,0.280429,,,,5.19,19260817.0,162.0
24.0,64.0,pairwise,0.0001,1.0,50.0,0.001714,-0.010337,-0.048001,0.288419,0.302716,0.280438,,,,8.07,19260817.0,163.0
24.0,64.0,pairwise,0.0001,1.0,200.0,0.0069,-0.011368,-0.047791,0.287669,0.30287,0.28041,,,,18.61,19260817.0,164.0
24.0,64.0,pairwise,0.0001,0.1,25.0,0.000889,-0.009694,-0.048032,0.288538,0.302619,0.280442,,,,4.41,19260817.0,165.0
