max_depth,max_bins,interaction_cst,learning_rate,l2_regularization,max_iter,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
24.0,255.0,no_interactions,0.1,0.0001,25.0,0.424996,0.012171,-0.055192,0.218893,0.299325,0.281398,,,,25.59,19260817.0,0.0
24.0,255.0,no_interactions,1e-08,10.0,400.0,1e-06,-0.009,-0.048067,0.288666,0.302515,0.280447,,,,399.89,19260817.0,1.0
24.0,4.0,no_interactions,0.1,0.0001,25.0,0.178739,0.023702,-0.03229,0.261599,0.297573,0.278328,,,,21.62,19260817.0,2.0
3.0,4.0,no_interactions,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,10.01,19260817.0,3.0
24.0,4.0,pairwise,0.1,0.0001,25.0,0.442658,-0.065585,0.068471,0.215505,0.310882,0.264396,,,,24.5,19260817.0,4.0
3.0,4.0,no_interactions,0.1,0.0001,25.0,0.178739,0.023702,-0.03229,0.261599,0.297573,0.278328,,,,19.94,19260817.0,5.0
24.0,255.0,no_interactions,0.1,0.0001,400.0,0.984523,-0.10557,-0.287747,0.035912,0.316661,0.310864,,,,250.06,19260817.0,6.0
3.0,255.0,no_interactions,0.1,0.0001,25.0,0.385475,0.001784,-0.028351,0.22629,0.300895,0.277796,,,,7.89,19260817.0,7.0
3.0,4.0,pairwise,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,8.74,19260817.0,8.0
192.0,4.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,7.13,19260817.0,9.0
24.0,4.0,pairwise,0.1,10.0,25.0,0.36235,-0.018039,0.036549,0.230509,0.303868,0.268888,,,,12.16,19260817.0,10.0
3.0,255.0,pairwise,1e-08,0.0001,400.0,1e-06,-0.009001,-0.048066,0.288666,0.302516,0.280447,,,,70.5,19260817.0,11.0
3.0,255.0,no_interactions,1e-08,0.0001,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,7.14,19260817.0,12.0
3.0,255.0,pairwise,1e-08,10.0,25.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,7.02,19260817.0,13.0
