learning_rate,n_estimators,subsample,min_samples_split,max_depth,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
1e-08,25.0,0.25,2.0,3.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,110.0
0.01,800.0,0.25,2.0,3.0,0.25,0.87023,0.012718,0.044245,0.103988,0.299242,0.267811,,,,0.25,42.0,111.0
0.01,25.0,1.0,2.0,384.0,1.0,0.394895,0.003681,-0.021103,0.224549,0.300608,0.276816,,,,0.01,42.0,112.0
10.0,800.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.17,42.0,113.0
0.01,800.0,0.25,64.0,3.0,0.25,-1e-05,-0.009589,-0.049549,0.288668,0.302604,0.280645,,,,0.18,42.0,114.0
1e-08,800.0,1.0,64.0,384.0,1.0,3e-06,-0.009,-0.048066,0.288666,0.302515,0.280447,,,,0.2,42.0,115.0
1e-08,800.0,1.0,2.0,384.0,0.25,1.6e-05,-0.008999,-0.048064,0.288664,0.302515,0.280446,,,,1.11,42.0,116.0
10.0,800.0,1.0,2.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3,42.0,117.0
0.01,800.0,1.0,2.0,48.0,0.25,0.99975,-0.007875,0.054848,0.004566,0.302347,0.266322,,,,1.07,42.0,118.0
0.01,25.0,1.0,2.0,48.0,0.25,0.394895,0.033339,0.012551,0.224549,0.296101,0.272216,,,,0.03,42.0,119.0
0.01,800.0,1.0,2.0,384.0,1.0,0.99975,0.038491,0.000776,0.004566,0.29531,0.273834,,,,0.34,42.0,120.0
0.01,25.0,0.25,64.0,3.0,0.25,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,121.0
0.01,25.0,0.25,2.0,3.0,1.0,0.055164,0.002819,-0.049137,0.280591,0.300739,0.28059,,,,0.01,42.0,122.0
0.01,25.0,1.0,2.0,384.0,0.25,0.394895,0.033339,0.012551,0.224549,0.296101,0.272216,,,,0.03,42.0,123.0
10.0,800.0,1.0,2.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.34,42.0,124.0
1e-08,25.0,0.25,2.0,384.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,125.0
1e-08,25.0,1.0,2.0,3.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,42.0,126.0
1e-08,25.0,0.25,2.0,3.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,127.0
10.0,800.0,1.0,2.0,384.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.12,42.0,128.0
0.01,800.0,1.0,64.0,384.0,1.0,0.883633,0.021143,0.046531,0.098472,0.297963,0.267491,,,,0.2,42.0,129.0
10.0,25.0,1.0,2.0,384.0,0.25,-5.1524861473855e+47,-4.877946039687024e+47,-6.411098569996612e+47,2.0720708271446397e+23,2.1033937665864692e+23,2.193421309231976e+23,,,,0.04,42.0,130.0
0.01,25.0,0.25,2.0,3.0,0.25,0.077256,0.024268,-0.040638,0.277292,0.297487,0.279451,,,,0.01,42.0,131.0
10.0,800.0,1.0,2.0,384.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.39,42.0,132.0
1e-08,25.0,1.0,2.0,48.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,133.0
10.0,800.0,0.25,2.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21,42.0,134.0
0.01,25.0,1.0,2.0,48.0,1.0,0.394895,0.003681,-0.021103,0.224549,0.300608,0.276816,,,,0.01,42.0,135.0
10.0,800.0,1.0,64.0,48.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.22,42.0,136.0
1e-08,800.0,0.25,2.0,384.0,0.25,5e-06,-0.008999,-0.048066,0.288666,0.302515,0.280447,,,,0.32,42.0,137.0
10.0,25.0,1.0,64.0,3.0,1.0,-5.340302619707741e+29,-2.542441600830011e+29,-3.719852820534215e+29,210949798004816.8,151854469765257.3,167077785263916.9,,,,0.01,42.0,138.0
1e-08,25.0,1.0,64.0,48.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,139.0
1e-08,25.0,0.25,64.0,3.0,1.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,140.0
0.01,800.0,1.0,2.0,3.0,0.25,0.917543,-0.033041,0.027351,0.082891,0.306098,0.270168,,,,0.47,42.0,141.0
0.01,200.0,0.7,16.0,48.0,0.7,0.862936,0.00341,0.051884,0.10687,0.300649,0.266739,,,,0.32,42.0,142.0
0.01,800.0,1.0,64.0,384.0,0.25,0.954132,-0.072894,-0.011104,0.061823,0.311947,0.275457,,,,0.7,42.0,143.0
10.0,800.0,0.25,64.0,48.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.17,42.0,144.0
0.0001,200.0,0.7,16.0,48.0,0.7,0.021503,-0.006249,-0.043621,0.285546,0.302103,0.279851,,,,0.29,42.0,145.0
0.1,200.0,0.7,16.0,48.0,0.7,0.999748,-0.270364,-0.021043,0.00458,0.339443,0.276808,,,,0.37,42.0,146.0
0.01,100.0,0.7,16.0,48.0,0.7,0.643855,0.014276,0.030403,0.17227,0.299006,0.269744,,,,0.15,42.0,147.0
0.01,400.0,0.7,16.0,48.0,0.7,0.974339,-0.032547,0.039625,0.046242,0.306025,0.268458,,,,0.64,42.0,148.0
0.01,200.0,0.55,16.0,48.0,0.7,0.781285,0.011936,0.026342,0.135,0.299361,0.270308,,,,0.21,42.0,149.0
0.01,200.0,0.85,16.0,48.0,0.7,0.910257,-0.018138,0.081309,0.086476,0.303882,0.262567,,,,0.39,42.0,150.0
0.01,200.0,0.7,8.0,48.0,0.7,0.924936,-0.031086,0.068288,0.079088,0.305808,0.264421,,,,0.39,42.0,151.0
0.01,200.0,0.7,32.0,48.0,0.7,0.731024,0.027445,0.040816,0.149711,0.297002,0.268291,,,,0.28,42.0,152.0
0.01,200.0,0.7,16.0,24.0,0.7,0.862936,0.00341,0.051884,0.10687,0.300649,0.266739,,,,0.4,42.0,153.0
0.01,200.0,0.7,16.0,96.0,0.7,0.862936,0.00341,0.051884,0.10687,0.300649,0.266739,,,,0.32,42.0,154.0
0.01,200.0,0.7,16.0,48.0,0.55,0.859089,-0.003088,0.067167,0.10836,0.301628,0.26458,,,,0.25,42.0,155.0
0.01,200.0,0.7,16.0,48.0,0.85,0.868133,0.01592,0.038963,0.104825,0.298757,0.26855,,,,0.36,42.0,156.0
0.0001,100.0,0.7,16.0,48.0,0.7,0.010928,-0.007531,-0.046053,0.287085,0.302295,0.280177,,,,0.14,42.0,157.0
0.1,100.0,0.7,16.0,48.0,0.7,0.999445,-0.27129,-0.01838,0.006798,0.339566,0.276446,,,,0.18,42.0,158.0
0.01,50.0,0.7,16.0,48.0,0.7,0.410401,0.00261,0.021959,0.221653,0.30077,0.270916,,,,0.07,42.0,159.0
0.01,100.0,0.55,16.0,48.0,0.7,0.550316,0.056001,0.024394,0.193575,0.292609,0.270578,,,,0.11,42.0,160.0
0.01,100.0,0.85,16.0,48.0,0.7,0.710168,-0.001207,0.080138,0.155406,0.301345,0.262734,,,,0.19,42.0,161.0
0.01,100.0,0.7,8.0,48.0,0.7,0.737332,-0.004579,0.067529,0.147945,0.301852,0.264529,,,,0.17,42.0,162.0
0.01,100.0,0.7,32.0,48.0,0.7,0.498396,0.02734,0.022086,0.204445,0.297018,0.270898,,,,0.12,42.0,163.0
0.01,100.0,0.7,16.0,24.0,0.7,0.643855,0.014276,0.030403,0.17227,0.299006,0.269744,,,,0.14,42.0,164.0
0.01,100.0,0.7,16.0,96.0,0.7,0.643855,0.014276,0.030403,0.17227,0.299006,0.269744,,,,0.14,42.0,165.0
0.01,100.0,0.7,16.0,48.0,0.55,0.644408,0.021742,0.048334,0.172136,0.297871,0.267238,,,,0.12,42.0,166.0
0.01,100.0,0.7,16.0,48.0,0.85,0.653872,0.038295,0.026274,0.16983,0.295341,0.270318,,,,0.17,42.0,167.0
0.0001,200.0,0.55,16.0,48.0,0.7,0.017339,-0.006141,-0.044499,0.286153,0.302087,0.279969,,,,0.21,42.0,168.0
0.1,200.0,0.55,16.0,48.0,0.7,0.99972,-0.117537,-0.131604,0.004832,0.318371,0.291409,,,,0.27,42.0,169.0
0.01,400.0,0.55,16.0,48.0,0.7,0.940117,-0.018086,0.015963,0.07064,0.303875,0.271745,,,,0.45,42.0,170.0
0.01,200.0,0.4,16.0,48.0,0.7,0.683278,0.043388,0.029386,0.162456,0.294557,0.269885,,,,0.18,42.0,171.0
0.01,200.0,0.55,8.0,48.0,0.7,0.864449,0.045353,0.08546,0.106279,0.294255,0.261973,,,,0.26,42.0,172.0
0.01,200.0,0.55,32.0,48.0,0.7,0.613738,0.053772,0.054084,0.179406,0.292954,0.266429,,,,0.17,42.0,173.0
0.01,200.0,0.55,16.0,24.0,0.7,0.781285,0.011936,0.026342,0.135,0.299361,0.270308,,,,0.23,42.0,174.0
0.01,200.0,0.55,16.0,96.0,0.7,0.781285,0.011936,0.026342,0.135,0.299361,0.270308,,,,0.22,42.0,175.0
0.01,200.0,0.55,16.0,48.0,0.55,0.777968,0.052613,0.043137,0.136021,0.293134,0.267967,,,,0.19,42.0,176.0
0.01,200.0,0.55,16.0,48.0,0.85,0.782694,-0.003955,0.048452,0.134565,0.301758,0.267221,,,,0.26,42.0,177.0
0.0001,200.0,0.7,32.0,48.0,0.7,0.01481,-0.006511,-0.044182,0.286521,0.302142,0.279926,,,,0.26,42.0,178.0
0.1,200.0,0.7,32.0,48.0,0.7,0.999449,-0.132903,-0.035245,0.006777,0.320552,0.278726,,,,0.3,42.0,179.0
0.01,400.0,0.7,32.0,48.0,0.7,0.909621,-0.011107,0.022249,0.086782,0.302831,0.270876,,,,0.62,42.0,180.0
0.01,200.0,0.85,32.0,48.0,0.7,0.787388,0.015239,0.056122,0.133104,0.29886,0.266142,,,,0.35,42.0,181.0
0.01,200.0,0.7,64.0,48.0,0.7,0.517899,0.035694,0.046117,0.200431,0.29574,0.267549,,,,0.19,42.0,182.0
0.01,200.0,0.7,32.0,24.0,0.7,0.731024,0.027445,0.040816,0.149711,0.297002,0.268291,,,,0.26,42.0,183.0
0.01,200.0,0.7,32.0,96.0,0.7,0.731024,0.027445,0.040816,0.149711,0.297002,0.268291,,,,0.26,42.0,184.0
