learning_rate,n_estimators,subsample,min_samples_split,max_depth,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
1e-08,800.0,1.0,64.0,48.0,1.0,3e-06,-0.009,-0.048066,0.288666,0.302515,0.280447,,,,0.36,42.0,0.0
10.0,800.0,0.25,64.0,384.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,42.0,1.0
1e-08,25.0,1.0,2.0,384.0,0.25,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.04,42.0,2.0
1e-08,25.0,1.0,2.0,48.0,0.25,0.0,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.04,42.0,3.0
0.01,800.0,0.25,2.0,3.0,1.0,0.776717,0.087844,0.078929,0.136403,0.287632,0.262907,,,,0.21,42.0,4.0
0.01,25.0,0.25,2.0,48.0,0.25,0.13256,0.01738,-0.026718,0.268854,0.298535,0.277576,,,,0.01,42.0,5.0
1e-08,25.0,1.0,64.0,384.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,6.0
10.0,800.0,1.0,64.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.32,42.0,7.0
0.01,25.0,0.25,64.0,3.0,1.0,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,8.0
10.0,25.0,0.25,2.0,3.0,0.25,-2.0822540763273658e+46,-1.6692208495541813e+46,-1.593724755848967e+46,4.165460690267728e+22,3.8909798969005035e+22,3.458298614122215e+22,,,,0.01,42.0,9.0
10.0,800.0,0.25,64.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.19,42.0,10.0
10.0,800.0,1.0,2.0,48.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.36,42.0,11.0
10.0,25.0,1.0,2.0,48.0,1.0,-5.1524861473855e+47,-6.127867616815097e+47,-6.3867012826580614e+47,2.0720708271446397e+23,2.35752753529713e+23,2.189243824080428e+23,,,,0.01,42.0,12.0
10.0,25.0,1.0,64.0,48.0,0.25,-1.2348820541741693e+42,-1.1940257624855494e+42,-8.703640734400164e+41,3.207812087523041e+20,3.290856426482571e+20,2.5556790289878463e+20,,,,0.02,42.0,13.0
0.01,25.0,1.0,64.0,384.0,0.25,0.137774,0.00333,-0.009505,0.268044,0.300661,0.275239,,,,0.02,42.0,14.0
10.0,25.0,1.0,2.0,384.0,1.0,-5.1524861473855e+47,-6.127867616815097e+47,-6.3867012826580614e+47,2.0720708271446397e+23,2.35752753529713e+23,2.189243824080428e+23,,,,0.01,42.0,15.0
0.01,25.0,0.25,2.0,48.0,1.0,0.133287,0.000309,-0.045657,0.268741,0.301117,0.280124,,,,0.01,42.0,16.0
0.01,800.0,1.0,64.0,48.0,0.25,0.954132,-0.072894,-0.011104,0.061823,0.311947,0.275457,,,,0.77,42.0,17.0
1e-08,25.0,1.0,64.0,3.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,42.0,18.0
1e-08,800.0,1.0,2.0,48.0,1.0,1.6e-05,-0.008999,-0.048065,0.288664,0.302515,0.280446,,,,0.38,42.0,19.0
1e-08,800.0,0.25,2.0,48.0,0.25,5e-06,-0.008999,-0.048066,0.288666,0.302515,0.280447,,,,0.34,42.0,20.0
0.01,25.0,1.0,64.0,384.0,1.0,0.088387,-0.000805,-0.028332,0.275614,0.301284,0.277794,,,,0.01,42.0,21.0
1e-08,800.0,0.25,2.0,3.0,1.0,2e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.21,42.0,22.0
0.01,25.0,0.25,64.0,48.0,1.0,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,23.0
1e-08,800.0,1.0,64.0,48.0,0.25,5e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,1.28,42.0,24.0
10.0,800.0,0.25,2.0,384.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.46,42.0,25.0
10.0,25.0,0.25,2.0,48.0,0.25,-4.1540640107052234e+48,-2.7035468372620102e+48,-4.601669030764991e+48,5.8834595517803844e+23,4.951867729014064e+23,5.876429374195039e+23,,,,0.02,42.0,26.0
1e-08,25.0,0.25,64.0,48.0,0.25,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,27.0
10.0,800.0,1.0,64.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.39,42.0,28.0
0.01,25.0,0.25,64.0,384.0,1.0,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,29.0
10.0,25.0,1.0,64.0,384.0,1.0,-1.0300370162156726e+35,-1.0532032837760572e+35,-7.909245300331601e+34,9.26451301902431e+16,9.773681647843152e+16,7.70412558889817e+16,,,,0.02,42.0,30.0
10.0,800.0,0.25,2.0,384.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.28,42.0,31.0
10.0,25.0,1.0,64.0,3.0,0.25,-4.941755736439003e+43,-7.545377285920428e+41,-1.3395621006001054e+44,2.02925590036954e+21,2.616029076992875e+20,3.170569351525753e+21,,,,0.02,42.0,32.0
0.01,800.0,1.0,64.0,48.0,1.0,0.883633,0.021143,0.046531,0.098472,0.297963,0.267491,,,,0.27,42.0,33.0
1e-08,800.0,0.25,2.0,3.0,0.25,3e-06,-0.009,-0.048066,0.288666,0.302515,0.280447,,,,0.3,42.0,34.0
0.01,25.0,1.0,2.0,3.0,0.25,0.126647,-0.003733,-0.019015,0.269768,0.301725,0.276532,,,,0.02,42.0,35.0
10.0,25.0,0.25,2.0,3.0,1.0,-5.122271881872692e+42,-4.446016583709568e+42,-4.969736204631174e+42,6.533223161875502e+20,6.350203248343495e+20,6.106923780729695e+20,,,,0.01,42.0,36.0
1e-08,25.0,1.0,64.0,48.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,42.0,37.0
10.0,25.0,0.25,64.0,3.0,1.0,-3.0178397239150434e+45,-2.772581731340634e+45,-3.351018829013872e+45,1.5857848531780731e+22,1.585784853178073e+22,1.585784853178073e+22,,,,0.01,42.0,38.0
1e-08,800.0,0.25,64.0,384.0,1.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.19,42.0,39.0
0.01,800.0,0.25,64.0,384.0,0.25,-1e-05,-0.009589,-0.049549,0.288668,0.302604,0.280645,,,,0.21,42.0,40.0
10.0,25.0,1.0,2.0,48.0,0.25,-5.1524861473855e+47,-4.877946039687024e+47,-6.411098569996612e+47,2.0720708271446397e+23,2.1033937665864692e+23,2.193421309231976e+23,,,,0.04,42.0,41.0
0.01,25.0,1.0,64.0,3.0,1.0,0.060863,-0.002294,-0.031499,0.279744,0.301509,0.278221,,,,0.01,42.0,42.0
10.0,25.0,0.25,64.0,384.0,1.0,-3.0178397239150434e+45,-2.772581731340634e+45,-3.351018829013872e+45,1.5857848531780731e+22,1.585784853178073e+22,1.585784853178073e+22,,,,0.01,42.0,43.0
0.01,800.0,0.25,64.0,3.0,1.0,-1e-05,-0.009589,-0.049549,0.288668,0.302604,0.280645,,,,0.3,42.0,44.0
10.0,25.0,0.25,64.0,48.0,0.25,-3.0178397239150434e+45,-2.772581731340634e+45,-3.351018829013872e+45,1.5857848531780731e+22,1.585784853178073e+22,1.585784853178073e+22,,,,0.01,42.0,45.0
1e-08,800.0,0.25,64.0,48.0,1.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.23,42.0,46.0
1e-08,800.0,1.0,64.0,384.0,0.25,5e-06,-0.008999,-0.048065,0.288666,0.302515,0.280446,,,,0.74,42.0,47.0
10.0,25.0,0.25,64.0,384.0,0.25,-3.0178397239150434e+45,-2.772581731340634e+45,-3.351018829013872e+45,1.5857848531780731e+22,1.585784853178073e+22,1.585784853178073e+22,,,,0.01,42.0,48.0
1e-08,25.0,1.0,2.0,3.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,49.0
1e-08,25.0,0.25,64.0,48.0,1.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,50.0
0.01,25.0,1.0,64.0,3.0,0.25,0.093358,0.001342,-0.02169,0.274862,0.300961,0.276895,,,,0.02,42.0,51.0
0.01,25.0,1.0,64.0,48.0,0.25,0.137774,0.00333,-0.009505,0.268044,0.300661,0.275239,,,,0.02,42.0,52.0
1e-08,25.0,0.25,2.0,48.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,42.0,53.0
1e-08,25.0,1.0,2.0,384.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,54.0
1e-08,800.0,0.25,64.0,3.0,1.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.24,42.0,55.0
1e-08,25.0,0.25,64.0,3.0,0.25,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,56.0
0.01,800.0,1.0,2.0,384.0,0.25,0.99975,-0.007875,0.054848,0.004566,0.302347,0.266322,,,,1.39,42.0,57.0
10.0,25.0,0.25,2.0,48.0,1.0,-1.494427232935193e+49,-1.3199904078219905e+49,-1.501257883989214e+49,1.1159212980313239e+24,1.0941767298566384e+24,1.0614107499572204e+24,,,,0.01,42.0,58.0
0.01,800.0,0.25,64.0,384.0,1.0,-1e-05,-0.009589,-0.049549,0.288668,0.302604,0.280645,,,,0.17,42.0,59.0
1e-08,800.0,1.0,64.0,3.0,1.0,2e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.19,42.0,60.0
1e-08,800.0,0.25,64.0,48.0,0.25,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.18,42.0,61.0
0.01,25.0,0.25,2.0,384.0,1.0,0.133287,0.000309,-0.045657,0.268741,0.301117,0.280124,,,,0.01,42.0,62.0
0.01,25.0,0.25,2.0,384.0,0.25,0.13256,0.01738,-0.026718,0.268854,0.298535,0.277576,,,,0.01,42.0,63.0
10.0,800.0,0.25,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,42.0,64.0
10.0,800.0,1.0,64.0,384.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.34,42.0,65.0
0.01,800.0,0.25,2.0,384.0,1.0,0.976497,-0.017554,0.062415,0.044255,0.303795,0.265254,,,,0.22,42.0,66.0
1e-08,25.0,0.25,64.0,384.0,0.25,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,67.0
10.0,25.0,1.0,64.0,384.0,0.25,-1.2348820541741693e+42,-1.1940257624855494e+42,-8.703640734400164e+41,3.207812087523041e+20,3.290856426482571e+20,2.5556790289878463e+20,,,,0.02,42.0,68.0
1e-08,800.0,1.0,2.0,48.0,0.25,1.6e-05,-0.008999,-0.048064,0.288664,0.302515,0.280446,,,,1.34,42.0,69.0
10.0,25.0,0.25,2.0,384.0,1.0,-1.494427232935193e+49,-1.3199904078219905e+49,-1.501257883989214e+49,1.1159212980313239e+24,1.0941767298566384e+24,1.0614107499572204e+24,,,,0.01,42.0,70.0
1e-08,25.0,0.25,2.0,384.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,71.0
10.0,25.0,1.0,2.0,3.0,1.0,-3.3916909186304133e+40,-4.778861740998246e+38,-3.4055380484898005e+38,5.316236760569959e+19,6.583613386839376e+18,5.055320560946633e+18,,,,0.01,42.0,72.0
1e-08,800.0,0.25,2.0,384.0,1.0,5e-06,-0.009,-0.048066,0.288666,0.302515,0.280447,,,,0.46,42.0,73.0
1e-08,800.0,1.0,2.0,384.0,1.0,1.6e-05,-0.008999,-0.048065,0.288664,0.302515,0.280446,,,,0.45,42.0,74.0
0.01,25.0,0.25,64.0,384.0,0.25,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,75.0
1e-08,800.0,1.0,2.0,3.0,0.25,5e-06,-0.009,-0.048065,0.288666,0.302516,0.280447,,,,0.49,42.0,76.0
0.01,800.0,1.0,64.0,3.0,1.0,0.735171,0.053497,0.055828,0.148552,0.292997,0.266184,,,,0.18,42.0,77.0
1e-08,800.0,0.25,64.0,3.0,0.25,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.18,42.0,78.0
10.0,25.0,0.25,64.0,3.0,0.25,-3.0178397239150434e+45,-2.772581731340634e+45,-3.351018829013872e+45,1.5857848531780731e+22,1.585784853178073e+22,1.585784853178073e+22,,,,0.01,42.0,79.0
1e-08,800.0,1.0,2.0,3.0,1.0,3e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.18,42.0,80.0
1e-08,800.0,0.25,64.0,384.0,0.25,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.18,42.0,81.0
0.01,800.0,0.25,2.0,48.0,1.0,0.976497,-0.017554,0.062415,0.044255,0.303795,0.265254,,,,0.32,42.0,82.0
1e-08,800.0,1.0,64.0,3.0,0.25,3e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,0.5,42.0,83.0
10.0,800.0,0.25,64.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.18,42.0,84.0
10.0,25.0,1.0,2.0,3.0,0.25,-2.8380912887684527e+46,-4.800261189058766e+44,-3.4267339627971704e+46,4.8630570027087536e+22,6.598337429208955e+21,5.071028200856801e+22,,,,0.02,42.0,85.0
10.0,800.0,1.0,64.0,384.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.56,42.0,86.0
10.0,800.0,0.25,64.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.18,42.0,87.0
10.0,25.0,0.25,64.0,48.0,1.0,-3.0178397239150434e+45,-2.772581731340634e+45,-3.351018829013872e+45,1.5857848531780731e+22,1.585784853178073e+22,1.585784853178073e+22,,,,0.01,42.0,88.0
0.01,800.0,0.25,64.0,48.0,1.0,-1e-05,-0.009589,-0.049549,0.288668,0.302604,0.280645,,,,0.19,42.0,89.0
0.01,25.0,1.0,64.0,48.0,1.0,0.088387,-0.000805,-0.028332,0.275614,0.301284,0.277794,,,,0.01,42.0,90.0
0.01,800.0,1.0,2.0,3.0,1.0,0.861651,0.042785,0.061063,0.10737,0.29465,0.265445,,,,0.22,42.0,91.0
1e-08,25.0,1.0,64.0,384.0,0.25,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,42.0,92.0
0.01,800.0,0.25,2.0,384.0,0.25,0.969606,0.003661,0.005988,0.050326,0.300612,0.273119,,,,0.37,42.0,93.0
0.01,800.0,1.0,2.0,48.0,1.0,0.99975,0.038491,0.000776,0.004566,0.29531,0.273834,,,,0.38,42.0,94.0
0.01,25.0,0.25,64.0,48.0,0.25,-0.000111,-0.007186,-0.043322,0.288682,0.302244,0.279811,,,,0.01,42.0,95.0
10.0,800.0,1.0,64.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.37,42.0,96.0
10.0,800.0,0.25,64.0,384.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.19,42.0,97.0
10.0,25.0,1.0,64.0,48.0,1.0,-1.0300370162156726e+35,-1.0532032837760572e+35,-7.909245300331601e+34,9.26451301902431e+16,9.773681647843152e+16,7.70412558889817e+16,,,,0.01,42.0,98.0
1e-08,25.0,0.25,64.0,384.0,1.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,99.0
0.01,800.0,1.0,64.0,3.0,0.25,0.825186,-0.033573,0.012981,0.120694,0.306177,0.272156,,,,0.43,42.0,100.0
1e-08,800.0,0.25,2.0,48.0,1.0,5e-06,-0.009,-0.048066,0.288666,0.302515,0.280447,,,,0.22,42.0,101.0
0.01,800.0,0.25,64.0,48.0,0.25,-1e-05,-0.009589,-0.049549,0.288668,0.302604,0.280645,,,,0.17,42.0,102.0
10.0,25.0,0.25,2.0,384.0,0.25,-4.1540640107052234e+48,-2.7035468372620102e+48,-4.601669030764991e+48,5.8834595517803844e+23,4.951867729014064e+23,5.876429374195039e+23,,,,0.01,42.0,103.0
10.0,800.0,0.25,2.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.38,42.0,104.0
1e-08,25.0,1.0,64.0,3.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,105.0
1e-08,25.0,0.25,2.0,48.0,1.0,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.01,42.0,106.0
10.0,800.0,0.25,2.0,48.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.34,42.0,107.0
0.01,25.0,1.0,2.0,3.0,1.0,0.084203,-0.000908,-0.031875,0.276246,0.3013,0.278272,,,,0.01,42.0,108.0
0.01,800.0,0.25,2.0,48.0,0.25,0.969606,0.003661,0.005988,0.050326,0.300612,0.273119,,,,0.33,42.0,109.0
