max_bins,min_samples_leaf,interactions,max_leaves,learning_rate,max_rounds,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
4.0,32.0,2.0,10000.0,1.0,25.0,0.963808,0.089841,0.125576,0.054917,0.287317,0.256163,,,,7.6,19260817.0,-1.0,0.0
4096.0,2.0,2.0,10000.0,1.0,200.0,0.868783,-1.221335,-0.627821,0.104566,0.448858,0.34951,,,,3.22,19260817.0,-1.0,1.0
4096.0,32.0,8.0,100.0,0.001,200.0,0.949031,-0.056568,-0.087763,0.06517,0.309564,0.285708,,,,3.62,19260817.0,-1.0,2.0
4096.0,32.0,8.0,10000.0,0.001,200.0,0.874302,-0.089538,-0.210216,0.102343,0.314357,0.301361,,,,4.0,19260817.0,-1.0,3.0
4.0,32.0,2.0,100.0,1.0,200.0,0.963808,0.089841,0.125576,0.054917,0.287317,0.256163,,,,1.93,19260817.0,-1.0,4.0
4096.0,32.0,2.0,100.0,0.001,200.0,0.947908,-0.057699,-0.088511,0.065884,0.30973,0.285807,,,,3.05,19260817.0,-1.0,5.0
4096.0,2.0,2.0,10000.0,1.0,25.0,0.868777,-1.221295,-0.627772,0.104569,0.448854,0.349504,,,,0.68,19260817.0,-1.0,6.0
4096.0,2.0,8.0,100.0,1.0,200.0,0.940498,-0.889072,-0.291486,0.070415,0.413929,0.311315,,,,2.77,19260817.0,-1.0,7.0
4.0,32.0,2.0,100.0,0.001,200.0,0.245679,0.054039,-0.017641,0.250711,0.292913,0.276346,,,,1.62,19260817.0,-1.0,8.0
4.0,2.0,8.0,100.0,0.001,25.0,-0.136164,-0.616327,-0.958006,0.307692,0.382884,0.383321,,,,0.68,19260817.0,-1.0,9.0
4.0,2.0,8.0,10000.0,0.001,200.0,0.620774,0.040748,0.01603,0.177764,0.294964,0.271736,,,,3.0,19260817.0,-1.0,10.0
4.0,32.0,8.0,100.0,1.0,25.0,0.963847,0.095598,0.125576,0.054887,0.286407,0.256163,,,,0.57,19260817.0,-1.0,11.0
4.0,2.0,8.0,100.0,0.001,200.0,0.620774,0.040748,0.01603,0.177764,0.294964,0.271736,,,,2.97,19260817.0,-1.0,12.0
4.0,2.0,8.0,100.0,1.0,25.0,0.953182,0.123077,0.118657,0.06246,0.282022,0.257175,,,,0.73,19260817.0,-1.0,13.0
4096.0,2.0,2.0,100.0,1.0,25.0,0.940398,-0.889021,-0.288647,0.070474,0.413924,0.310973,,,,0.49,19260817.0,-1.0,14.0
4.0,2.0,8.0,100.0,1.0,200.0,0.953182,0.123077,0.118657,0.06246,0.282022,0.257175,,,,2.12,19260817.0,-1.0,15.0
4096.0,2.0,2.0,10000.0,0.001,200.0,0.873608,-0.090105,-0.210465,0.102626,0.314439,0.301392,,,,2.94,19260817.0,-1.0,16.0
4.0,32.0,8.0,100.0,0.001,200.0,0.571472,0.099829,-0.010602,0.188967,0.285736,0.275389,,,,2.5,19260817.0,-1.0,17.0
4096.0,32.0,2.0,10000.0,1.0,200.0,0.869116,-1.207158,-0.627767,0.104433,0.447424,0.349504,,,,3.56,19260817.0,-1.0,18.0
4096.0,32.0,8.0,100.0,1.0,200.0,0.939082,-0.936135,-0.300428,0.071247,0.419054,0.312391,,,,3.27,19260817.0,-1.0,19.0
4096.0,2.0,8.0,10000.0,1.0,25.0,0.869101,-1.220723,-0.624101,0.104439,0.448796,0.34911,,,,0.63,19260817.0,-1.0,20.0
4096.0,32.0,2.0,100.0,1.0,25.0,0.939014,-0.886472,-0.298727,0.071287,0.413644,0.312187,,,,0.44,19260817.0,-1.0,21.0
4.0,2.0,2.0,10000.0,0.001,25.0,-0.446775,-0.654829,-1.014302,0.347214,0.387417,0.388793,,,,0.47,19260817.0,-1.0,22.0
4096.0,32.0,8.0,10000.0,0.001,25.0,0.158915,-0.814333,-1.287434,0.264738,0.405659,0.414314,,,,0.59,19260817.0,-1.0,23.0
4096.0,32.0,8.0,10000.0,1.0,200.0,0.869116,-1.207158,-0.627767,0.104433,0.447424,0.349504,,,,2.36,19260817.0,-1.0,24.0
4096.0,32.0,2.0,100.0,1.0,200.0,0.939035,-0.936135,-0.300596,0.071275,0.419054,0.312412,,,,1.62,19260817.0,-1.0,25.0
4096.0,32.0,2.0,10000.0,0.001,25.0,-0.030883,-0.861391,-1.347693,0.29309,0.410886,0.419736,,,,0.49,19260817.0,-1.0,26.0
4096.0,2.0,8.0,100.0,1.0,25.0,0.940398,-0.889021,-0.289011,0.070474,0.413924,0.311017,,,,0.57,19260817.0,-1.0,27.0
4.0,32.0,2.0,100.0,1.0,25.0,0.963808,0.089841,0.125576,0.054917,0.287317,0.256163,,,,0.28,19260817.0,-1.0,28.0
4.0,32.0,8.0,10000.0,0.001,200.0,0.571472,0.099829,-0.010602,0.188967,0.285736,0.275389,,,,1.95,19260817.0,-1.0,29.0
4.0,32.0,2.0,100.0,0.001,25.0,-0.451926,-0.665197,-1.021873,0.347831,0.388629,0.389523,,,,0.34,19260817.0,-1.0,30.0
4096.0,32.0,2.0,100.0,0.001,25.0,-0.010104,-0.754551,-1.172842,0.290121,0.398919,0.403803,,,,0.65,19260817.0,-1.0,31.0
4096.0,2.0,8.0,10000.0,0.001,25.0,0.157914,-0.815903,-1.276849,0.264895,0.405834,0.413355,,,,0.78,19260817.0,-1.0,32.0
4.0,32.0,2.0,10000.0,0.001,25.0,-0.451926,-0.665197,-1.021873,0.347831,0.388629,0.389523,,,,0.4,19260817.0,-1.0,33.0
4096.0,2.0,2.0,100.0,1.0,200.0,0.940481,-0.889072,-0.291486,0.070424,0.413929,0.311315,,,,2.19,19260817.0,-1.0,34.0
4.0,32.0,8.0,10000.0,1.0,200.0,0.963847,0.095598,0.125576,0.054887,0.286407,0.256163,,,,1.92,19260817.0,-1.0,35.0
4.0,32.0,8.0,100.0,1.0,200.0,0.963847,0.095598,0.125576,0.054887,0.286407,0.256163,,,,1.73,19260817.0,-1.0,36.0
4.0,32.0,8.0,100.0,0.001,25.0,-0.13143,-0.613713,-0.961139,0.307051,0.382574,0.383628,,,,0.4,19260817.0,-1.0,37.0
4096.0,32.0,8.0,10000.0,1.0,25.0,0.869113,-1.206989,-0.627724,0.104435,0.447406,0.349499,,,,0.61,19260817.0,-1.0,38.0
4.0,2.0,8.0,10000.0,1.0,25.0,0.953182,0.123077,0.118657,0.06246,0.282022,0.257175,,,,0.62,19260817.0,-1.0,39.0
4.0,2.0,2.0,100.0,1.0,25.0,0.951462,0.125466,0.118657,0.063597,0.281637,0.257175,,,,0.48,19260817.0,-1.0,40.0
4.0,2.0,2.0,10000.0,1.0,25.0,0.951462,0.125466,0.118657,0.063597,0.281637,0.257175,,,,0.72,19260817.0,-1.0,41.0
4.0,2.0,2.0,100.0,0.001,25.0,-0.446775,-0.654829,-1.014302,0.347214,0.387417,0.388793,,,,0.54,19260817.0,-1.0,42.0
4096.0,32.0,2.0,10000.0,0.001,200.0,0.873683,-0.09004,-0.211037,0.102595,0.314429,0.301463,,,,2.63,19260817.0,-1.0,43.0
4.0,32.0,2.0,10000.0,1.0,200.0,0.963808,0.089841,0.125576,0.054917,0.287317,0.256163,,,,1.39,19260817.0,-1.0,44.0
4096.0,32.0,8.0,100.0,0.001,25.0,0.192487,-0.708931,-1.114913,0.259401,0.393699,0.398384,,,,1.09,19260817.0,-1.0,45.0
4096.0,2.0,2.0,100.0,0.001,200.0,0.947979,-0.058119,-0.088194,0.06584,0.309791,0.285765,,,,4.76,19260817.0,-1.0,46.0
4.0,2.0,8.0,10000.0,0.001,25.0,-0.136164,-0.616327,-0.958006,0.307692,0.382884,0.383321,,,,0.83,19260817.0,-1.0,47.0
4096.0,32.0,2.0,10000.0,1.0,25.0,0.869113,-1.206989,-0.627724,0.104435,0.447406,0.349499,,,,0.7,19260817.0,-1.0,48.0
4.0,2.0,2.0,100.0,1.0,200.0,0.951463,0.125466,0.118657,0.063597,0.281637,0.257175,,,,2.16,19260817.0,-1.0,49.0
4.0,32.0,8.0,10000.0,1.0,25.0,0.963847,0.095598,0.125576,0.054887,0.286407,0.256163,,,,0.71,19260817.0,-1.0,50.0
4.0,2.0,8.0,10000.0,1.0,200.0,0.953182,0.123077,0.118657,0.06246,0.282022,0.257175,,,,2.91,19260817.0,-1.0,51.0
4096.0,2.0,8.0,10000.0,0.001,200.0,0.8741,-0.089703,-0.21043,0.102426,0.314381,0.301388,,,,5.1,19260817.0,-1.0,52.0
