C,degree,tol,max_iter,gamma,nu,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,kernel,Precedence
10.0,1.0,0.0001,1600.0,auto,0.1,0.056295,-0.159986,-0.137651,0.280423,0.324361,0.292187,,,,0.01,False,poly,0.0
10.0,1.0,0.0001,50.0,scale,0.9,-1.654166,-1.195838,-2.788332,0.470284,0.446275,0.533187,,,,0.0,False,poly,1.0
0.0001,9.0,0.0001,1600.0,auto,0.1,0.175421,-0.048605,-0.164755,0.262127,0.308396,0.295647,,,,0.0,False,poly,2.0
0.0001,1.0,0.0001,50.0,scale,0.1,0.000282,-0.008885,-0.047584,0.288626,0.302498,0.280382,,,,0.0,False,poly,3.0
0.0001,9.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,4.0
0.0001,1.0,0.0001,1600.0,auto,0.1,0.000962,-0.008608,-0.046421,0.288527,0.302457,0.280226,,,,0.0,False,poly,5.0
10.0,1.0,0.0001,1600.0,auto,0.9,0.172713,0.079641,-0.066665,0.262557,0.288922,0.282924,,,,0.01,False,poly,6.0
0.0001,5.0,0.0001,1600.0,auto,0.1,0.048913,-0.009228,-0.050143,0.281518,0.30255,0.280724,,,,0.0,False,poly,7.0
0.0001,1.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,8.0
10.0,5.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,9.0
0.0001,9.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,10.0
0.0001,5.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,11.0
0.0001,5.0,0.0001,50.0,auto,0.1,-0.096631,-0.244741,-0.427647,0.302292,0.336002,0.327315,,,,0.0,False,poly,12.0
0.0001,5.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,13.0
10.0,5.0,0.0001,50.0,auto,0.9,0.021017,-0.407901,-0.984874,0.285617,0.357345,0.385942,,,,0.0,False,poly,14.0
10.0,1.0,0.0001,50.0,auto,0.1,-1.998863,-2.339445,-2.047949,0.49989,0.55035,0.478255,,,,0.0,False,poly,15.0
0.0001,5.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,16.0
0.0001,9.0,0.0001,1600.0,scale,0.9,0.046954,-0.03566,-0.106095,0.281808,0.306486,0.288106,,,,0.0,False,poly,17.0
10.0,1.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,18.0
10.0,5.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,19.0
10.0,5.0,0.0001,1600.0,auto,0.1,0.828302,-0.014379,-0.110052,0.119613,0.303321,0.288621,,,,0.0,False,poly,20.0
0.0001,5.0,0.0001,50.0,scale,0.9,-0.144926,-0.262365,-0.45538,0.308877,0.338372,0.330479,,,,0.0,False,poly,21.0
10.0,9.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,22.0
0.0001,9.0,0.0001,50.0,scale,0.9,-0.071674,-0.157904,-0.307198,0.298832,0.32407,0.313203,,,,0.0,False,poly,23.0
10.0,9.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,24.0
10.0,9.0,0.0001,50.0,auto,0.9,-0.335515,-1.051156,-2.015597,0.333596,0.431322,0.47571,,,,0.0,False,poly,25.0
0.0001,5.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,26.0
0.0001,9.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,27.0
10.0,1.0,0.0001,1600.0,scale,0.9,0.202587,-0.104714,-0.103531,0.257773,0.316539,0.287772,,,,0.01,False,poly,28.0
0.0001,5.0,0.0001,1600.0,scale,0.1,0.005187,-0.013206,-0.058166,0.287917,0.303145,0.281795,,,,0.0,False,poly,29.0
10.0,5.0,0.0001,1600.0,scale,0.1,0.656492,0.050301,-0.083361,0.169186,0.293491,0.28513,,,,0.0,False,poly,30.0
10.0,5.0,0.0001,1600.0,scale,0.9,0.970588,0.00036,-0.03617,0.049506,0.301109,0.27885,,,,0.01,False,poly,31.0
0.0001,9.0,0.0001,50.0,auto,0.9,0.158468,-0.310778,-0.713652,0.264808,0.3448,0.358606,,,,0.0,False,poly,32.0
0.0001,5.0,0.0001,50.0,scale,0.1,0.005187,-0.013206,-0.058166,0.287917,0.303145,0.281795,,,,0.0,False,poly,33.0
0.0001,5.0,0.0001,50.0,auto,0.9,-0.302954,-0.610593,-0.959286,0.329504,0.382204,0.383446,,,,0.0,False,poly,34.0
0.0001,5.0,0.0001,1600.0,auto,0.9,0.31513,0.087925,-0.016598,0.238891,0.287619,0.276204,,,,0.0,False,poly,35.0
10.0,5.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,36.0
10.0,1.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,37.0
10.0,5.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,38.0
0.0001,1.0,0.0001,1600.0,scale,0.1,0.000282,-0.008885,-0.047584,0.288626,0.302498,0.280382,,,,0.0,False,poly,39.0
10.0,9.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,40.0
10.0,5.0,0.0001,1600.0,auto,0.9,0.908476,-0.024824,-0.098634,0.08733,0.304878,0.287132,,,,0.01,False,poly,41.0
0.0001,9.0,0.0001,50.0,scale,0.1,-0.004797,-0.000473,-0.019362,0.289358,0.301235,0.27658,,,,0.0,False,poly,42.0
10.0,9.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,43.0
0.0001,1.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,44.0
0.0001,9.0,0.0001,1600.0,scale,0.1,0.005661,-0.013177,-0.058252,0.287848,0.303141,0.281806,,,,0.0,False,poly,45.0
0.0001,9.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,46.0
10.0,9.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,47.0
0.0001,5.0,0.0001,1600.0,scale,0.9,0.047428,-0.006473,-0.042226,0.281738,0.302136,0.279664,,,,0.0,False,poly,48.0
10.0,9.0,0.0001,50.0,scale,0.9,0.141617,-0.362352,-0.831165,0.267446,0.351517,0.370697,,,,0.0,False,poly,49.0
10.0,9.0,0.0001,1600.0,auto,0.1,0.823022,0.00617,-0.186019,0.121438,0.300233,0.298333,,,,0.0,False,poly,50.0
10.0,5.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,51.0
0.0001,9.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,52.0
0.0001,1.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,53.0
10.0,5.0,0.0001,50.0,scale,0.1,0.229264,-0.254923,-0.702309,0.253425,0.337373,0.357417,,,,0.0,False,poly,54.0
10.0,1.0,0.0001,50.0,scale,0.1,-0.368982,-0.394852,-0.49109,0.33775,0.355685,0.334509,,,,0.0,False,poly,55.0
0.0001,9.0,0.0001,50.0,auto,0.1,-0.167396,-0.532091,-0.889324,0.311893,0.372773,0.376538,,,,0.0,False,poly,56.0
0.0001,1.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,57.0
0.0001,1.0,0.0001,50.0,auto,0.9,-0.600832,-0.703545,-1.073615,0.365232,0.393078,0.394475,,,,0.0,False,poly,58.0
10.0,1.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,59.0
10.0,9.0,0.0001,1600.0,scale,0.9,0.810849,0.066435,0.002763,0.125545,0.290988,0.273561,,,,0.01,False,poly,60.0
0.0001,5.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,61.0
0.0001,9.0,0.0001,1600.0,auto,0.9,0.781239,0.08253,0.016071,0.135015,0.288468,0.27173,,,,0.01,False,poly,62.0
10.0,5.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,63.0
0.0001,1.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,64.0
10.0,5.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,65.0
0.0001,9.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,66.0
10.0,1.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.0,False,poly,67.0
