n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
800.0,3.0,0.4,1.0,1e-08,0.0001,0.041049,-0.001766,-0.043409,0.28268,0.301429,0.279823,,,,13.67,19260817.0,-1.0,0.0
800.0,3.0,0.4,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.13,19260817.0,-1.0,1.0
25.0,192.0,0.4,1.0,1e-08,0.0001,0.002009,-0.01056,-0.052594,0.288376,0.302749,0.281052,,,,1.51,19260817.0,-1.0,2.0
25.0,3.0,0.4,0.4,0.1,0.0001,0.001059,-0.010845,-0.052558,0.288513,0.302792,0.281047,,,,0.29,19260817.0,-1.0,3.0
25.0,192.0,1.0,1.0,1e-08,0.0001,0.004018,-0.010314,-0.051653,0.288086,0.302712,0.280926,,,,2.29,19260817.0,-1.0,4.0
25.0,3.0,0.4,1.0,1e-08,0.0001,0.001257,-0.010642,-0.052814,0.288485,0.302762,0.281081,,,,0.39,19260817.0,-1.0,5.0
800.0,3.0,0.4,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.67,19260817.0,-1.0,6.0
25.0,24.0,0.4,1.0,1e-08,0.0001,0.002009,-0.01056,-0.052594,0.288376,0.302749,0.281052,,,,1.37,19260817.0,-1.0,7.0
25.0,3.0,1.0,0.4,1e-08,0.0001,0.0013,-0.010808,-0.052601,0.288479,0.302786,0.281053,,,,0.54,19260817.0,-1.0,8.0
800.0,24.0,1.0,0.4,0.1,0.0001,0.109525,0.000762,-0.033143,0.2724,0.301049,0.278443,,,,64.1,19260817.0,-1.0,9.0
25.0,192.0,1.0,1.0,0.1,0.0001,0.003741,-0.010433,-0.051531,0.288126,0.30273,0.28091,,,,2.58,19260817.0,-1.0,10.0
