n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
25.0,24.0,1.0,0.4,1e-08,10.0,-1.0305074051430328e+41,-9.496037247368613e+40,-1.0792243665114801e+41,9.266628198795108e+19,9.280540949645453e+19,8.999361599418209e+19,,,,2.91,19260817.0,-1.0,11.0
25.0,24.0,0.4,0.4,1e-08,0.0001,0.001887,-0.010902,-0.052519,0.288394,0.3028,0.281042,,,,1.06,19260817.0,-1.0,12.0
25.0,24.0,1.0,0.4,0.1,0.0001,0.003564,-0.010448,-0.052191,0.288151,0.302733,0.280998,,,,1.94,19260817.0,-1.0,13.0
800.0,24.0,0.4,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.64,19260817.0,-1.0,14.0
800.0,3.0,0.4,0.4,1e-08,0.0001,0.035405,-0.004951,-0.046406,0.28351,0.301908,0.280224,,,,16.01,19260817.0,-1.0,15.0
25.0,24.0,1.0,0.4,0.1,10.0,-3.3360055047208736e+42,-3.20093763522419e+42,-3.663379632228059e+42,5.272414663125938e+20,5.3881625994821186e+20,5.243204472682949e+20,,,,1.91,19260817.0,-1.0,16.0
25.0,192.0,0.4,1.0,0.1,10.0,-5.827951544493812e+43,-5.346585494067083e+43,-6.471280167193887e+43,2.203708495975447e+21,2.202116771411764e+21,2.2036921902030628e+21,,,,0.85,19260817.0,-1.0,17.0
800.0,3.0,1.0,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.61,19260817.0,-1.0,18.0
800.0,24.0,1.0,1.0,0.1,0.0001,0.115235,-0.001633,-0.016322,0.271525,0.301409,0.276167,,,,82.22,19260817.0,-1.0,19.0
800.0,24.0,0.4,1.0,1e-08,0.0001,0.06051,0.000638,-0.039307,0.279796,0.301067,0.279272,,,,127.78,19260817.0,-1.0,20.0
25.0,24.0,0.4,0.4,0.1,10.0,-4.4636881939564e+43,-4.1021870025280776e+43,-4.973295910079986e+43,1.9286041848417574e+21,1.9289004472177834e+21,1.9318703696668493e+21,,,,4.07,19260817.0,-1.0,21.0
800.0,192.0,1.0,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,31.97,19260817.0,-1.0,22.0
25.0,192.0,0.4,0.4,0.1,10.0,-4.4636881939564e+43,-4.1021870025280776e+43,-4.973295910079986e+43,1.9286041848417574e+21,1.9289004472177834e+21,1.9318703696668493e+21,,,,4.01,19260817.0,-1.0,23.0
800.0,192.0,1.0,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,28.92,19260817.0,-1.0,24.0
800.0,192.0,0.4,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23.7,19260817.0,-1.0,25.0
25.0,24.0,1.0,1.0,1e-08,10.0,-2.0625896777490583e+44,-1.8917670239827062e+44,-2.281099395075505e+44,4.1457451360264677e+21,4.142246237037026e+21,4.1374040567297904e+21,,,,8.27,19260817.0,-1.0,26.0
25.0,192.0,1.0,0.4,1e-08,10.0,-1.0305074051430328e+41,-9.496037247368613e+40,-1.0792243665114801e+41,9.266628198795108e+19,9.280540949645453e+19,8.999361599418209e+19,,,,8.18,19260817.0,-1.0,27.0
800.0,3.0,0.4,1.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.63,19260817.0,-1.0,28.0
25.0,24.0,0.4,1.0,0.1,0.0001,0.001879,-0.010542,-0.052595,0.288395,0.302747,0.281052,,,,4.02,19260817.0,-1.0,29.0
800.0,24.0,0.4,1.0,0.1,0.0001,0.056029,0.0008,-0.040412,0.280463,0.301043,0.279421,,,,128.77,19260817.0,-1.0,30.0
800.0,24.0,0.4,1.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18.11,19260817.0,-1.0,31.0
25.0,192.0,0.4,0.4,1e-08,10.0,-1.291745387279492e+41,-1.9707000218658118e+41,-1.3705824490547278e+41,1.0374917204536885e+20,1.3369413242970572e+20,1.0141645233568044e+20,,,,0.86,19260817.0,-1.0,32.0
25.0,24.0,0.4,0.4,0.1,0.0001,0.001742,-0.010889,-0.052511,0.288415,0.302799,0.281041,,,,2.21,19260817.0,-1.0,33.0
25.0,24.0,0.4,0.4,1e-08,10.0,-1.291745387279492e+41,-1.9707000218658118e+41,-1.3705824490547278e+41,1.0374917204536885e+20,1.3369413242970572e+20,1.0141645233568044e+20,,,,0.86,19260817.0,-1.0,34.0
25.0,24.0,0.4,1.0,1e-08,10.0,-1.7823866471618945e+45,-1.640454861813266e+45,-1.9792159194651754e+45,1.2187009224797246e+22,1.2197876421693427e+22,1.2187157366894064e+22,,,,1.34,19260817.0,-1.0,35.0
800.0,24.0,1.0,1.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.63,19260817.0,-1.0,36.0
800.0,3.0,1.0,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.21,19260817.0,-1.0,37.0
800.0,24.0,1.0,1.0,1e-08,0.0001,0.123062,0.00335,-0.021184,0.270322,0.300659,0.276827,,,,174.48,19260817.0,-1.0,38.0
25.0,3.0,0.4,1.0,0.1,0.0001,0.001242,-0.010648,-0.052806,0.288487,0.302762,0.28108,,,,1.65,19260817.0,-1.0,39.0
800.0,192.0,1.0,0.4,1e-08,0.0001,0.11969,0.001154,-0.031591,0.270841,0.30099,0.278234,,,,237.6,19260817.0,-1.0,40.0
800.0,24.0,0.4,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.87,19260817.0,-1.0,41.0
25.0,192.0,0.4,0.4,0.1,0.0001,0.001742,-0.010889,-0.052511,0.288415,0.302799,0.281041,,,,0.54,19260817.0,-1.0,42.0
800.0,192.0,1.0,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.42,19260817.0,-1.0,43.0
25.0,3.0,1.0,0.4,0.1,10.0,-9.191815643459524e+44,-8.442828807289942e+44,-1.0203622520217695e+45,8.751788878599161e+21,8.750766152479343e+21,8.750503101953426e+21,,,,1.45,19260817.0,-1.0,44.0
25.0,192.0,0.4,1.0,0.1,0.0001,0.001879,-0.010542,-0.052595,0.288395,0.302747,0.281052,,,,0.41,19260817.0,-1.0,45.0
25.0,192.0,1.0,0.4,0.1,10.0,-3.3360055047208736e+42,-3.20093763522419e+42,-3.663379632228059e+42,5.272414663125938e+20,5.3881625994821186e+20,5.243204472682949e+20,,,,1.04,19260817.0,-1.0,46.0
800.0,192.0,1.0,1.0,1e-08,0.0001,0.123062,0.00335,-0.021184,0.270322,0.300659,0.276827,,,,173.86,19260817.0,-1.0,47.0
25.0,24.0,0.4,1.0,0.1,10.0,-5.827951544493812e+43,-5.346585494067083e+43,-6.471280167193887e+43,2.203708495975447e+21,2.202116771411764e+21,2.2036921902030628e+21,,,,3.61,19260817.0,-1.0,48.0
800.0,192.0,0.4,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.48,19260817.0,-1.0,49.0
800.0,192.0,0.4,1.0,1e-08,0.0001,0.06051,0.000638,-0.039307,0.279796,0.301067,0.279272,,,,142.95,19260817.0,-1.0,50.0
800.0,24.0,1.0,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,33.24,19260817.0,-1.0,51.0
25.0,192.0,1.0,1.0,1e-08,10.0,-2.0625896777490583e+44,-1.8917670239827062e+44,-2.281099395075505e+44,4.1457451360264677e+21,4.142246237037026e+21,4.1374040567297904e+21,,,,8.74,19260817.0,-1.0,52.0
25.0,3.0,1.0,1.0,1e-08,10.0,-1.8592670014223335e+45,-1.7082234381308105e+45,-2.0649206765848067e+45,1.2447067955120635e+22,1.2447279020004195e+22,1.2448227529149062e+22,,,,1.51,19260817.0,-1.0,53.0
800.0,24.0,0.4,0.4,0.1,0.0001,0.05328,-0.00322,-0.044126,0.280871,0.301648,0.279919,,,,90.91,19260817.0,-1.0,54.0
800.0,3.0,0.4,0.4,0.1,0.0001,0.034967,-0.004785,-0.046378,0.283574,0.301883,0.280221,,,,52.77,19260817.0,-1.0,55.0
25.0,192.0,0.4,0.4,1e-08,0.0001,0.001887,-0.010902,-0.052519,0.288394,0.3028,0.281042,,,,4.82,19260817.0,-1.0,56.0
25.0,3.0,1.0,0.4,1e-08,10.0,-9.191815643459524e+44,-8.442828807289942e+44,-1.0203622520217695e+45,8.751788878599161e+21,8.750766152479343e+21,8.750503101953426e+21,,,,1.47,19260817.0,-1.0,57.0
25.0,3.0,0.4,0.4,1e-08,10.0,-3.7075756666258635e+44,-3.4062260496684656e+44,-4.116940535085156e+44,5.558289864441041e+21,5.558259508858429e+21,5.558314653340498e+21,,,,1.33,19260817.0,-1.0,58.0
800.0,3.0,1.0,0.4,0.1,0.0001,0.041277,-0.006727,-0.040292,0.282646,0.302175,0.279405,,,,54.45,19260817.0,-1.0,59.0
800.0,192.0,0.4,1.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24.64,19260817.0,-1.0,60.0
25.0,24.0,1.0,1.0,0.1,0.0001,0.003741,-0.010433,-0.051531,0.288126,0.30273,0.28091,,,,6.77,19260817.0,-1.0,61.0
25.0,192.0,0.4,1.0,1e-08,10.0,-1.7823866471618945e+45,-1.640454861813266e+45,-1.9792159194651754e+45,1.2187009224797246e+22,1.2197876421693427e+22,1.2187157366894064e+22,,,,3.65,19260817.0,-1.0,62.0
800.0,24.0,1.0,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,28.23,19260817.0,-1.0,63.0
25.0,3.0,1.0,1.0,0.1,10.0,-1.8415649915324703e+45,-1.6919594087250347e+45,-2.045262919707917e+45,1.2387672212282326e+22,1.2387881905758967e+22,1.2388833139484808e+22,,,,1.95,19260817.0,-1.0,64.0
800.0,24.0,1.0,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,29.92,19260817.0,-1.0,65.0
25.0,192.0,1.0,0.4,1e-08,0.0001,0.003883,-0.010513,-0.052175,0.288105,0.302742,0.280996,,,,7.99,19260817.0,-1.0,66.0
800.0,3.0,1.0,1.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.69,19260817.0,-1.0,67.0
800.0,3.0,1.0,1.0,0.1,0.0001,0.046792,-0.013365,-0.027885,0.281832,0.303169,0.277733,,,,37.59,19260817.0,-1.0,68.0
800.0,3.0,0.4,1.0,0.1,0.0001,0.040472,-0.001835,-0.043349,0.282765,0.30144,0.279815,,,,7.4,19260817.0,-1.0,69.0
800.0,3.0,0.4,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.83,19260817.0,-1.0,70.0
800.0,192.0,1.0,1.0,0.1,0.0001,0.115235,-0.001633,-0.016322,0.271525,0.301409,0.276167,,,,123.04,19260817.0,-1.0,71.0
25.0,24.0,1.0,1.0,1e-08,0.0001,0.004018,-0.010314,-0.051653,0.288086,0.302712,0.280926,,,,6.04,19260817.0,-1.0,72.0
25.0,3.0,0.4,1.0,1e-08,10.0,-7.4029731396662e+45,-6.802184194503251e+45,-8.221918033174751e+45,2.483700739930167e+22,2.4838552354454556e+22,2.4839474440425014e+22,,,,1.55,19260817.0,-1.0,73.0
25.0,3.0,1.0,1.0,1e-08,0.0001,0.001483,-0.010858,-0.052166,0.288452,0.302794,0.280995,,,,1.67,19260817.0,-1.0,74.0
25.0,3.0,0.4,0.4,1e-08,0.0001,0.001068,-0.010828,-0.052539,0.288512,0.302789,0.281044,,,,1.38,19260817.0,-1.0,75.0
800.0,192.0,0.4,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.47,19260817.0,-1.0,76.0
800.0,192.0,1.0,1.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23.99,19260817.0,-1.0,77.0
800.0,3.0,1.0,0.4,1e-08,0.0001,0.041735,-0.006528,-0.040256,0.282578,0.302145,0.2794,,,,47.13,19260817.0,-1.0,78.0
800.0,24.0,0.4,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24.17,19260817.0,-1.0,79.0
25.0,24.0,1.0,0.4,1e-08,0.0001,0.003883,-0.010513,-0.052175,0.288105,0.302742,0.280996,,,,7.14,19260817.0,-1.0,80.0
800.0,192.0,0.4,1.0,0.1,0.0001,0.056029,0.0008,-0.040412,0.280463,0.301043,0.279421,,,,137.51,19260817.0,-1.0,81.0
25.0,3.0,0.4,1.0,0.1,10.0,-5.717838649491953e+45,-5.253838791617309e+45,-6.350684582536262e+45,2.1827908662941297e+22,2.1829332603016955e+22,2.1830621652180334e+22,,,,1.79,19260817.0,-1.0,82.0
800.0,3.0,1.0,1.0,1e-08,0.0001,0.047106,-0.013365,-0.027885,0.281785,0.303169,0.277733,,,,55.43,19260817.0,-1.0,83.0
25.0,24.0,1.0,1.0,0.1,10.0,-4.54544233265185e+43,-4.2195563593446456e+43,-5.088596108638254e+43,1.946185605313754e+21,1.956300124896777e+21,1.9541361639009215e+21,,,,5.85,19260817.0,-1.0,84.0
800.0,192.0,1.0,0.4,0.1,0.0001,0.109525,0.000762,-0.033143,0.2724,0.301049,0.278443,,,,109.69,19260817.0,-1.0,85.0
25.0,3.0,1.0,1.0,0.1,0.0001,0.001473,-0.010858,-0.052166,0.288454,0.302794,0.280995,,,,1.7,19260817.0,-1.0,86.0
800.0,192.0,0.4,0.4,1e-08,0.0001,0.058259,-0.002787,-0.04331,0.280131,0.301583,0.279809,,,,137.07,19260817.0,-1.0,87.0
800.0,3.0,1.0,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.57,19260817.0,-1.0,88.0
25.0,3.0,1.0,0.4,0.1,0.0001,0.001292,-0.010799,-0.052608,0.28848,0.302785,0.281054,,,,1.64,19260817.0,-1.0,89.0
25.0,3.0,0.4,0.4,0.1,10.0,-3.974696837911554e+44,-3.6506553145165666e+44,-4.412760917871592e+44,5.75503785361379e+21,5.754233772193641e+21,5.754545527114365e+21,,,,1.6,19260817.0,-1.0,90.0
800.0,192.0,0.4,0.4,0.1,0.0001,0.05328,-0.00322,-0.044126,0.280871,0.301648,0.279919,,,,139.85,19260817.0,-1.0,91.0
800.0,24.0,1.0,0.4,1e-08,0.0001,0.11969,0.001154,-0.031591,0.270841,0.30099,0.278234,,,,135.81,19260817.0,-1.0,92.0
25.0,192.0,1.0,0.4,0.1,0.0001,0.003564,-0.010448,-0.052191,0.288151,0.302733,0.280998,,,,1.02,19260817.0,-1.0,93.0
200.0,24.0,0.7,0.7,0.0001,0.1,0.999635,-0.001614,0.102818,0.005515,0.301406,0.259475,,,,9.2,19260817.0,-1.0,94.0
25.0,192.0,1.0,1.0,0.1,10.0,-4.54544233265185e+43,-4.2195563593446456e+43,-5.088596108638254e+43,1.946185605313754e+21,1.956300124896777e+21,1.9541361639009215e+21,,,,6.14,19260817.0,-1.0,95.0
800.0,24.0,0.4,0.4,1e-08,0.0001,0.058259,-0.002787,-0.04331,0.280131,0.301583,0.279809,,,,114.9,19260817.0,-1.0,96.0
100.0,24.0,0.7,0.7,0.0001,0.1,0.999514,-0.000591,0.103851,0.006362,0.301252,0.259326,,,,27.7,19260817.0,-1.0,97.0
400.0,24.0,0.7,0.7,0.0001,0.1,0.999657,-0.005478,0.103462,0.005346,0.301987,0.259382,,,,95.36,19260817.0,-1.0,98.0
200.0,12.0,0.7,0.7,0.0001,0.1,0.999631,-0.047521,0.118806,0.005547,0.308236,0.257153,,,,46.32,19260817.0,-1.0,99.0
200.0,48.0,0.7,0.7,0.0001,0.1,0.999635,-0.001614,0.102818,0.005515,0.301406,0.259475,,,,32.05,19260817.0,-1.0,100.0
200.0,24.0,0.55,0.7,0.0001,0.1,0.999615,-0.075233,-0.095337,0.005662,0.312287,0.286701,,,,25.23,19260817.0,-1.0,101.0
200.0,24.0,0.85,0.7,0.0001,0.1,0.999631,-0.078677,0.026087,0.005547,0.312786,0.270343,,,,62.52,19260817.0,-1.0,102.0
200.0,24.0,0.7,0.55,0.0001,0.1,0.999629,-0.090925,0.071936,0.005557,0.314557,0.263903,,,,50.25,19260817.0,-1.0,103.0
200.0,24.0,0.7,0.85,0.0001,0.1,0.999628,-0.044072,0.043286,0.005565,0.307728,0.267946,,,,47.39,19260817.0,-1.0,104.0
200.0,24.0,0.7,0.7,1e-06,0.1,0.999745,-0.013379,0.104148,0.004611,0.303171,0.259283,,,,38.03,19260817.0,-1.0,105.0
200.0,24.0,0.7,0.7,0.01,0.1,0.988329,-0.044817,0.073058,0.031185,0.307838,0.263744,,,,49.89,19260817.0,-1.0,106.0
200.0,24.0,0.7,0.7,0.0001,0.01,0.903148,-0.004648,0.071344,0.089836,0.301862,0.263987,,,,51.0,19260817.0,-1.0,107.0
200.0,24.0,0.7,0.7,0.0001,1.0,0.999651,-0.65708,-1.425609,0.005392,0.38768,0.426645,,,,15.63,19260817.0,-1.0,108.0
50.0,24.0,0.7,0.7,0.0001,0.1,0.993817,0.010744,0.094594,0.022698,0.299541,0.260662,,,,3.48,19260817.0,-1.0,109.0
100.0,12.0,0.7,0.7,0.0001,0.1,0.999515,-0.042149,0.121285,0.00636,0.307445,0.256791,,,,5.13,19260817.0,-1.0,110.0
100.0,48.0,0.7,0.7,0.0001,0.1,0.999514,-0.000591,0.103851,0.006362,0.301252,0.259326,,,,18.37,19260817.0,-1.0,111.0
100.0,24.0,0.55,0.7,0.0001,0.1,0.998671,-0.072835,-0.097159,0.010525,0.311938,0.28694,,,,3.72,19260817.0,-1.0,112.0
100.0,24.0,0.85,0.7,0.0001,0.1,0.999608,-0.078559,0.027147,0.005718,0.312769,0.270196,,,,2.76,19260817.0,-1.0,113.0
100.0,24.0,0.7,0.55,0.0001,0.1,0.999499,-0.088035,0.075659,0.006459,0.31414,0.263373,,,,23.95,19260817.0,-1.0,114.0
100.0,24.0,0.7,0.85,0.0001,0.1,0.999512,-0.040397,0.043678,0.006378,0.307186,0.267891,,,,24.75,19260817.0,-1.0,115.0
100.0,24.0,0.7,0.7,1e-06,0.1,0.999663,-0.011733,0.105323,0.0053,0.302925,0.259113,,,,25.35,19260817.0,-1.0,116.0
100.0,24.0,0.7,0.7,0.01,0.1,0.987284,-0.047406,0.07353,0.032552,0.308219,0.263677,,,,23.56,19260817.0,-1.0,117.0
100.0,24.0,0.7,0.7,0.0001,0.01,0.699357,0.02981,0.060089,0.158278,0.296641,0.265582,,,,23.44,19260817.0,-1.0,118.0
100.0,24.0,0.7,0.7,0.0001,1.0,0.999586,-0.650685,-1.416506,0.005871,0.386932,0.425843,,,,22.23,19260817.0,-1.0,119.0
800.0,24.0,0.7,0.7,0.0001,0.1,0.999664,-0.004323,0.103528,0.005288,0.301814,0.259373,,,,148.32,19260817.0,-1.0,120.0
400.0,12.0,0.7,0.7,0.0001,0.1,0.999649,-0.048253,0.118424,0.005408,0.308344,0.257209,,,,38.4,19260817.0,-1.0,121.0
400.0,48.0,0.7,0.7,0.0001,0.1,0.999657,-0.005478,0.103462,0.005346,0.301987,0.259382,,,,7.85,19260817.0,-1.0,122.0
400.0,24.0,0.55,0.7,0.0001,0.1,0.999646,-0.074381,-0.09397,0.00543,0.312163,0.286522,,,,8.08,19260817.0,-1.0,123.0
400.0,24.0,0.85,0.7,0.0001,0.1,0.99964,-0.078434,0.026552,0.005477,0.312751,0.270279,,,,10.74,19260817.0,-1.0,124.0
400.0,24.0,0.7,0.55,0.0001,0.1,0.999653,-0.095594,0.07312,0.005378,0.31523,0.263735,,,,8.49,19260817.0,-1.0,125.0
400.0,24.0,0.7,0.85,0.0001,0.1,0.999645,-0.046106,0.043141,0.005438,0.308028,0.267966,,,,8.63,19260817.0,-1.0,126.0
400.0,24.0,0.7,0.7,1e-06,0.1,0.999745,-0.014746,0.10373,0.004613,0.303376,0.259343,,,,4.36,19260817.0,-1.0,127.0
400.0,24.0,0.7,0.7,0.01,0.1,0.989688,-0.050315,0.069033,0.029313,0.308647,0.264316,,,,7.88,19260817.0,-1.0,128.0
400.0,24.0,0.7,0.7,0.0001,0.01,0.987453,-0.035446,0.067953,0.032334,0.306454,0.264469,,,,6.77,19260817.0,-1.0,129.0
400.0,24.0,0.7,0.7,0.0001,1.0,0.99964,-0.657608,-1.439528,0.005478,0.387742,0.427867,,,,6.2,19260817.0,-1.0,130.0
200.0,96.0,0.7,0.7,0.0001,0.1,0.999635,-0.001614,0.102818,0.005515,0.301406,0.259475,,,,2.34,19260817.0,-1.0,131.0
200.0,48.0,0.55,0.7,0.0001,0.1,0.999615,-0.075233,-0.095337,0.005662,0.312287,0.286701,,,,2.65,19260817.0,-1.0,132.0
200.0,48.0,0.85,0.7,0.0001,0.1,0.999631,-0.078677,0.026087,0.005547,0.312786,0.270343,,,,3.79,19260817.0,-1.0,133.0
200.0,48.0,0.7,0.55,0.0001,0.1,0.999629,-0.090925,0.071936,0.005557,0.314557,0.263903,,,,3.41,19260817.0,-1.0,134.0
200.0,48.0,0.7,0.85,0.0001,0.1,0.999628,-0.044072,0.043286,0.005565,0.307728,0.267946,,,,3.34,19260817.0,-1.0,135.0
200.0,48.0,0.7,0.7,1e-06,0.1,0.999745,-0.013379,0.104148,0.004611,0.303171,0.259283,,,,2.44,19260817.0,-1.0,136.0
200.0,48.0,0.7,0.7,0.01,0.1,0.988329,-0.044817,0.073058,0.031185,0.307838,0.263744,,,,3.37,19260817.0,-1.0,137.0
200.0,48.0,0.7,0.7,0.0001,0.01,0.903148,-0.004648,0.071344,0.089836,0.301862,0.263987,,,,2.68,19260817.0,-1.0,138.0
200.0,48.0,0.7,0.7,0.0001,1.0,0.999651,-0.65708,-1.425609,0.005392,0.38768,0.426645,,,,2.99,19260817.0,-1.0,139.0
200.0,12.0,0.7,0.7,0.0001,0.01,0.902632,-0.000704,0.070216,0.090075,0.301269,0.264148,,,,3.07,19260817.0,-1.0,140.0
200.0,24.0,0.55,0.7,0.0001,0.01,0.842425,0.060448,0.067532,0.114588,0.291919,0.264529,,,,2.69,19260817.0,-1.0,141.0
200.0,24.0,0.85,0.7,0.0001,0.01,0.936525,-0.049449,0.074775,0.072727,0.30852,0.263499,,,,3.78,19260817.0,-1.0,142.0
200.0,24.0,0.7,0.55,0.0001,0.01,0.899623,0.012089,0.097105,0.091456,0.299337,0.2603,,,,3.35,19260817.0,-1.0,143.0
200.0,24.0,0.7,0.85,0.0001,0.01,0.902642,0.016378,0.058712,0.090071,0.298687,0.265777,,,,3.16,19260817.0,-1.0,144.0
200.0,24.0,0.7,0.7,1e-06,0.01,0.903253,-0.005553,0.069885,0.089788,0.301998,0.264195,,,,3.15,19260817.0,-1.0,145.0
200.0,24.0,0.7,0.7,0.01,0.01,0.895649,0.00011,0.058719,0.093249,0.301147,0.265776,,,,2.35,19260817.0,-1.0,146.0
200.0,24.0,0.7,0.7,0.0001,0.001,0.218688,0.011696,-0.005217,0.255158,0.299397,0.274654,,,,2.32,19260817.0,-1.0,147.0
100.0,24.0,0.55,0.7,0.0001,0.01,0.624355,0.059846,0.04643,0.176923,0.292013,0.267505,,,,1.04,19260817.0,-1.0,148.0
400.0,24.0,0.55,0.7,0.0001,0.01,0.967052,0.040032,0.070335,0.052398,0.295074,0.264131,,,,4.48,19260817.0,-1.0,149.0
200.0,12.0,0.55,0.7,0.0001,0.01,0.842879,0.054092,0.069198,0.114423,0.292905,0.264292,,,,2.04,19260817.0,-1.0,150.0
200.0,48.0,0.55,0.7,0.0001,0.01,0.842425,0.060448,0.067532,0.114588,0.291919,0.264529,,,,2.09,19260817.0,-1.0,151.0
200.0,24.0,0.4,0.7,0.0001,0.01,0.748903,0.058422,0.04513,0.14465,0.292234,0.267687,,,,1.64,19260817.0,-1.0,152.0
200.0,24.0,0.55,0.55,0.0001,0.01,0.840909,0.052891,0.103928,0.115138,0.293091,0.259315,,,,2.03,19260817.0,-1.0,153.0
200.0,24.0,0.55,0.85,0.0001,0.01,0.84035,0.044835,0.054158,0.11534,0.294335,0.266419,,,,2.1,19260817.0,-1.0,154.0
200.0,24.0,0.55,0.7,1e-06,0.01,0.841628,0.056505,0.07575,0.114878,0.292531,0.263361,,,,2.0,19260817.0,-1.0,155.0
200.0,24.0,0.55,0.7,0.01,0.01,0.835806,0.057627,0.058637,0.11697,0.292357,0.265787,,,,2.13,19260817.0,-1.0,156.0
200.0,24.0,0.55,0.7,0.0001,0.001,0.181217,0.019295,-0.022323,0.261205,0.298244,0.276981,,,,2.0,19260817.0,-1.0,157.0
50.0,24.0,0.55,0.7,0.0001,0.01,0.394462,0.063653,0.022352,0.224629,0.291421,0.270861,,,,0.5,19260817.0,-1.0,158.0
100.0,12.0,0.55,0.7,0.0001,0.01,0.62424,0.05977,0.047061,0.17695,0.292024,0.267417,,,,0.95,19260817.0,-1.0,159.0
100.0,48.0,0.55,0.7,0.0001,0.01,0.624355,0.059846,0.04643,0.176923,0.292013,0.267505,,,,0.95,19260817.0,-1.0,160.0
100.0,24.0,0.4,0.7,0.0001,0.01,0.523054,0.077069,0.015479,0.199357,0.289325,0.271812,,,,0.87,19260817.0,-1.0,161.0
100.0,24.0,0.55,0.55,0.0001,0.01,0.621062,0.051292,0.061123,0.177697,0.293338,0.265436,,,,1.0,19260817.0,-1.0,162.0
100.0,24.0,0.55,0.85,0.0001,0.01,0.621089,0.060412,0.015932,0.177691,0.291925,0.271749,,,,1.02,19260817.0,-1.0,163.0
100.0,24.0,0.55,0.7,1e-06,0.01,0.624338,0.061956,0.050396,0.176927,0.291685,0.266948,,,,0.94,19260817.0,-1.0,164.0
100.0,24.0,0.55,0.7,0.01,0.01,0.619767,0.056839,0.018477,0.178,0.292479,0.271398,,,,0.97,19260817.0,-1.0,165.0
