C,degree,tol,max_iter,gamma,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,kernel,Precedence
10.0,9.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,0.0
0.0001,9.0,0.0001,50.0,scale,-1.210718,-1.419016,-2.015386,0.429203,0.468405,0.475694,,,,0.0,False,poly,1.0
0.0001,1.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.01,False,poly,2.0
10.0,9.0,0.0001,50.0,auto,0.176989,-0.217775,-0.71523,0.261878,0.332342,0.358771,,,,0.01,False,poly,3.0
0.0001,9.0,0.0001,1600.0,auto,0.752014,0.078338,-0.03161,0.143751,0.289127,0.278236,,,,0.0,False,poly,4.0
0.0001,9.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,5.0
0.0001,5.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,6.0
10.0,1.0,0.0001,50.0,scale,-3.063182,-2.969398,-1.971967,0.581875,0.600018,0.472256,,,,0.0,False,poly,7.0
10.0,9.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,8.0
0.0001,5.0,0.0001,50.0,auto,-0.021958,-0.413828,-0.709276,0.291818,0.358097,0.358147,,,,0.01,False,poly,9.0
0.0001,1.0,0.0001,1600.0,auto,0.005448,-0.007069,-0.04981,0.287879,0.302226,0.28068,,,,0.01,False,poly,10.0
0.0001,9.0,0.0001,1600.0,scale,0.050001,-0.006853,-0.04166,0.281357,0.302194,0.279588,,,,0.0,False,poly,11.0
0.0001,1.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,12.0
10.0,1.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,13.0
0.0001,5.0,0.0001,50.0,scale,-0.139373,-0.218437,-0.394593,0.308127,0.332433,0.323504,,,,0.0,False,poly,14.0
