C,degree,tol,max_iter,gamma,nu,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,kernel,Precedence
0.0001,5.0,0.0001,1600.0,scale,0.9,0.00265,-0.008898,-0.048174,0.288284,0.3025,0.280461,,,,0.03,False,poly,48.0
10.0,9.0,0.0001,50.0,scale,0.9,0.304493,-0.025477,0.042242,0.240739,0.304976,0.268092,,,,0.08,False,poly,49.0
10.0,9.0,0.0001,1600.0,auto,0.1,0.993508,-0.634146,-0.942778,0.023258,0.384988,0.381828,,,,0.02,False,poly,50.0
10.0,5.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,51.0
0.0001,9.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.02,False,poly,52.0
0.0001,1.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,53.0
10.0,5.0,0.0001,50.0,scale,0.1,0.502297,-0.19583,-0.256949,0.203649,0.329334,0.307125,,,,0.05,False,poly,54.0
10.0,1.0,0.0001,50.0,scale,0.1,0.029212,-0.110074,-0.021627,0.284419,0.317306,0.276887,,,,0.01,False,poly,55.0
0.0001,9.0,0.0001,50.0,auto,0.1,-0.038658,-1.287894,-1.656889,0.294193,0.455533,0.446522,,,,0.02,False,poly,56.0
0.0001,1.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,57.0
0.0001,1.0,0.0001,50.0,auto,0.9,0.003264,-0.004637,-0.03851,0.288195,0.301861,0.279165,,,,0.01,False,poly,58.0
10.0,1.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.03,False,poly,59.0
10.0,9.0,0.0001,1600.0,scale,0.9,0.925651,0.149991,0.023466,0.078711,0.27766,0.270707,,,,0.09,False,poly,60.0
0.0001,5.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.02,False,poly,61.0
0.0001,9.0,0.0001,1600.0,auto,0.9,0.994996,-0.622922,-0.926507,0.02042,0.383664,0.380225,,,,0.04,False,poly,62.0
10.0,5.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,63.0
0.0001,1.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,64.0
10.0,5.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.03,False,poly,65.0
0.0001,9.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,66.0
10.0,1.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,67.0
10.0,1.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,68.0
10.0,1.0,0.0001,1600.0,scale,0.1,0.258142,0.197798,0.148534,0.248632,0.269739,0.252778,,,,0.01,False,poly,69.0
10.0,1.0,0.0001,50.0,auto,0.9,-0.435212,-0.070048,-0.887845,0.345823,0.311533,0.376391,,,,0.01,False,poly,70.0
10.0,9.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,71.0
0.0001,5.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,72.0
0.0001,1.0,0.0001,1600.0,auto,0.9,0.004672,-0.00655,-0.046497,0.287991,0.302148,0.280237,,,,0.01,False,poly,73.0
0.0001,1.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,74.0
0.0001,1.0,0.0001,50.0,auto,0.1,0.001375,-0.010767,-0.047897,0.288468,0.30278,0.280424,,,,0.01,False,poly,75.0
10.0,9.0,0.0001,1600.0,auto,0.9,0.994995,-0.622922,-0.926507,0.020422,0.383664,0.380225,,,,0.04,False,poly,76.0
10.0,9.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.05,False,poly,77.0
10.0,1.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,78.0
10.0,5.0,0.0001,50.0,scale,0.9,0.52971,-0.159346,-0.28566,0.197961,0.324271,0.310613,,,,0.01,False,poly,79.0
0.0001,5.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,80.0
10.0,9.0,0.0001,1600.0,scale,0.1,0.698459,0.104382,0.011897,0.158515,0.285012,0.272306,,,,0.06,False,poly,81.0
0.0001,1.0,0.0001,1600.0,scale,0.9,0.000877,-0.008539,-0.047769,0.28854,0.302446,0.280407,,,,0.02,False,poly,82.0
10.0,1.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,83.0
0.0001,5.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,84.0
10.0,9.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,85.0
0.0001,1.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,86.0
10.0,9.0,0.0001,50.0,auto,0.1,-0.038658,-1.287895,-1.65689,0.294193,0.455533,0.446522,,,,0.01,False,poly,87.0
10.0,1.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.04,False,poly,88.0
0.0001,1.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,89.0
0.0001,1.0,0.0001,50.0,scale,0.9,0.000253,-0.005408,-0.03879,0.28863,0.301977,0.279203,,,,0.01,False,poly,90.0
10.0,9.0,0.0001,50.0,scale,0.1,0.118218,-0.183907,-0.21851,0.271067,0.327688,0.302392,,,,0.01,False,poly,91.0
10.0,5.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,92.0
0.0001,9.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,93.0
0.1,5.0,0.1,400.0,scale,0.5,0.412977,0.038806,-0.055048,0.221169,0.295262,0.281379,,,,0.02,False,poly,94.0
0.0001,9.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,95.0
10.0,5.0,0.0001,50.0,auto,0.1,0.473147,-0.311056,-0.361025,0.209528,0.344836,0.319587,,,,0.01,False,poly,96.0
0.01,5.0,0.1,400.0,scale,0.5,0.103746,-0.001015,-0.064464,0.273282,0.301316,0.282632,,,,0.02,False,poly,97.0
1.0,5.0,0.1,400.0,scale,0.5,0.902538,0.118611,-0.010555,0.090119,0.282739,0.275382,,,,0.02,False,poly,98.0
0.1,4.0,0.1,400.0,scale,0.5,0.405315,0.059736,-0.074385,0.222607,0.29203,0.283946,,,,0.02,False,poly,99.0
0.1,6.0,0.1,400.0,scale,0.5,0.410187,0.045023,-0.037009,0.221694,0.294306,0.278963,,,,0.02,False,poly,100.0
0.1,5.0,0.01,400.0,scale,0.5,0.409049,0.05015,-0.050285,0.221907,0.293515,0.280743,,,,0.01,False,poly,101.0
0.1,5.0,1.0,400.0,scale,0.5,-0.932729,-0.690284,-0.63753,0.401312,0.391545,0.35055,,,,0.01,False,poly,102.0
0.1,5.0,0.1,200.0,scale,0.5,0.412977,0.038806,-0.055048,0.221169,0.295262,0.281379,,,,0.01,False,poly,103.0
0.1,5.0,0.1,800.0,scale,0.5,0.412977,0.038806,-0.055048,0.221169,0.295262,0.281379,,,,0.01,False,poly,104.0
0.1,5.0,0.1,400.0,auto,0.5,0.998483,0.036585,-0.149971,0.011244,0.295603,0.293764,,,,0.02,False,poly,105.0
0.1,5.0,0.1,400.0,scale,0.3,0.284369,0.007843,-0.064309,0.244197,0.29998,0.282611,,,,0.02,False,poly,106.0
0.1,5.0,0.1,400.0,scale,0.7,0.487295,0.063549,-0.106743,0.206695,0.291437,0.28819,,,,0.01,False,poly,107.0
10.0,5.0,0.1,400.0,scale,0.5,0.989757,0.124713,-0.028583,0.029215,0.281759,0.277828,,,,0.11,False,poly,108.0
1.0,4.0,0.1,400.0,scale,0.5,0.925989,0.140496,-0.000404,0.078531,0.279207,0.273996,,,,0.01,False,poly,109.0
1.0,6.0,0.1,400.0,scale,0.5,0.869346,0.105897,-0.024176,0.104341,0.284771,0.277232,,,,0.04,False,poly,110.0
1.0,5.0,0.01,400.0,scale,0.5,0.902538,0.118611,-0.010555,0.090119,0.282739,0.275382,,,,0.01,False,poly,111.0
1.0,5.0,1.0,400.0,scale,0.5,-0.932729,-0.690284,-0.63753,0.401312,0.391545,0.35055,,,,0.03,False,poly,112.0
1.0,5.0,0.1,200.0,scale,0.5,0.885581,0.100881,-0.020209,0.097644,0.285569,0.276694,,,,0.01,False,poly,113.0
1.0,5.0,0.1,800.0,scale,0.5,0.90615,0.125778,-0.012371,0.088433,0.281587,0.275629,,,,0.04,False,poly,114.0
1.0,5.0,0.1,400.0,auto,0.5,0.998483,0.036585,-0.149971,0.011244,0.295603,0.293764,,,,0.01,False,poly,115.0
1.0,5.0,0.1,400.0,scale,0.3,0.854151,0.110542,0.006898,0.110242,0.28403,0.272994,,,,0.01,False,poly,116.0
1.0,5.0,0.1,400.0,scale,0.7,0.907011,0.128059,-0.011354,0.088026,0.28122,0.275491,,,,0.05,False,poly,117.0
0.01,4.0,0.1,400.0,scale,0.5,0.08791,0.01384,-0.025257,0.275686,0.299072,0.277378,,,,0.01,False,poly,118.0
0.1,3.0,0.1,400.0,scale,0.5,0.409993,0.065952,-0.057969,0.22173,0.291063,0.281768,,,,0.01,False,poly,119.0
0.1,4.0,0.01,400.0,scale,0.5,0.405117,0.060738,-0.06659,0.222644,0.291874,0.282914,,,,0.01,False,poly,120.0
0.1,4.0,1.0,400.0,scale,0.5,-0.932729,-0.690284,-0.63753,0.401312,0.391545,0.35055,,,,0.01,False,poly,121.0
0.1,4.0,0.1,200.0,scale,0.5,0.405315,0.059736,-0.074385,0.222607,0.29203,0.283946,,,,0.01,False,poly,122.0
0.1,4.0,0.1,800.0,scale,0.5,0.405315,0.059736,-0.074385,0.222607,0.29203,0.283946,,,,0.01,False,poly,123.0
0.1,4.0,0.1,400.0,auto,0.5,0.997037,0.109185,-0.07537,0.015713,0.284247,0.284076,,,,0.01,False,poly,124.0
0.1,4.0,0.1,400.0,scale,0.3,0.28206,0.002632,-0.074704,0.244591,0.300767,0.283988,,,,0.03,False,poly,125.0
0.1,4.0,0.1,400.0,scale,0.7,0.487469,0.068778,-0.080647,0.20666,0.290622,0.284772,,,,0.02,False,poly,126.0
0.01,6.0,0.1,400.0,scale,0.5,0.116724,-0.000691,-0.071719,0.271297,0.301267,0.283594,,,,0.01,False,poly,127.0
0.1,7.0,0.1,400.0,scale,0.5,0.416788,0.049387,-0.028253,0.22045,0.293632,0.277783,,,,0.0,False,poly,128.0
0.1,6.0,0.01,400.0,scale,0.5,0.411348,0.046567,-0.036533,0.221475,0.294068,0.278899,,,,0.01,False,poly,129.0
0.1,6.0,1.0,400.0,scale,0.5,-0.932729,-0.690284,-0.63753,0.401312,0.391545,0.35055,,,,0.01,False,poly,130.0
0.1,6.0,0.1,200.0,scale,0.5,0.410187,0.045023,-0.037009,0.221694,0.294306,0.278963,,,,0.13,False,poly,131.0
0.1,6.0,0.1,800.0,scale,0.5,0.410187,0.045023,-0.037009,0.221694,0.294306,0.278963,,,,0.01,False,poly,132.0
0.1,6.0,0.1,400.0,auto,0.5,0.998724,-0.071326,-0.269179,0.010312,0.311719,0.308615,,,,0.01,False,poly,133.0
0.1,6.0,0.1,400.0,scale,0.3,0.284736,0.004088,-0.049826,0.244135,0.300547,0.280682,,,,0.02,False,poly,134.0
0.1,6.0,0.1,400.0,scale,0.7,0.486167,0.065333,-0.08109,0.206922,0.291159,0.284831,,,,0.14,False,poly,135.0
0.01,5.0,0.01,400.0,scale,0.5,0.102095,0.001955,-0.058547,0.273534,0.300869,0.281845,,,,0.01,False,poly,136.0
0.1,5.0,0.001,400.0,scale,0.5,0.408861,0.050492,-0.050062,0.221943,0.293462,0.280714,,,,0.08,False,poly,137.0
0.1,5.0,0.01,200.0,scale,0.5,0.409049,0.05015,-0.050285,0.221907,0.293515,0.280743,,,,0.01,False,poly,138.0
0.1,5.0,0.01,800.0,scale,0.5,0.409049,0.05015,-0.050285,0.221907,0.293515,0.280743,,,,0.02,False,poly,139.0
0.1,5.0,0.01,400.0,auto,0.5,0.999827,0.046168,-0.14059,0.003798,0.294129,0.292564,,,,0.14,False,poly,140.0
0.1,5.0,0.01,400.0,scale,0.3,0.281255,0.013479,-0.060134,0.244728,0.299127,0.282057,,,,0.01,False,poly,141.0
0.1,5.0,0.01,400.0,scale,0.7,0.488345,0.065955,-0.094166,0.206483,0.291062,0.286548,,,,0.03,False,poly,142.0
0.01,5.0,0.1,200.0,scale,0.5,0.103746,-0.001015,-0.064464,0.273282,0.301316,0.282632,,,,0.01,False,poly,143.0
0.1,5.0,1.0,200.0,scale,0.5,-0.932729,-0.690284,-0.63753,0.401312,0.391545,0.35055,,,,0.02,False,poly,144.0
0.1,5.0,0.1,100.0,scale,0.5,0.392403,0.036891,-0.040192,0.225011,0.295556,0.279391,,,,0.01,False,poly,145.0
0.1,5.0,0.1,200.0,auto,0.5,0.992182,0.024463,-0.174494,0.025524,0.297457,0.29688,,,,0.01,False,poly,146.0
0.1,5.0,0.1,200.0,scale,0.3,0.284369,0.007843,-0.064309,0.244197,0.29998,0.282611,,,,0.07,False,poly,147.0
0.1,5.0,0.1,200.0,scale,0.7,0.485286,0.0666,-0.099583,0.2071,0.290962,0.287257,,,,0.01,False,poly,148.0
0.01,5.0,0.1,800.0,scale,0.5,0.103746,-0.001015,-0.064464,0.273282,0.301316,0.282632,,,,0.01,False,poly,149.0
0.1,5.0,1.0,800.0,scale,0.5,-0.932729,-0.690284,-0.63753,0.401312,0.391545,0.35055,,,,0.0,False,poly,150.0
0.1,5.0,0.1,1600.0,scale,0.5,0.412977,0.038806,-0.055048,0.221169,0.295262,0.281379,,,,0.01,False,poly,151.0
0.1,5.0,0.1,800.0,auto,0.5,0.998483,0.036585,-0.149971,0.011244,0.295603,0.293764,,,,0.03,False,poly,152.0
0.1,5.0,0.1,800.0,scale,0.3,0.284369,0.007843,-0.064309,0.244197,0.29998,0.282611,,,,0.01,False,poly,153.0
0.1,5.0,0.1,800.0,scale,0.7,0.487295,0.063549,-0.106743,0.206695,0.291437,0.28819,,,,0.01,False,poly,154.0
0.01,5.0,0.1,400.0,auto,0.5,0.998483,0.036585,-0.149971,0.011244,0.295603,0.293764,,,,0.01,False,poly,155.0
0.1,5.0,1.0,400.0,auto,0.5,-0.932729,-0.690284,-0.63753,0.401312,0.391545,0.35055,,,,0.01,False,poly,156.0
0.1,5.0,0.1,400.0,auto,0.3,0.994978,0.019104,-0.152973,0.020457,0.298273,0.294148,,,,0.07,False,poly,157.0
0.1,5.0,0.1,400.0,auto,0.7,0.999001,0.045407,-0.140938,0.009124,0.294246,0.292608,,,,0.23,False,poly,158.0
0.01,5.0,0.1,400.0,scale,0.7,0.118828,0.005709,-0.035475,0.270973,0.300302,0.278757,,,,0.01,False,poly,159.0
0.1,5.0,1.0,400.0,scale,0.7,-0.705277,-0.809693,-1.219244,0.376959,0.405139,0.408092,,,,0.24,False,poly,160.0
0.1,5.0,0.1,400.0,scale,0.9,0.497797,0.056489,-0.153847,0.204567,0.292533,0.294259,,,,0.01,False,poly,161.0
1.0,1.0,0.0001,1600.0,scale,0.9,0.344646,0.229853,-0.005762,0.233687,0.264295,0.274728,,,,0.12,False,poly,162.0
10.0,2.0,0.0001,1600.0,scale,0.9,0.999983,0.252877,-0.192006,0.001174,0.260314,0.299085,,,,0.17,False,poly,163.0
10.0,1.0,0.001,1600.0,scale,0.9,0.311309,0.286376,-0.045663,0.239557,0.254412,0.280125,,,,0.11,False,poly,164.0
10.0,1.0,0.0001,800.0,scale,0.9,0.320925,0.189177,-0.119285,0.237878,0.271185,0.289818,,,,0.01,False,poly,165.0
10.0,1.0,0.0001,1600.0,scale,0.7,0.331021,0.299026,-0.082818,0.236103,0.252147,0.285058,,,,0.26,False,poly,166.0
1.0,1.0,0.0001,1600.0,scale,0.7,0.400225,0.227393,-0.01878,0.223558,0.264717,0.276501,,,,0.07,False,poly,167.0
10.0,2.0,0.0001,1600.0,scale,0.7,0.99998,0.252464,-0.191172,0.001282,0.260386,0.298981,,,,0.13,False,poly,168.0
10.0,1.0,0.001,1600.0,scale,0.7,0.331021,0.299026,-0.082818,0.236103,0.252147,0.285058,,,,0.02,False,poly,169.0
10.0,1.0,0.0001,800.0,scale,0.7,0.331903,0.273307,-0.05319,0.235948,0.256731,0.281131,,,,0.08,False,poly,170.0
10.0,1.0,0.0001,1600.0,auto,0.7,0.031198,0.071987,-0.295154,0.284128,0.290121,0.311757,,,,0.08,False,poly,171.0
10.0,1.0,0.0001,1600.0,scale,0.5,0.405205,0.248193,0.015099,0.222628,0.261129,0.271864,,,,0.08,False,poly,172.0
1.0,1.0,0.001,1600.0,scale,0.9,0.341613,0.228439,-0.019883,0.234227,0.264538,0.27665,,,,0.03,False,poly,173.0
10.0,2.0,0.001,1600.0,scale,0.9,0.999983,0.252793,-0.191782,0.001176,0.260329,0.299057,,,,0.06,False,poly,174.0
10.0,1.0,0.01,1600.0,scale,0.9,0.311309,0.286376,-0.045663,0.239557,0.254412,0.280125,,,,0.02,False,poly,175.0
10.0,1.0,0.001,800.0,scale,0.9,0.320925,0.189177,-0.119285,0.237878,0.271185,0.289818,,,,0.07,False,poly,176.0
10.0,1.0,0.001,1600.0,auto,0.9,0.122116,0.160494,-0.403106,0.270467,0.27594,0.32449,,,,0.15,False,poly,177.0
