C,degree,tol,max_iter,gamma,nu,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,kernel,Precedence
10.0,1.0,0.0001,1600.0,auto,0.1,0.225932,0.160124,0.159527,0.253972,0.276,0.251141,,,,0.03,False,poly,0.0
10.0,1.0,0.0001,50.0,scale,0.9,-0.199407,0.033679,-0.314102,0.31614,0.296048,0.314029,,,,0.01,False,poly,1.0
0.0001,9.0,0.0001,1600.0,auto,0.1,0.993399,-0.637693,-0.942274,0.023453,0.385406,0.381778,,,,0.03,False,poly,2.0
0.0001,1.0,0.0001,50.0,scale,0.1,0.000261,-0.009327,-0.048031,0.288629,0.302565,0.280442,,,,0.03,False,poly,3.0
0.0001,9.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,4.0
0.0001,1.0,0.0001,1600.0,auto,0.1,0.001375,-0.010767,-0.047897,0.288468,0.30278,0.280424,,,,0.01,False,poly,5.0
10.0,1.0,0.0001,1600.0,auto,0.9,0.122116,0.160494,-0.403106,0.270467,0.27594,0.32449,,,,0.06,False,poly,6.0
0.0001,5.0,0.0001,1600.0,auto,0.1,0.243558,0.005114,-0.043765,0.251064,0.300392,0.279871,,,,0.02,False,poly,7.0
0.0001,1.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.05,False,poly,8.0
10.0,5.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,9.0
0.0001,9.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,10.0
0.0001,5.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,11.0
0.0001,5.0,0.0001,50.0,auto,0.1,0.224555,0.007906,-0.034102,0.254198,0.29997,0.278572,,,,0.01,False,poly,12.0
0.0001,5.0,10.0,50.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,13.0
10.0,5.0,0.0001,50.0,auto,0.9,0.537968,-0.182602,-0.322367,0.196215,0.327508,0.315015,,,,0.03,False,poly,14.0
10.0,1.0,0.0001,50.0,auto,0.1,-0.74916,-0.70178,-1.495054,0.381778,0.392874,0.432709,,,,0.03,False,poly,15.0
0.0001,5.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,16.0
0.0001,9.0,0.0001,1600.0,scale,0.9,0.035389,-0.007111,-0.042838,0.283513,0.302232,0.279746,,,,0.01,False,poly,17.0
10.0,1.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,18.0
10.0,5.0,10.0,1600.0,scale,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,19.0
10.0,5.0,0.0001,1600.0,auto,0.1,0.999574,0.046263,-0.141625,0.005957,0.294114,0.292697,,,,0.11,False,poly,20.0
0.0001,5.0,0.0001,50.0,scale,0.9,-0.40077,-0.494826,-0.788437,0.341649,0.368212,0.366347,,,,0.02,False,poly,21.0
10.0,9.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,22.0
0.0001,9.0,0.0001,50.0,scale,0.9,-0.164638,-0.273109,-0.473164,0.311524,0.339809,0.332492,,,,0.01,False,poly,23.0
10.0,9.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,24.0
10.0,9.0,0.0001,50.0,auto,0.9,0.337461,-0.210554,-0.345516,0.234964,0.331356,0.317761,,,,0.01,False,poly,25.0
0.0001,5.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.07,False,poly,26.0
0.0001,9.0,10.0,50.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,27.0
10.0,1.0,0.0001,1600.0,scale,0.9,0.311309,0.286376,-0.045663,0.239557,0.254412,0.280125,,,,0.04,False,poly,28.0
0.0001,5.0,0.0001,1600.0,scale,0.1,0.0013,-0.009202,-0.047895,0.288479,0.302546,0.280424,,,,0.01,False,poly,29.0
10.0,5.0,0.0001,1600.0,scale,0.1,0.990902,0.136194,-0.019658,0.027533,0.279905,0.27662,,,,0.02,False,poly,30.0
10.0,5.0,0.0001,1600.0,scale,0.9,0.992369,0.142705,-0.013307,0.025217,0.278848,0.275757,,,,0.03,False,poly,31.0
0.0001,9.0,0.0001,50.0,auto,0.9,0.337461,-0.210554,-0.345516,0.234964,0.331356,0.317761,,,,0.01,False,poly,32.0
0.0001,5.0,0.0001,50.0,scale,0.1,0.0013,-0.009202,-0.047895,0.288479,0.302546,0.280424,,,,0.01,False,poly,33.0
0.0001,5.0,0.0001,50.0,auto,0.9,0.524933,-0.127065,-0.233271,0.198964,0.319725,0.304218,,,,0.03,False,poly,34.0
0.0001,5.0,0.0001,1600.0,auto,0.9,0.81108,0.119285,-0.06428,0.125469,0.282631,0.282608,,,,0.04,False,poly,35.0
10.0,5.0,10.0,1600.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,36.0
10.0,1.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,37.0
10.0,5.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,38.0
0.0001,1.0,0.0001,1600.0,scale,0.1,0.000261,-0.009327,-0.048031,0.288629,0.302565,0.280442,,,,0.01,False,poly,39.0
10.0,9.0,10.0,50.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.01,False,poly,40.0
10.0,5.0,0.0001,1600.0,auto,0.9,0.999524,0.04463,-0.1424,0.0063,0.294366,0.292796,,,,0.06,False,poly,41.0
0.0001,9.0,0.0001,50.0,scale,0.1,0.005198,-0.011431,-0.053555,0.287915,0.30288,0.28118,,,,0.05,False,poly,42.0
10.0,9.0,10.0,1600.0,auto,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,43.0
0.0001,1.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,44.0
0.0001,9.0,0.0001,1600.0,scale,0.1,0.005198,-0.011431,-0.053555,0.287915,0.30288,0.28118,,,,0.0,False,poly,45.0
0.0001,9.0,10.0,50.0,scale,0.9,-1.169107,-1.279739,-1.845843,0.425145,0.454721,0.462127,,,,0.01,False,poly,46.0
10.0,9.0,10.0,1600.0,auto,0.1,-0.740982,-0.533211,-0.473118,0.380884,0.372909,0.332487,,,,0.0,False,poly,47.0
