n_neighbors,p,weights,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,n_jobs,Precedence
31.0,2.0,distance,0.99975,0.090606,0.017272,0.004565,0.287196,0.271564,,,,0.0,-1.0,0.0
100.0,2.0,distance,0.99975,0.062506,-0.050403,0.004565,0.291599,0.280759,,,,0.0,-1.0,1.0
1.0,2.0,distance,0.9995,-0.379318,-0.799757,0.006456,0.353699,0.367505,,,,0.0,-1.0,2.0
21.0,2.0,uniform,0.123174,0.072227,-0.039694,0.270304,0.290083,0.279324,,,,0.0,-1.0,3.0
66.0,1.0,distance,0.99975,0.076119,0.000156,0.004565,0.289474,0.273919,,,,0.0,-1.0,4.0
21.0,1.0,distance,0.99975,0.162129,0.000283,0.004565,0.275671,0.273901,,,,0.0,-1.0,5.0
51.0,1.0,uniform,0.034825,0.007421,-0.070881,0.283595,0.300044,0.283483,,,,0.0,-1.0,6.0
100.0,1.0,uniform,0.008341,0.003727,-0.02289,0.28746,0.300602,0.277058,,,,0.0,-1.0,7.0
41.0,2.0,distance,0.99975,0.076461,-0.018326,0.004565,0.289421,0.276439,,,,0.0,-1.0,8.0
86.0,1.0,uniform,-0.002334,-0.008874,-0.045346,0.289003,0.302497,0.280082,,,,0.0,-1.0,9.0
21.0,1.0,uniform,0.131085,0.152114,-0.058293,0.269082,0.277313,0.281812,,,,0.0,-1.0,10.0
26.0,1.0,uniform,0.122377,0.098633,-0.052869,0.270427,0.285925,0.281088,,,,0.0,-1.0,11.0
36.0,1.0,uniform,0.083972,0.017891,-0.104972,0.276281,0.298457,0.28796,,,,0.0,-1.0,12.0
6.0,1.0,distance,0.99975,0.201159,-0.254124,0.004565,0.269173,0.306779,,,,0.0,-1.0,13.0
46.0,2.0,distance,0.99975,0.072336,-0.019192,0.004565,0.290066,0.276557,,,,0.0,-1.0,14.0
71.0,2.0,distance,0.99975,0.068962,-0.029338,0.004565,0.290593,0.27793,,,,0.0,-1.0,15.0
71.0,2.0,uniform,0.033001,-0.000615,-0.056525,0.283863,0.301256,0.281576,,,,0.0,-1.0,16.0
26.0,2.0,distance,0.99975,0.122792,0.007734,0.004565,0.282068,0.272879,,,,0.0,-1.0,17.0
41.0,2.0,uniform,0.09166,0.021274,-0.051924,0.275119,0.297943,0.280962,,,,0.0,-1.0,18.0
76.0,2.0,distance,0.99975,0.057169,-0.032767,0.004565,0.292428,0.278392,,,,0.0,-1.0,19.0
61.0,1.0,uniform,0.035804,-0.016933,-0.01961,0.283452,0.303702,0.276613,,,,0.0,-1.0,20.0
56.0,2.0,distance,0.99975,0.061771,-0.015321,0.004565,0.291713,0.276031,,,,0.0,-1.0,21.0
61.0,2.0,uniform,0.047469,-0.00939,-0.050251,0.281732,0.302574,0.280739,,,,0.0,-1.0,22.0
31.0,1.0,uniform,0.094286,0.053886,-0.076717,0.274721,0.292937,0.284254,,,,0.0,-1.0,23.0
66.0,2.0,distance,0.99975,0.068921,-0.034902,0.004565,0.2906,0.27868,,,,0.0,-1.0,24.0
41.0,1.0,uniform,0.067712,-0.015765,-0.137295,0.278722,0.303528,0.292141,,,,0.0,-1.0,25.0
11.0,1.0,distance,0.99975,0.151419,-0.069339,0.004565,0.277427,0.283278,,,,0.0,-1.0,26.0
21.0,2.0,distance,0.99975,0.117636,0.027248,0.004565,0.282895,0.270182,,,,0.0,-1.0,27.0
96.0,2.0,distance,0.99975,0.066493,-0.049405,0.004565,0.290978,0.280626,,,,0.0,-1.0,28.0
61.0,1.0,distance,0.99975,0.063201,0.006848,0.004565,0.291491,0.273001,,,,0.0,-1.0,29.0
16.0,2.0,uniform,0.167224,0.125603,-0.093645,0.263427,0.281615,0.28648,,,,0.0,-1.0,30.0
81.0,2.0,distance,0.99975,0.058215,-0.027285,0.004565,0.292266,0.277652,,,,0.0,-1.0,31.0
6.0,2.0,distance,0.99975,0.170047,-0.049327,0.004565,0.274365,0.280615,,,,0.0,-1.0,32.0
86.0,1.0,distance,0.99975,0.0584,-0.023708,0.004565,0.292237,0.277168,,,,0.0,-1.0,33.0
11.0,2.0,uniform,0.22762,0.12871,-0.066574,0.253695,0.281115,0.282912,,,,0.0,-1.0,34.0
36.0,1.0,distance,0.99975,0.071008,-0.055181,0.004565,0.290274,0.281397,,,,0.0,-1.0,35.0
66.0,1.0,uniform,0.01816,0.003029,-0.026995,0.286033,0.300707,0.277613,,,,0.0,-1.0,36.0
56.0,1.0,uniform,0.033367,0.006518,-0.064164,0.28381,0.30018,0.282592,,,,0.0,-1.0,37.0
66.0,2.0,uniform,0.037858,-0.001132,-0.070044,0.283149,0.301334,0.283372,,,,0.0,-1.0,38.0
76.0,2.0,uniform,0.036033,-0.012263,-0.050229,0.283418,0.303004,0.280736,,,,0.0,-1.0,39.0
16.0,1.0,uniform,0.210908,0.113269,-0.077024,0.256425,0.283595,0.284295,,,,0.0,-1.0,40.0
51.0,1.0,distance,0.99975,0.083391,-0.027121,0.004565,0.288333,0.27763,,,,0.0,-1.0,41.0
61.0,2.0,distance,0.99975,0.066839,-0.01897,0.004565,0.290925,0.276526,,,,0.0,-1.0,42.0
11.0,1.0,uniform,0.262323,0.165117,-0.120937,0.24793,0.275179,0.290032,,,,0.0,-1.0,43.0
1.0,1.0,uniform,0.9995,-0.36265,-0.740042,0.006456,0.351556,0.361356,,,,0.0,-1.0,44.0
91.0,1.0,uniform,0.010346,0.002136,-0.026091,0.287169,0.300842,0.277491,,,,0.0,-1.0,45.0
36.0,2.0,distance,0.99975,0.07678,-0.017922,0.004565,0.289371,0.276384,,,,0.0,-1.0,46.0
46.0,1.0,uniform,0.042548,0.001443,-0.104789,0.282459,0.300946,0.287936,,,,0.0,-1.0,47.0
81.0,1.0,uniform,-0.003028,-0.005667,-0.034572,0.289103,0.302016,0.278635,,,,0.0,-1.0,48.0
46.0,1.0,distance,0.99975,0.077428,-0.051763,0.004565,0.289269,0.280941,,,,0.0,-1.0,49.0
76.0,1.0,uniform,0.003079,-0.011691,-0.030416,0.288222,0.302919,0.278075,,,,0.0,-1.0,50.0
100.0,1.0,distance,0.99975,0.066216,-0.00738,0.004565,0.291022,0.274949,,,,0.0,-1.0,51.0
46.0,2.0,uniform,0.076774,0.008226,-0.048607,0.277364,0.299922,0.280519,,,,0.0,-1.0,52.0
26.0,2.0,uniform,0.093097,0.081858,-0.057801,0.274901,0.288574,0.281746,,,,0.0,-1.0,53.0
26.0,1.0,distance,0.99975,0.125663,-0.00829,0.004565,0.281606,0.275073,,,,0.0,-1.0,54.0
96.0,1.0,uniform,0.010823,-0.001367,-0.038096,0.2871,0.301369,0.27911,,,,0.0,-1.0,55.0
51.0,2.0,uniform,0.071081,-0.001219,-0.046773,0.278218,0.301347,0.280274,,,,0.0,-1.0,56.0
91.0,2.0,distance,0.99975,0.061807,-0.039042,0.004565,0.291708,0.279237,,,,0.0,-1.0,57.0
56.0,1.0,distance,0.99975,0.077711,-0.029481,0.004565,0.289225,0.277949,,,,0.0,-1.0,58.0
31.0,2.0,uniform,0.099536,0.046068,-0.041788,0.273924,0.294145,0.279605,,,,0.0,-1.0,59.0
86.0,2.0,distance,0.99975,0.066253,-0.025929,0.004565,0.291016,0.277469,,,,0.0,-1.0,60.0
41.0,1.0,distance,0.99975,0.055374,-0.071834,0.004565,0.292706,0.283609,,,,0.0,-1.0,61.0
86.0,2.0,uniform,0.041589,0.009039,-0.034666,0.2826,0.299799,0.278648,,,,0.0,-1.0,62.0
6.0,1.0,uniform,0.365373,0.220283,-0.318776,0.229962,0.265932,0.314587,,,,0.0,-1.0,63.0
16.0,1.0,distance,0.99975,0.118007,-0.017388,0.004565,0.282836,0.276312,,,,0.0,-1.0,64.0
1.0,1.0,distance,0.9995,-0.36265,-0.740042,0.006456,0.351556,0.361356,,,,0.0,-1.0,65.0
91.0,2.0,uniform,0.040979,-0.000414,-0.048645,0.28269,0.301226,0.280524,,,,0.0,-1.0,66.0
100.0,2.0,uniform,0.028079,0.003857,-0.061343,0.284585,0.300582,0.282217,,,,0.0,-1.0,67.0
71.0,1.0,distance,0.99975,0.068439,-0.019248,0.004565,0.290675,0.276564,,,,0.0,-1.0,68.0
81.0,2.0,uniform,0.041635,-0.00618,-0.042672,0.282593,0.302092,0.279724,,,,0.0,-1.0,69.0
31.0,1.0,distance,0.99975,0.101396,-0.023705,0.004565,0.285487,0.277168,,,,0.0,-1.0,70.0
96.0,1.0,distance,0.99975,0.063071,-0.021679,0.004565,0.291511,0.276894,,,,0.0,-1.0,71.0
6.0,2.0,uniform,0.350527,0.201787,-0.119711,0.232636,0.269068,0.289874,,,,0.0,-1.0,72.0
76.0,1.0,distance,0.99975,0.06462,-0.009596,0.004565,0.29127,0.275252,,,,0.0,-1.0,73.0
36.0,2.0,uniform,0.09869,0.034293,-0.065459,0.274052,0.295954,0.282764,,,,0.0,-1.0,74.0
96.0,2.0,uniform,0.033186,0.0083,-0.061217,0.283836,0.299911,0.282201,,,,0.0,-1.0,75.0
16.0,2.0,distance,0.99975,0.14761,-0.001645,0.004565,0.278049,0.274166,,,,0.0,-1.0,76.0
71.0,1.0,uniform,0.010557,-0.00644,-0.048709,0.287139,0.302131,0.280533,,,,0.0,-1.0,77.0
11.0,2.0,distance,0.99975,0.125148,0.006959,0.004565,0.281689,0.272985,,,,0.0,-1.0,78.0
1.0,2.0,uniform,0.9995,-0.379318,-0.799757,0.006456,0.353699,0.367505,,,,0.0,-1.0,79.0
91.0,1.0,distance,0.99975,0.063686,-0.01024,0.004565,0.291416,0.275339,,,,0.0,-1.0,80.0
51.0,2.0,distance,0.99975,0.064599,-0.023783,0.004565,0.291274,0.277179,,,,0.0,-1.0,81.0
56.0,2.0,uniform,0.059788,-0.006443,-0.040397,0.279904,0.302132,0.279419,,,,0.0,-1.0,82.0
81.0,1.0,distance,0.99975,0.064268,-0.014383,0.004565,0.291325,0.275903,,,,0.0,-1.0,83.0
50.0,2.0,uniform,0.073728,0.002434,-0.055193,0.277821,0.300797,0.281399,,,,0.0,-1.0,84.0
52.0,2.0,uniform,0.070231,-0.002512,-0.037455,0.278345,0.301541,0.279023,,,,0.0,-1.0,85.0
49.0,2.0,uniform,0.077685,-0.004153,-0.063185,0.277227,0.301788,0.282462,,,,0.0,-1.0,86.0
50.0,1.0,uniform,0.03317,0.00345,-0.081848,0.283838,0.300643,0.28493,,,,0.0,-1.0,87.0
50.0,2.0,distance,0.99975,0.065627,-0.026871,0.004565,0.291113,0.277596,,,,0.0,-1.0,88.0
53.0,2.0,uniform,0.068415,-0.005868,-0.030383,0.278617,0.302046,0.278071,,,,0.0,-1.0,89.0
52.0,1.0,uniform,0.034153,0.010422,-0.086248,0.283694,0.29959,0.285509,,,,0.0,-1.0,90.0
52.0,2.0,distance,0.99975,0.065329,-0.016267,0.004565,0.29116,0.276159,,,,0.0,-1.0,91.0
5.0,1.0,uniform,0.36893,0.143101,-0.3528,0.229316,0.278783,0.31862,,,,0.0,-1.0,92.0
7.0,1.0,uniform,0.338383,0.192014,-0.267103,0.234801,0.27071,0.308363,,,,0.0,-1.0,93.0
5.0,2.0,distance,0.99975,0.04287,0.013674,0.004565,0.294637,0.272061,,,,0.0,-1.0,94.0
7.0,2.0,distance,0.99975,0.186022,-0.007525,0.004565,0.271712,0.274969,,,,0.0,-1.0,95.0
8.0,2.0,distance,0.99975,0.166033,0.039031,0.004565,0.275028,0.268541,,,,0.0,-1.0,96.0
7.0,1.0,distance,0.99975,0.164386,-0.208121,0.004565,0.275299,0.3011,,,,0.0,-1.0,97.0
7.0,2.0,uniform,0.324652,0.213099,-0.094275,0.237225,0.267154,0.286562,,,,0.0,-1.0,98.0
5.0,1.0,distance,0.99975,0.150541,-0.288152,0.004565,0.27757,0.310913,,,,0.0,-1.0,99.0
5.0,2.0,uniform,0.351906,0.055444,-0.02893,0.232389,0.292695,0.277875,,,,0.0,-1.0,100.0
