n_neighbors,p,weights,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,n_jobs,Precedence
31.0,2.0,distance,0.999992,0.146819,0.024229,0.000834,0.278178,0.270601,,,,0.03,-1.0,0.0
100.0,2.0,distance,0.999992,0.062246,0.000422,0.000834,0.29164,0.273882,,,,0.01,-1.0,1.0
1.0,2.0,distance,0.999983,-0.361424,-0.70077,0.00118,0.351398,0.357255,,,,0.01,-1.0,2.0
21.0,2.0,uniform,0.112903,0.152151,0.052569,0.271883,0.277307,0.266643,,,,0.0,-1.0,3.0
66.0,1.0,distance,0.999992,0.096684,0.025875,0.000834,0.286234,0.270373,,,,0.01,-1.0,4.0
21.0,1.0,distance,0.999992,0.169434,0.092042,0.000834,0.274466,0.261029,,,,0.01,-1.0,5.0
51.0,1.0,uniform,0.050985,0.051724,0.023221,0.281211,0.293271,0.270741,,,,0.01,-1.0,6.0
100.0,1.0,uniform,0.012326,-0.005597,-0.006683,0.286882,0.302005,0.274854,,,,0.01,-1.0,7.0
41.0,2.0,distance,0.999992,0.113064,0.010553,0.000834,0.283627,0.272491,,,,0.01,-1.0,8.0
86.0,1.0,uniform,0.016035,0.00379,0.006109,0.286343,0.300592,0.273102,,,,0.01,-1.0,9.0
21.0,1.0,uniform,0.123188,0.116166,0.0392,0.270302,0.283131,0.268517,,,,0.01,-1.0,10.0
26.0,1.0,uniform,0.097779,0.098802,0.048273,0.274191,0.285899,0.267246,,,,0.04,-1.0,11.0
36.0,1.0,uniform,0.052003,0.106485,0.024783,0.28106,0.284677,0.270524,,,,0.07,-1.0,12.0
6.0,1.0,distance,0.999992,0.033363,0.063533,0.000834,0.296097,0.265095,,,,0.0,-1.0,13.0
46.0,2.0,distance,0.999992,0.108981,0.010073,0.000834,0.284279,0.272557,,,,0.01,-1.0,14.0
71.0,2.0,distance,0.999992,0.081516,0.022537,0.000834,0.288628,0.270836,,,,0.0,-1.0,15.0
71.0,2.0,uniform,0.034776,0.015608,-0.008317,0.283603,0.298804,0.275077,,,,0.0,-1.0,16.0
26.0,2.0,distance,0.999992,0.152382,0.058209,0.000834,0.27727,0.265848,,,,0.0,-1.0,17.0
41.0,2.0,uniform,0.055431,0.046944,-0.015715,0.280552,0.29401,0.276084,,,,0.01,-1.0,18.0
76.0,2.0,distance,0.999992,0.076931,0.017614,0.000834,0.289347,0.271517,,,,0.01,-1.0,19.0
61.0,1.0,uniform,0.044908,0.030951,-0.029559,0.28211,0.296466,0.277959,,,,0.01,-1.0,20.0
56.0,2.0,distance,0.999992,0.101691,0.032958,0.000834,0.28544,0.269388,,,,0.0,-1.0,21.0
61.0,2.0,uniform,0.032789,0.035757,-0.000597,0.283894,0.29573,0.274022,,,,0.0,-1.0,22.0
31.0,1.0,uniform,0.079404,0.112991,0.04629,0.276969,0.283639,0.267525,,,,0.0,-1.0,23.0
66.0,2.0,distance,0.999992,0.086412,0.023382,0.000834,0.287857,0.270719,,,,0.0,-1.0,24.0
41.0,1.0,uniform,0.044758,0.098525,0.037899,0.282132,0.285943,0.268699,,,,0.0,-1.0,25.0
11.0,1.0,distance,0.999992,0.127032,0.062038,0.000834,0.281385,0.265307,,,,0.01,-1.0,26.0
21.0,2.0,distance,0.999992,0.196354,0.066184,0.000834,0.269982,0.26472,,,,0.0,-1.0,27.0
96.0,2.0,distance,0.999992,0.054665,0.007225,0.000834,0.292816,0.272949,,,,0.01,-1.0,28.0
61.0,1.0,distance,0.999992,0.095279,0.019409,0.000834,0.286457,0.271269,,,,0.01,-1.0,29.0
16.0,2.0,uniform,0.141259,0.156199,0.032862,0.267502,0.276645,0.269402,,,,0.0,-1.0,30.0
81.0,2.0,distance,0.999992,0.076178,0.00499,0.000834,0.289465,0.273256,,,,0.0,-1.0,31.0
6.0,2.0,distance,0.999992,0.192417,-0.080745,0.000834,0.270642,0.284785,,,,0.01,-1.0,32.0
86.0,1.0,distance,0.999992,0.071013,0.040434,0.000834,0.290273,0.268345,,,,0.01,-1.0,33.0
11.0,2.0,uniform,0.178735,0.115759,-0.03585,0.2616,0.283196,0.278807,,,,0.01,-1.0,34.0
36.0,1.0,distance,0.999992,0.168374,0.068611,0.000834,0.274641,0.264376,,,,0.01,-1.0,35.0
66.0,1.0,uniform,0.033923,0.032538,-0.019332,0.283728,0.296223,0.276576,,,,0.01,-1.0,36.0
56.0,1.0,uniform,0.054074,0.065655,0.00336,0.280753,0.291109,0.27348,,,,0.01,-1.0,37.0
66.0,2.0,uniform,0.032129,0.021249,-0.005439,0.283991,0.297946,0.274684,,,,0.01,-1.0,38.0
76.0,2.0,uniform,0.026885,0.007327,-0.013387,0.28476,0.300058,0.275768,,,,0.01,-1.0,39.0
16.0,1.0,uniform,0.15999,0.09289,-0.010557,0.264569,0.286835,0.275382,,,,0.0,-1.0,40.0
51.0,1.0,distance,0.999992,0.12146,0.068857,0.000834,0.282282,0.264341,,,,0.0,-1.0,41.0
61.0,2.0,distance,0.999992,0.09519,0.029737,0.000834,0.286471,0.269836,,,,0.0,-1.0,42.0
11.0,1.0,uniform,0.232725,0.073532,-0.000537,0.252855,0.289879,0.274014,,,,0.01,-1.0,43.0
1.0,1.0,uniform,0.999983,-0.043579,-0.555372,0.00118,0.307656,0.341643,,,,0.0,-1.0,44.0
91.0,1.0,uniform,0.009726,0.006193,-0.001439,0.287259,0.300229,0.274137,,,,0.05,-1.0,45.0
36.0,2.0,distance,0.999992,0.124924,0.021626,0.000834,0.281725,0.270962,,,,0.0,-1.0,46.0
46.0,1.0,uniform,0.048754,0.079507,0.030411,0.281542,0.288943,0.269743,,,,0.0,-1.0,47.0
81.0,1.0,uniform,0.022068,0.01164,0.015496,0.285463,0.299405,0.271809,,,,0.06,-1.0,48.0
46.0,1.0,distance,0.999992,0.14552,0.072096,0.000834,0.27839,0.263881,,,,0.01,-1.0,49.0
76.0,1.0,uniform,0.021718,0.018795,0.009588,0.285514,0.29832,0.272624,,,,0.0,-1.0,50.0
100.0,1.0,distance,0.999992,0.060527,0.026357,0.000834,0.291907,0.270306,,,,0.0,-1.0,51.0
46.0,2.0,uniform,0.042527,0.047775,-0.021567,0.282462,0.293881,0.276879,,,,0.01,-1.0,52.0
26.0,2.0,uniform,0.091993,0.088365,0.03774,0.275068,0.287549,0.268721,,,,0.01,-1.0,53.0
26.0,1.0,distance,0.999992,0.164299,0.088334,0.000834,0.275314,0.261561,,,,0.01,-1.0,54.0
96.0,1.0,uniform,0.010279,0.00414,-0.014529,0.287179,0.300539,0.275923,,,,0.01,-1.0,55.0
51.0,2.0,uniform,0.035131,0.054366,0.00085,0.28355,0.292862,0.273824,,,,0.01,-1.0,56.0
91.0,2.0,distance,0.999992,0.052953,0.017718,0.000834,0.293081,0.271503,,,,0.01,-1.0,57.0
