C,degree,tol,max_iter,gamma,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,kernel,Precedence
10.0,9.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,0.0
0.0001,9.0,0.0001,50.0,scale,-0.993745,-1.196189,-1.734464,0.407597,0.44631,0.452993,,,,0.0,False,poly,1.0
0.0001,1.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,2.0
10.0,9.0,0.0001,50.0,auto,0.622153,-0.230966,-0.631169,0.177441,0.334137,0.349869,,,,0.0,False,poly,3.0
0.0001,9.0,0.0001,1600.0,auto,0.707696,0.083847,0.00391,0.156068,0.288261,0.273404,,,,0.0,False,poly,4.0
0.0001,9.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,5.0
0.0001,5.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,6.0
10.0,1.0,0.0001,50.0,scale,-0.693426,-0.721789,-0.787642,0.375646,0.395177,0.366266,,,,0.0,False,poly,7.0
10.0,9.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,8.0
0.0001,5.0,0.0001,50.0,auto,-0.441412,-0.861075,-1.263669,0.346569,0.410851,0.412157,,,,0.0,False,poly,9.0
0.0001,1.0,0.0001,1600.0,auto,0.004646,-0.006806,-0.048938,0.287995,0.302186,0.280563,,,,0.0,False,poly,10.0
0.0001,9.0,0.0001,1600.0,scale,0.051309,-0.007679,-0.044997,0.281163,0.302317,0.280036,,,,0.0,False,poly,11.0
0.0001,1.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,12.0
10.0,1.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,13.0
0.0001,5.0,0.0001,50.0,scale,-0.1312,-0.246086,-0.431528,0.307019,0.336183,0.32776,,,,0.0,False,poly,14.0
10.0,1.0,0.0001,1600.0,scale,0.160181,0.013321,-0.154087,0.264539,0.299151,0.29429,,,,0.0,False,poly,15.0
10.0,1.0,0.0001,1600.0,auto,0.201015,-0.051442,-0.133557,0.258027,0.308812,0.29166,,,,0.01,False,poly,16.0
10.0,5.0,0.0001,1600.0,scale,0.876754,0.083216,-0.019129,0.10134,0.28836,0.276548,,,,0.0,False,poly,17.0
0.0001,5.0,0.0001,1600.0,auto,0.301516,0.068011,-0.029255,0.241254,0.290742,0.277918,,,,0.0,False,poly,18.0
0.0001,9.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,19.0
10.0,9.0,0.0001,1600.0,scale,0.733291,0.080489,0.004645,0.149079,0.288789,0.273303,,,,0.0,False,poly,20.0
0.0001,5.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,21.0
10.0,9.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,22.0
0.0001,9.0,0.0001,50.0,auto,0.403669,-0.170084,-0.40599,0.222915,0.32577,0.324823,,,,0.0,False,poly,23.0
10.0,5.0,0.0001,50.0,scale,0.65281,-0.066818,-0.276664,0.17009,0.311062,0.309524,,,,0.0,False,poly,24.0
10.0,5.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,25.0
10.0,5.0,0.0001,1600.0,auto,0.899457,0.081621,-0.029359,0.091532,0.288611,0.277932,,,,0.0,False,poly,26.0
10.0,1.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,27.0
0.0001,1.0,0.0001,50.0,auto,-0.151003,-0.220948,-0.399055,0.309695,0.332775,0.324021,,,,0.0,False,poly,28.0
10.0,1.0,0.0001,50.0,auto,-1.0462,-0.498698,-0.829456,0.412924,0.368688,0.370524,,,,0.0,False,poly,29.0
0.0001,5.0,0.0001,1600.0,scale,0.045062,-0.006869,-0.042143,0.282087,0.302196,0.279653,,,,0.0,False,poly,30.0
10.0,5.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,31.0
0.0001,5.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,32.0
10.0,5.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,33.0
0.0001,1.0,0.0001,1600.0,scale,0.001368,-0.008428,-0.048511,0.288469,0.30243,0.280506,,,,0.0,False,poly,34.0
10.0,1.0,10.0,1600.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,35.0
0.0001,5.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,36.0
10.0,9.0,0.0001,1600.0,auto,0.899151,0.099983,-0.041163,0.091671,0.285711,0.279522,,,,0.0,False,poly,37.0
0.0001,1.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,38.0
10.0,1.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,39.0
0.0001,1.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,40.0
0.0001,1.0,0.0001,50.0,scale,-0.150894,-0.219024,-0.396214,0.309681,0.332513,0.323692,,,,0.0,False,poly,41.0
10.0,9.0,0.0001,50.0,scale,0.433535,-0.210159,-0.434082,0.217262,0.331301,0.328052,,,,0.0,False,poly,42.0
10.0,5.0,10.0,50.0,auto,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,43.0
0.0001,9.0,10.0,50.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,44.0
10.0,9.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,45.0
0.0001,9.0,10.0,1600.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,46.0
10.0,5.0,0.0001,50.0,auto,0.503455,-0.043958,-0.311314,0.203411,0.307711,0.313696,,,,0.0,False,poly,47.0
0.1,5.0,0.1,400.0,scale,0.397467,0.084355,-0.036311,0.224071,0.288181,0.278869,,,,0.0,False,poly,48.0
0.01,5.0,0.1,400.0,scale,0.150232,0.011196,-0.057028,0.266101,0.299473,0.281643,,,,0.0,False,poly,49.0
1.0,5.0,0.1,400.0,scale,0.678499,0.099879,0.019467,0.163677,0.285728,0.271261,,,,0.0,False,poly,50.0
0.1,4.0,0.1,400.0,scale,0.400482,0.094663,-0.027298,0.22351,0.286554,0.277654,,,,0.0,False,poly,51.0
0.1,6.0,0.1,400.0,scale,0.390635,0.076054,-0.038648,0.225338,0.289485,0.279184,,,,0.0,False,poly,52.0
0.1,5.0,0.01,400.0,scale,0.399766,0.08844,-0.029716,0.223644,0.287538,0.277981,,,,0.0,False,poly,53.0
0.1,5.0,1.0,400.0,scale,-2.8e-05,-0.008071,-0.045672,0.28867,0.302376,0.280126,,,,0.0,False,poly,54.0
