n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
800.0,3.0,0.4,1.0,1e-08,0.0001,0.042122,0.00219,-0.041757,0.282521,0.300833,0.279601,,,,13.85,19260817.0,-1.0,0.0
800.0,3.0,0.4,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.6,19260817.0,-1.0,1.0
25.0,192.0,0.4,1.0,1e-08,0.0001,0.001851,-0.010429,-0.05224,0.288399,0.30273,0.281004,,,,3.74,19260817.0,-1.0,2.0
25.0,3.0,0.4,0.4,0.1,0.0001,0.00097,-0.010656,-0.052668,0.288526,0.302764,0.281062,,,,2.09,19260817.0,-1.0,3.0
25.0,192.0,1.0,1.0,1e-08,0.0001,0.003957,-0.010049,-0.053431,0.288095,0.302673,0.281164,,,,7.63,19260817.0,-1.0,4.0
25.0,3.0,0.4,1.0,1e-08,0.0001,0.001281,-0.010624,-0.05242,0.288481,0.302759,0.281029,,,,1.54,19260817.0,-1.0,5.0
800.0,3.0,0.4,1.0,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.03,19260817.0,-1.0,6.0
25.0,24.0,0.4,1.0,1e-08,0.0001,0.001851,-0.010429,-0.05224,0.288399,0.30273,0.281004,,,,4.29,19260817.0,-1.0,7.0
25.0,3.0,1.0,0.4,1e-08,0.0001,0.001279,-0.010651,-0.052768,0.288482,0.302763,0.281075,,,,1.95,19260817.0,-1.0,8.0
800.0,24.0,1.0,0.4,0.1,0.0001,0.108585,0.008311,-0.033965,0.272544,0.299909,0.278554,,,,209.79,19260817.0,-1.0,9.0
25.0,192.0,1.0,1.0,0.1,0.0001,0.003652,-0.010487,-0.053182,0.288139,0.302738,0.28113,,,,5.66,19260817.0,-1.0,10.0
25.0,24.0,1.0,0.4,1e-08,10.0,-4.881930990383437e+40,-8.055241610117969e+40,-5.198600477512164e+40,6.378109895504834e+19,8.547544535206917e+19,6.245957897686008e+19,,,,7.77,19260817.0,-1.0,11.0
25.0,24.0,0.4,0.4,1e-08,0.0001,0.001763,-0.010411,-0.052473,0.288412,0.302727,0.281036,,,,4.38,19260817.0,-1.0,12.0
25.0,24.0,1.0,0.4,0.1,0.0001,0.003499,-0.010308,-0.052443,0.288161,0.302712,0.281032,,,,6.93,19260817.0,-1.0,13.0
800.0,24.0,0.4,0.4,1e-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25.22,19260817.0,-1.0,14.0
800.0,3.0,0.4,0.4,1e-08,0.0001,0.036018,-0.00126,-0.045207,0.28342,0.301353,0.280064,,,,50.91,19260817.0,-1.0,15.0
25.0,24.0,1.0,0.4,0.1,10.0,-3.4748394251494348e+41,-3.1784294311989093e+41,-3.790190599945009e+41,1.701623795248101e+20,1.6978853981240708e+20,1.6865000420818475e+20,,,,7.33,19260817.0,-1.0,16.0
25.0,192.0,0.4,1.0,0.1,10.0,-6.247314562633233e+44,-5.7286086305593006e+44,-6.923315883196654e+44,7.215108508345413e+21,7.208197261092461e+21,7.207968911989958e+21,,,,2.78,19260817.0,-1.0,17.0
800.0,3.0,1.0,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.3,19260817.0,-1.0,18.0
800.0,24.0,1.0,1.0,0.1,0.0001,0.113945,-0.003484,-0.047949,0.271723,0.301687,0.280431,,,,150.83,19260817.0,-1.0,19.0
800.0,24.0,0.4,1.0,1e-08,0.0001,0.058492,0.004972,-0.039885,0.280097,0.300414,0.27935,,,,146.45,19260817.0,-1.0,20.0
25.0,24.0,0.4,0.4,0.1,10.0,-1.092981531375723e+44,-1.0040415407900819e+44,-1.2103530807357495e+44,3.017884341151178e+21,3.017712955763571e+21,3.0137822535690035e+21,,,,3.44,19260817.0,-1.0,21.0
800.0,192.0,1.0,0.4,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26.17,19260817.0,-1.0,22.0
25.0,192.0,0.4,0.4,0.1,10.0,-1.092981531375723e+44,-1.0040415407900819e+44,-1.2103530807357495e+44,3.017884341151178e+21,3.017712955763571e+21,3.0137822535690035e+21,,,,3.57,19260817.0,-1.0,23.0
