n_estimators,max_depth,max_samples,max_features,ccp_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Precedence
800.0,192.0,1.0,0.4,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.58,19260817.0,-1.0,0.0
800.0,192.0,1.0,0.4,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.56,19260817.0,-1.0,0.0
800.0,192.0,1.0,0.4,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.53,19260817.0,-1.0,0.0
25.0,192.0,0.4,0.4,0.1,-0.001256,-0.004185,-0.032253,0.288458,0.300371,0.277955,,,,0.03,19260817.0,-1.0,1.0
25.0,3.0,1.0,0.4,1e-08,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,2.0
800.0,192.0,0.4,0.4,1e-08,0.615479,0.174174,-0.040537,0.17876,0.272393,0.279069,,,,0.58,19260817.0,-1.0,3.0
25.0,192.0,0.4,1.0,1e-08,0.56684,0.078767,-0.028595,0.189729,0.287697,0.277463,,,,0.03,19260817.0,-1.0,4.0
25.0,192.0,1.0,1.0,1e-08,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,5.0
25.0,24.0,1.0,1.0,1e-08,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,6.0
800.0,3.0,0.4,0.4,0.1,-3.9e-05,-0.008607,-0.044252,0.288283,0.301032,0.279566,,,,0.53,19260817.0,-1.0,7.0
800.0,192.0,1.0,1.0,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.49,19260817.0,-1.0,8.0
25.0,24.0,0.4,0.4,1e-08,0.579869,0.121407,-0.099721,0.186854,0.28096,0.286895,,,,0.03,19260817.0,-1.0,9.0
25.0,3.0,0.4,1.0,1e-08,0.236759,0.069108,0.066899,0.25185,0.289202,0.264269,,,,0.02,19260817.0,-1.0,10.0
25.0,192.0,0.4,1.0,0.1,-0.001256,-0.004185,-0.032253,0.288458,0.300371,0.277955,,,,0.03,19260817.0,-1.0,11.0
25.0,3.0,1.0,1.0,1e-08,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,12.0
800.0,3.0,1.0,0.4,0.1,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.5,19260817.0,-1.0,13.0
25.0,24.0,0.4,0.4,0.1,-0.001256,-0.004185,-0.032253,0.288458,0.300371,0.277955,,,,0.03,19260817.0,-1.0,14.0
800.0,3.0,0.4,1.0,0.1,-3.9e-05,-0.008607,-0.044252,0.288283,0.301032,0.279566,,,,0.52,19260817.0,-1.0,15.0
800.0,3.0,0.4,1.0,1e-08,0.247372,0.066261,-0.009266,0.250093,0.289643,0.274843,,,,0.52,19260817.0,-1.0,16.0
800.0,24.0,0.4,1.0,0.1,-3.9e-05,-0.008607,-0.044252,0.288283,0.301032,0.279566,,,,0.54,19260817.0,-1.0,17.0
25.0,24.0,0.4,1.0,1e-08,0.56684,0.078767,-0.028595,0.189729,0.287697,0.277463,,,,0.03,19260817.0,-1.0,18.0
25.0,192.0,1.0,0.4,1e-08,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.03,19260817.0,-1.0,19.0
800.0,192.0,0.4,1.0,0.1,-3.9e-05,-0.008607,-0.044252,0.288283,0.301032,0.279566,,,,0.54,19260817.0,-1.0,20.0
25.0,24.0,1.0,0.4,0.1,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,21.0
800.0,192.0,1.0,0.4,0.1,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.49,19260817.0,-1.0,22.0
25.0,192.0,0.4,0.4,1e-08,0.579869,0.121407,-0.099721,0.186854,0.28096,0.286895,,,,0.03,19260817.0,-1.0,23.0
800.0,24.0,0.4,0.4,0.1,-3.9e-05,-0.008607,-0.044252,0.288283,0.301032,0.279566,,,,0.54,19260817.0,-1.0,24.0
800.0,24.0,1.0,0.4,0.1,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.5,19260817.0,-1.0,25.0
800.0,24.0,0.4,1.0,1e-08,0.617595,0.123491,0.020203,0.178268,0.280627,0.270801,,,,0.53,19260817.0,-1.0,26.0
800.0,3.0,1.0,1.0,0.1,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.5,19260817.0,-1.0,27.0
25.0,3.0,0.4,0.4,1e-08,0.375541,0.065478,-0.033159,0.227805,0.289765,0.278078,,,,0.03,19260817.0,-1.0,28.0
800.0,3.0,0.4,0.4,1e-08,0.412039,0.141405,-0.027919,0.221047,0.277744,0.277371,,,,0.52,19260817.0,-1.0,29.0
25.0,24.0,0.4,1.0,0.1,-0.001256,-0.004185,-0.032253,0.288458,0.300371,0.277955,,,,0.03,19260817.0,-1.0,30.0
800.0,24.0,1.0,1.0,0.1,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.5,19260817.0,-1.0,31.0
25.0,24.0,1.0,0.4,1e-08,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,32.0
800.0,24.0,1.0,1.0,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.5,19260817.0,-1.0,33.0
25.0,3.0,0.4,1.0,0.1,-0.001256,-0.004185,-0.032253,0.288458,0.300371,0.277955,,,,0.03,19260817.0,-1.0,34.0
800.0,3.0,1.0,1.0,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.49,19260817.0,-1.0,35.0
25.0,24.0,1.0,1.0,0.1,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,36.0
800.0,192.0,0.4,1.0,1e-08,0.617595,0.123491,0.020203,0.178268,0.280627,0.270801,,,,0.58,19260817.0,-1.0,37.0
25.0,3.0,1.0,1.0,0.1,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,38.0
800.0,3.0,1.0,0.4,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.51,19260817.0,-1.0,39.0
25.0,3.0,1.0,0.4,0.1,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,40.0
25.0,3.0,0.4,0.4,0.1,-0.001256,-0.004185,-0.032253,0.288458,0.300371,0.277955,,,,0.02,19260817.0,-1.0,41.0
800.0,192.0,0.4,0.4,0.1,-3.9e-05,-0.008607,-0.044252,0.288283,0.301032,0.279566,,,,0.54,19260817.0,-1.0,42.0
800.0,24.0,1.0,0.4,1e-08,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.5,19260817.0,-1.0,43.0
25.0,192.0,1.0,0.4,0.1,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,44.0
800.0,192.0,1.0,1.0,0.1,-0.000749,-0.005249,-0.035378,0.288385,0.30053,0.278376,,,,0.49,19260817.0,-1.0,45.0
25.0,192.0,1.0,1.0,0.1,-0.022422,-0.058943,-0.140412,0.291491,0.308452,0.292155,,,,0.02,19260817.0,-1.0,46.0
800.0,24.0,0.4,0.4,1e-08,0.615479,0.174174,-0.040537,0.17876,0.272393,0.279069,,,,0.53,19260817.0,-1.0,47.0
200.0,24.0,0.7,0.7,0.0001,0.785085,0.172204,-0.102957,0.133642,0.272717,0.287317,,,,0.15,19260817.0,-1.0,48.0
