n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,warnings,Precedence
800.0,3.0,0.4,1.0,1e-08,0.0001,3e-06,-0.009001,-0.048065,0.288666,0.302516,0.280447,,,,1.32,19260817.0,-1.0,none,0.0
800.0,3.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.83,19260817.0,-1.0,none,1.0
25.0,192.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.93,19260817.0,-1.0,none,2.0
25.0,3.0,0.4,0.4,0.1,0.0001,0.569306,0.048783,0.025439,0.189444,0.293726,0.270433,,,,0.77,19260817.0,-1.0,none,3.0
25.0,192.0,1.0,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.07,19260817.0,-1.0,none,4.0
25.0,3.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.06,19260817.0,-1.0,none,5.0
800.0,3.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.27,19260817.0,-1.0,none,6.0
25.0,24.0,0.4,1.0,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,7.0
25.0,3.0,1.0,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.04,19260817.0,-1.0,none,8.0
800.0,24.0,1.0,0.4,0.1,0.0001,0.999992,0.061224,0.020179,0.000836,0.291799,0.271162,,,,1.11,19260817.0,-1.0,none,9.0
25.0,192.0,1.0,1.0,0.1,0.0001,0.708331,0.073323,0.075833,0.155898,0.289912,0.263349,,,,0.26,19260817.0,-1.0,none,10.0
25.0,24.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.03,19260817.0,-1.0,none,11.0
25.0,24.0,0.4,0.4,1e-08,0.0001,0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.12,19260817.0,-1.0,none,12.0
25.0,24.0,1.0,0.4,0.1,0.0001,0.672121,-0.007032,0.055976,0.165292,0.30222,0.266163,,,,0.04,19260817.0,-1.0,none,13.0
800.0,24.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.22,19260817.0,-1.0,none,14.0
800.0,3.0,0.4,0.4,1e-08,0.0001,3e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,10.95,19260817.0,-1.0,none,15.0
25.0,24.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.05,19260817.0,-1.0,none,16.0
25.0,192.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.05,19260817.0,-1.0,none,17.0
800.0,3.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,4.3,19260817.0,-1.0,none,18.0
800.0,24.0,1.0,1.0,0.1,0.0001,0.999992,0.108085,0.196901,0.000835,0.284422,0.245494,,,,80.92,19260817.0,-1.0,none,19.0
800.0,24.0,0.4,1.0,1e-08,0.0001,5e-06,-0.009001,-0.048065,0.288666,0.302516,0.280447,,,,13.32,19260817.0,-1.0,none,20.0
25.0,24.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,-1.0,none,21.0
800.0,192.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.33,19260817.0,-1.0,none,22.0
25.0,192.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,-1.0,none,23.0
800.0,192.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.5,19260817.0,-1.0,none,24.0
800.0,192.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,4.11,19260817.0,-1.0,none,25.0
25.0,24.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.98,19260817.0,-1.0,none,26.0
25.0,192.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.94,19260817.0,-1.0,none,27.0
800.0,3.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,22.61,19260817.0,-1.0,none,28.0
25.0,24.0,0.4,1.0,0.1,0.0001,0.708331,0.073323,0.075833,0.155898,0.289912,0.263349,,,,5.64,19260817.0,-1.0,none,29.0
800.0,24.0,0.4,1.0,0.1,0.0001,0.999992,0.108085,0.196901,0.000835,0.284422,0.245494,,,,30.72,19260817.0,-1.0,none,30.0
800.0,24.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.73,19260817.0,-1.0,none,31.0
25.0,192.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.09,19260817.0,-1.0,none,32.0
25.0,24.0,0.4,0.4,0.1,0.0001,0.672121,-0.007032,0.055976,0.165292,0.30222,0.266163,,,,0.28,19260817.0,-1.0,none,33.0
25.0,24.0,0.4,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.06,19260817.0,-1.0,none,34.0
25.0,24.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.08,19260817.0,-1.0,none,35.0
800.0,24.0,1.0,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.0,19260817.0,-1.0,none,36.0
800.0,3.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.28,19260817.0,-1.0,none,37.0
800.0,24.0,1.0,1.0,1e-08,0.0001,5e-06,-0.009001,-0.048065,0.288666,0.302516,0.280447,,,,44.91,19260817.0,-1.0,none,38.0
25.0,3.0,0.4,1.0,0.1,0.0001,0.596167,0.054515,0.012943,0.183441,0.292839,0.272162,,,,0.11,19260817.0,-1.0,none,39.0
800.0,192.0,1.0,0.4,1e-08,0.0001,4e-06,-0.009,-0.048066,0.288666,0.302516,0.280447,,,,24.21,19260817.0,-1.0,none,40.0
800.0,24.0,0.4,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,6.09,19260817.0,-1.0,none,41.0
25.0,192.0,0.4,0.4,0.1,0.0001,0.672121,-0.007032,0.055976,0.165292,0.30222,0.266163,,,,3.43,19260817.0,-1.0,none,42.0
800.0,192.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,4.02,19260817.0,-1.0,none,43.0
25.0,3.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,1.02,19260817.0,-1.0,none,44.0
25.0,192.0,0.4,1.0,0.1,0.0001,0.708331,0.073323,0.075833,0.155898,0.289912,0.263349,,,,2.77,19260817.0,-1.0,none,45.0
25.0,192.0,1.0,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.27,19260817.0,-1.0,none,46.0
800.0,192.0,1.0,1.0,1e-08,0.0001,5e-06,-0.009001,-0.048065,0.288666,0.302516,0.280447,,,,104.42,19260817.0,-1.0,none,47.0
25.0,24.0,0.4,1.0,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.95,19260817.0,-1.0,none,48.0
800.0,192.0,0.4,0.4,0.1,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,25.74,19260817.0,-1.0,none,49.0
800.0,192.0,0.4,1.0,1e-08,0.0001,5e-06,-0.009001,-0.048065,0.288666,0.302516,0.280447,,,,103.87,19260817.0,-1.0,none,50.0
800.0,24.0,1.0,0.4,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,3.97,19260817.0,-1.0,none,51.0
25.0,192.0,1.0,1.0,1e-08,10.0,-0.0,-0.009,-0.048067,0.288666,0.302516,0.280447,,,,0.02,19260817.0,-1.0,none,52.0
