n_restarts_optimizer,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Precedence
0.0,0.99975,-2.793734,-3.864141,0.004565,0.586591,0.60417,,,,0.06,42.0,0.0
5.0,0.99975,-2.793734,-3.864141,0.004565,0.586591,0.60417,,,,0.0,42.0,1.0
3.0,0.99975,-2.793734,-3.864141,0.004565,0.586591,0.60417,,,,0.0,42.0,2.0
2.0,0.99975,-2.793734,-3.864141,0.004565,0.586591,0.60417,,,,0.0,42.0,3.0
4.0,0.99975,-2.793734,-3.864141,0.004565,0.586591,0.60417,,,,0.0,42.0,4.0
1.0,0.99975,-2.793734,-3.864141,0.004565,0.586591,0.60417,,,,0.0,42.0,5.0
