n_estimators,max_depth,subsample,colsample_bylevel,max_bin,reg_lambda,learning_rate,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,verbose,Precedence
25.0,16.0,1.0,0.4,256.0,1.0,1.0,0.99975,-0.081479,-0.188119,0.004565,0.313192,0.298597,,,,7.89,19260817.0,False,0.0
25.0,16.0,1.0,0.4,256.0,0.01,0.001,0.044709,-0.004607,-0.043515,0.28214,0.301856,0.279837,,,,6.67,19260817.0,False,1.0
25.0,2.0,1.0,1.0,64.0,0.01,1.0,0.904539,-0.662582,-0.86463,0.089189,0.388324,0.374069,,,,0.05,19260817.0,False,2.0
25.0,2.0,1.0,0.4,256.0,0.01,1.0,0.882816,-0.356583,-0.181715,0.098817,0.350772,0.297791,,,,0.05,19260817.0,False,3.0
200.0,2.0,0.4,1.0,64.0,0.01,1.0,0.999469,-0.198724,-0.596617,0.006652,0.329732,0.346143,,,,0.09,19260817.0,False,4.0
200.0,2.0,0.4,1.0,64.0,1.0,1.0,0.999481,-0.425365,-0.881546,0.006579,0.359555,0.375762,,,,0.1,19260817.0,False,5.0
25.0,2.0,0.4,1.0,64.0,0.01,1.0,0.794488,-0.219914,-0.867511,0.130862,0.332634,0.374358,,,,0.04,19260817.0,False,6.0
25.0,2.0,1.0,0.4,256.0,1.0,1.0,0.885347,0.024435,-0.00955,0.097744,0.297461,0.275245,,,,0.04,19260817.0,False,7.0
200.0,2.0,1.0,1.0,64.0,0.01,0.001,0.035894,0.005906,-0.039781,0.283438,0.300273,0.279336,,,,0.09,19260817.0,False,8.0
25.0,16.0,0.4,1.0,256.0,1.0,0.001,0.024367,-0.007159,-0.045564,0.285128,0.302239,0.280112,,,,12.47,19260817.0,False,9.0
200.0,16.0,0.4,0.4,64.0,0.01,1.0,0.99975,-0.37011,-0.180416,0.004565,0.352517,0.297628,,,,26.48,19260817.0,False,10.0
25.0,16.0,1.0,0.4,64.0,1.0,0.001,0.025147,-0.006428,-0.045967,0.285014,0.30213,0.280166,,,,2.89,19260817.0,False,11.0
25.0,2.0,1.0,0.4,64.0,0.01,1.0,0.883984,-0.535593,-0.654438,0.098323,0.373199,0.352355,,,,0.09,19260817.0,False,12.0
200.0,2.0,0.4,0.4,256.0,1.0,0.001,0.024799,-0.001063,-0.043049,0.285065,0.301323,0.279775,,,,0.15,19260817.0,False,13.0
25.0,16.0,0.4,0.4,64.0,0.01,1.0,0.99975,-0.37011,-0.180416,0.004565,0.352517,0.297628,,,,3.73,19260817.0,False,14.0
200.0,16.0,1.0,1.0,64.0,0.01,0.001,0.30887,0.014928,-0.026299,0.239981,0.298907,0.277519,,,,53.79,19260817.0,False,15.0
200.0,2.0,1.0,0.4,256.0,0.01,0.001,0.033512,0.002803,-0.040569,0.283788,0.300741,0.279442,,,,0.11,19260817.0,False,16.0
200.0,2.0,1.0,0.4,256.0,1.0,1.0,0.999748,-0.035141,-0.083531,0.004578,0.306409,0.285152,,,,0.1,19260817.0,False,17.0
25.0,16.0,0.4,1.0,64.0,1.0,1.0,0.99975,-0.194782,-0.409644,0.004565,0.32919,0.325245,,,,7.32,19260817.0,False,18.0
200.0,16.0,0.4,1.0,256.0,1.0,0.001,0.179077,0.006613,-0.02955,0.261546,0.300166,0.277958,,,,147.31,19260817.0,False,19.0
25.0,16.0,1.0,1.0,64.0,1.0,0.001,0.025283,-0.0068,-0.046397,0.284994,0.302186,0.280223,,,,6.41,19260817.0,False,20.0
200.0,2.0,1.0,1.0,256.0,1.0,1.0,0.99975,-0.13181,-0.623707,0.004567,0.320397,0.349068,,,,0.1,19260817.0,False,21.0
25.0,16.0,0.4,0.4,64.0,1.0,1.0,0.99975,-0.047638,-0.092394,0.004565,0.308253,0.286316,,,,3.97,19260817.0,False,22.0
200.0,16.0,0.4,0.4,256.0,0.01,1.0,0.99975,-0.094615,-0.038203,0.004565,0.315089,0.279124,,,,60.64,19260817.0,False,23.0
200.0,16.0,1.0,0.4,64.0,1.0,0.001,0.184267,0.007386,-0.029036,0.260718,0.300049,0.277889,,,,24.73,19260817.0,False,24.0
25.0,2.0,0.4,0.4,256.0,0.01,0.001,0.0035,-0.007396,-0.04672,0.288161,0.302275,0.280267,,,,0.04,19260817.0,False,25.0
25.0,2.0,1.0,0.4,64.0,0.01,0.001,0.003941,-0.007072,-0.046875,0.288097,0.302226,0.280287,,,,0.04,19260817.0,False,26.0
200.0,16.0,1.0,1.0,64.0,1.0,0.001,0.186518,0.004664,-0.03366,0.260357,0.30046,0.278512,,,,55.08,19260817.0,False,27.0
200.0,16.0,0.4,1.0,256.0,0.01,1.0,0.99975,-0.38853,0.084785,0.004565,0.354878,0.26207,,,,133.82,19260817.0,False,28.0
25.0,2.0,0.4,1.0,64.0,0.01,0.001,0.003408,-0.007371,-0.047533,0.288174,0.302271,0.280375,,,,0.05,19260817.0,False,29.0
200.0,16.0,0.4,0.4,64.0,0.01,0.001,0.294023,0.014126,-0.024118,0.242545,0.299029,0.277224,,,,26.4,19260817.0,False,30.0
200.0,2.0,1.0,1.0,256.0,0.01,1.0,0.99975,-0.062416,-0.274715,0.004565,0.31042,0.309287,,,,0.1,19260817.0,False,31.0
25.0,16.0,0.4,1.0,256.0,0.01,1.0,0.99975,-0.38853,0.084785,0.004565,0.354878,0.26207,,,,13.06,19260817.0,False,32.0
200.0,16.0,1.0,0.4,64.0,1.0,1.0,0.99975,0.023535,-0.012934,0.004565,0.297598,0.275706,,,,23.69,19260817.0,False,33.0
25.0,16.0,0.4,1.0,64.0,0.01,1.0,0.99975,-0.723236,-0.871621,0.004565,0.395343,0.37477,,,,5.3,19260817.0,False,34.0
25.0,2.0,1.0,1.0,64.0,1.0,0.001,0.003925,-0.007405,-0.047166,0.288099,0.302276,0.280326,,,,0.04,19260817.0,False,35.0
25.0,16.0,0.4,0.4,64.0,0.01,0.001,0.042245,-0.004764,-0.044517,0.282503,0.30188,0.279971,,,,3.18,19260817.0,False,36.0
25.0,16.0,0.4,0.4,256.0,0.01,0.001,0.041551,-0.006272,-0.043352,0.282606,0.302106,0.279815,,,,7.23,19260817.0,False,37.0
25.0,16.0,0.4,0.4,256.0,1.0,0.001,0.023918,-0.006802,-0.045687,0.285193,0.302186,0.280128,,,,6.95,19260817.0,False,38.0
200.0,2.0,0.4,1.0,256.0,1.0,1.0,0.9995,-0.21789,-0.334483,0.006457,0.332358,0.316455,,,,0.11,19260817.0,False,39.0
25.0,2.0,0.4,0.4,256.0,1.0,0.001,0.003225,-0.00747,-0.046766,0.2882,0.302286,0.280273,,,,0.04,19260817.0,False,40.0
200.0,2.0,0.4,0.4,256.0,0.01,0.001,0.026344,-0.000344,-0.042928,0.284839,0.301215,0.279758,,,,0.11,19260817.0,False,41.0
25.0,16.0,1.0,1.0,64.0,1.0,1.0,0.99975,-0.098537,-0.065974,0.004565,0.315653,0.282832,,,,8.99,19260817.0,False,42.0
200.0,16.0,0.4,0.4,256.0,1.0,0.001,0.178659,0.007603,-0.031317,0.261612,0.300016,0.278197,,,,63.49,19260817.0,False,43.0
