pyq_text_0,pyq_text_1,pyq_text_2,pyq_text_3,pyq_text_4,pyq_text_5,pyq_text_6,pyq_text_7,pyq_text_8,pyq_text_9,pyq_text_10,pyq_text_11,pyq_text_12,pyq_text_13,pyq_text_14,pyq_text_15,pyq_text_16,pyq_text_17,pyq_text_18,pyq_text_19,pyq_text_20,pyq_text_21,pyq_text_22,pyq_text_23,pyq_text_24,pyq_text_25,pyq_text_26,pyq_text_27,pyq_text_28,pyq_text_29,pyq_text_30,pyq_text_31,title_0,title_1,title_2,title_3,title_4,title_5,title_6,title_7,title_8,title_9,title_10,title_11,title_12,title_13,title_14,title_15,title_16,title_17,title_18,title_19,title_20,title_21,title_22,title_23,title_24,title_25,title_26,title_27,title_28,title_29,title_30,title_31,reposted,label
-6.878695,-3.5482001,4.906215,-0.7212309,-3.7461946,-3.6599019,-6.2918644,2.590805,-3.1529453,-5.0071354,0.2045389,0.93675244,0.3200693,-0.4392314,1.312565,-5.1411285,0.04273616,1.4214529,-0.13679892,-1.6280844,-1.0907017,0.73293614,0.48434895,-0.061955154,2.905603,0.45586982,-4.117126,-1.4813824,0.53312117,-0.40893465,-1.7195767,-1.3583097,4.663014,6.660024,-5.3296213,-5.6063643,-0.44799498,-0.9640501,-0.7447381,-0.8452008,-0.49852622,1.4122851,1.6296353,0.19032568,0.52153236,1.0021276,-1.1416107,-0.5155055,0.41086152,-0.10084257,-0.18559963,0.7968668,-0.7034975,-0.64827657,-0.23235786,0.49841827,-0.175017,0.2698994,0.9487928,0.18283713,0.10758163,-0.13638033,0.40216014,1.1303495,0,0.1303030303030303
18.69331,-0.35853845,0.54530156,0.19716935,-0.51722664,-0.5673712,-0.33630192,0.2141668,-0.105553225,-0.2459223,-0.025856465,-0.37198535,-0.272966,0.1640233,0.007503167,-0.27318743,0.7252562,-0.37075773,-0.09947718,-0.033485696,0.28462046,-0.042475022,0.092164025,0.21854597,-0.20829886,0.0546602,0.106435,0.027658239,0.11050736,0.3731647,-0.05156848,0.20269647,-5.63144,-0.95947295,-1.4220035,-1.5206037,-1.0786479,-0.7150134,-0.40319887,1.6120607,-1.9963214,-0.15546714,0.7811658,0.0967207,-0.6990553,1.2658569,-0.2813234,-1.2979052,-0.14538138,-0.08996346,0.028090477,-1.0495423,-1.4060116,-0.17394756,-0.63670003,-1.2980865,0.6390013,-0.90724725,1.4432609,0.26632226,-0.64043254,-1.0848567,-0.12582184,1.3724502,0,0.9151515151515152
-1.3830278,14.2506,-0.7372815,-4.2032876,-2.169564,-2.732108,-0.12202123,-0.32675385,0.8705985,-0.3713413,1.0906713,1.1243895,-1.141709,0.8729436,0.3198353,0.7409028,-1.0233375,0.6308246,0.22377625,-0.50874645,-0.34381995,0.46715117,0.117405415,1.24165,1.7783333,-0.925628,0.2826203,-1.6438884,0.7593633,0.14572755,0.44555432,0.8115992,-5.953202,-1.3488741,0.08410224,-1.8421056,-0.15478723,-1.2128556,-0.40612015,-0.60956097,-1.21471,-1.431083,-1.4698877,-0.40336698,-1.8665045,-1.1991056,-0.86960596,0.32129216,0.3976503,1.2840159,0.5800107,-0.7677592,1.4247187,1.8040875,0.7276656,-2.6576517,0.019828979,3.1025352,0.78521764,2.200167,1.0933769,0.7778363,0.3250686,1.0614828,0,0.3696969696969697
-2.1973007,0.5298336,5.313924,0.94945085,1.54598,-0.68575186,0.50968075,6.361792,3.3913455,3.2239895,2.704151,0.551134,-2.5377078,3.6290057,2.2410617,0.9892813,-4.296091,1.2845708,-0.018792838,-1.7038517,1.4272974,-1.4198846,2.9381936,-2.2572985,0.7759086,1.6018592,0.9661538,0.22584197,0.54455286,1.6533804,1.7595085,-0.08273816,1.3907642,7.293945,13.407188,-3.824514,-5.372853,6.8020344,0.6174754,-2.6568286,1.0108476,-2.803143,0.6735558,-1.9915125,-3.9204779,5.1277,-4.412372,4.3983145,-1.8350616,-2.229098,4.373559,-4.585064,1.2453068,-1.4572216,-1.659169,-1.4329268,0.76089203,-0.89622784,-1.872463,0.54109114,3.5280979,-2.0989354,2.3860605,-1.0813379,1,0.34545454545454546
-1.8873887,-0.09875816,0.51754606,-0.24258842,-1.7472672,-2.1019146,-1.6788796,2.0364685,-1.6905124,0.7719111,3.7446752,0.29584438,0.23145288,2.0960178,-2.6501458,-5.187273,-2.8882573,-0.9703969,0.33484927,-3.7845583,-0.34079146,2.0947058,-1.3395133,-0.10194744,-1.4316496,-0.59002274,2.241283,0.15744984,-0.3078988,-0.20447499,0.029046763,4.3052235,0.36717695,-0.040230215,-0.6746389,2.8942437,0.5862509,0.10814782,2.0982711,0.8530769,-3.3683512,-3.089406,-1.7581819,2.8972611,0.16398919,0.35955316,-2.8892727,1.5322819,0.73516166,0.49013186,-1.4970272,2.7476912,0.24391937,-0.008605659,-0.67066646,0.5345968,1.0216551,1.8044107,-1.859663,-0.72575593,-2.777586,-1.8345106,1.4017661,-1.5731835,0,0.7090909090909091
-2.4995565,5.8088264,1.617687,8.697948,5.5031943,2.690524,2.7605834,-3.051464,0.3216617,-1.589733,-0.4851912,5.0663214,-1.9578078,1.3379345,-1.3702298,-0.12553078,4.591151,4.323496,-2.436676,0.49452007,-3.2434232,-1.4479682,-4.2832665,-0.31076446,-4.7357364,2.9778657,1.2975101,-1.9114366,-1.2270167,0.500658,-0.7900119,-1.2194666,6.8327103,-5.310821,0.37691915,-2.4047334,-1.2845807,0.8330692,-1.010631,-0.50430834,-1.0288448,-0.304975,-0.6574241,0.28421837,-0.26812804,-1.2917635,-1.223636,-1.1047794,0.21052982,0.5524164,0.38784775,0.2857692,0.6699743,0.78534186,-0.55587494,-0.8089349,0.3008343,0.06710331,-1.7638429,-0.85683244,-0.696195,0.6527053,0.43333933,-0.19712433,1,0.9030303030303031
-1.0215752,0.547929,1.4258559,-1.7350585,4.061876,6.045948,-0.73043495,2.9048636,-3.637754,-2.1326144,4.6368456,0.020820748,-0.62625766,-4.57413,-1.8267696,0.8406488,2.2923744,-2.2797341,-0.10689131,3.0510597,-1.5947887,0.94527245,-0.09054598,1.7630037,-0.41202542,-2.0119932,-1.5764165,-0.7338984,-4.9537177,1.2166508,1.5182103,-1.2470858,-5.8371177,-1.8394678,-0.5538322,-0.91945016,-2.027379,-1.7406541,-0.10616407,1.1060818,-1.5707173,-1.4345748,1.216008,-1.9187884,-1.2521744,0.211304,0.15539435,0.36121693,-2.0180223,-0.26787794,0.2658673,0.2256933,-1.3500173,-0.012909576,-0.21292429,0.000591537,-0.22260343,1.041268,0.13775069,0.44479927,0.3085149,1.9786172,0.6530943,0.79099023,0,0.6363636363636364
-4.439686,-1.2274795,-7.2284727,-1.3019887,-0.72182643,-1.6356282,4.694459,3.6176014,-0.33098274,-2.019501,1.0760587,-3.2286224,-0.7752303,0.59217834,-2.6456852,-0.098631315,1.2885599,2.2576568,-0.11153156,-3.5259225,-1.1579338,2.7366338,-1.1506793,2.4633975,-3.4407458,-2.3476489,-1.174017,0.7347157,5.416483,1.3774881,-1.3563976,-2.5061755,-6.795675,-1.7486755,0.43136007,-1.9607702,0.79812646,2.661553,1.6452433,-1.84692,1.5732784,3.1432881,0.5896426,0.044021115,1.876447,-1.1417892,-0.6991143,-1.0610511,0.81944793,-0.15291587,-1.4241023,1.0851927,1.5635914,2.019648,0.8948553,-1.9218298,0.7754632,0.54308486,0.8217759,-0.18422678,-0.3725436,0.8896656,0.099164054,-1.6682789,0,0.38181818181818183
-4.0816245,-2.6138558,-5.00727,-1.8727688,2.0042913,-1.5435156,5.049857,-4.726164,-0.69428754,-6.194738,2.6592474,-4.1495385,1.1816791,-1.3302699,2.9839985,-1.3599952,3.8521404,1.6220031,-2.1039038,-2.0128336,1.0475125,-0.015801419,2.2859843,-0.006924592,-2.0512908,0.20566128,-0.6137425,0.5815515,0.7305715,-1.7854476,2.4029467,2.2246013,4.2242756,-3.572524,1.7866338,0.108410254,9.834976,-1.2504454,1.884515,1.3143812,1.7174126,-0.19909608,3.9030359,0.186743,-1.2353411,3.2871099,-0.51886684,1.2014675,0.43305397,-0.06325248,-0.7807268,0.10087709,-1.0619963,-0.48883814,-0.33702576,-0.48274967,1.3639596,-0.17722693,-1.1963964,-0.65756345,0.43657488,0.59774333,-0.17566843,0.3131116,0,0.7515151515151515
-2.3080158,-1.8256776,0.07861707,-0.26787585,0.72775793,0.21084143,-2.3033566,-1.8641877,1.7794366,1.8906822,0.8898661,-0.2820543,2.5026584,-4.9152803,-3.9486437,-5.067318,-3.2323332,0.77458644,0.18091047,-0.8540072,-3.2019284,-0.41372603,4.891198,-0.34423313,-4.002468,-4.310131,2.0958672,-2.514832,-1.2852418,2.9059434,-1.6164839,-0.6999631,2.7288635,2.7848978,-1.791769,1.4184496,-0.15407693,-2.4577289,-0.41866383,-1.5254087,0.9943042,-0.7968604,0.4550127,-0.71201277,-1.3610214,-0.121500134,0.9977156,0.56085503,0.04290424,1.1619393,-0.7376396,0.3968324,1.867538,0.29107547,-1.4057097,0.9087149,1.2230653,-1.8187017,-0.7977978,-0.19071758,0.07769895,0.6905813,0.9843636,-0.84729826,0,0.37575757575757573
-4.0458775,-1.2903821,6.853673,2.4381342,1.1476544,1.3847184,6.786282,6.8408556,1.7989459,0.77304685,-3.213976,-1.5338365,-2.337098,-4.6095366,-2.391637,-0.6698076,-0.42220658,-2.4985764,2.2420626,-3.5452936,-0.96288395,0.9794407,0.21408743,-0.3291756,-3.1006427,-4.8138475,-2.3194306,1.5451949,1.8036158,-1.1657587,-2.3360174,1.5906379,2.7187667,-4.6126356,1.317118,0.28619787,2.706286,1.6224806,0.10299963,0.1306366,0.9909658,-0.6972409,-0.14763236,-0.6142467,3.7256289,-0.5579797,1.1375306,-1.8776742,-4.290086,0.18464448,0.33340985,-0.7511244,-0.17540847,-1.4393615,-0.5337628,3.6070528,-3.2034006,-1.2447317,-1.233999,2.0448482,0.9304863,-0.15894791,-0.46827632,-0.334492,0,0.23030303030303031
-2.7210035,14.956322,-0.27345917,-2.6975703,-2.659322,-2.4378195,0.9906207,-1.1879412,2.0315585,-0.041487843,1.7991016,0.24898754,-2.2749248,0.5842225,-1.2109159,0.09996988,-0.4600234,1.6422317,0.08462854,-0.54285794,1.0714611,1.1965488,1.2139285,1.7468983,-0.02363284,0.22111894,-0.7079314,-0.8234069,0.51684284,0.9771823,0.97936785,-0.80181754,-5.144389,-0.9035421,-1.1942939,0.81314826,-2.530291,-0.7159883,2.007094,-0.9915339,1.3502526,1.0269828,0.27719703,0.54213935,-0.5865318,0.25125575,0.33555007,1.8807279,-0.60336494,-0.26766935,-1.1435075,-0.85670555,1.0444583,-0.9571688,-0.6471656,-0.17592725,0.96725607,-1.4589114,0.49713093,-0.83250666,-0.7982333,0.5956134,-0.6758394,0.22673087,0,0.9878787878787879
