iter	Passed	Remaining
0	162	32278
1	419	41499
2	464	30478
3	589	28903
4	703	27440
5	967	31269
6	1252	34539
7	1267	30417
8	1283	27236
9	1307	24850
10	1313	22564
11	1653	25903
12	1655	23816
13	1941	25795
14	2229	27498
15	2231	25659
16	2460	26487
17	2473	25007
18	2727	25984
19	2795	25161
20	2905	24767
21	2909	23538
22	2936	22595
23	3215	23578
24	3444	24110
25	3720	24900
26	3731	23908
27	3796	23318
28	3877	22862
29	4123	23368
30	4137	22553
31	4372	22955
32	4660	23587
33	4860	23728
34	4863	22926
35	4912	22381
36	5176	22802
37	5188	22121
38	5190	21425
39	5357	21429
40	5616	21779
41	5824	21912
42	5831	21290
43	6045	21433
44	6048	20832
45	6251	20930
46	6504	21173
47	6630	20995
48	6699	20644
49	6719	20157
50	6731	19667
51	7059	20092
52	7089	19663
53	7176	19402
54	7416	19551
55	7449	19156
56	7675	19257
57	7715	18889
58	7992	19101
59	8121	18950
60	8386	19111
61	8657	19270
62	8869	19288
63	9174	19495
64	9361	19442
65	9642	19577
66	9866	19586
67	10051	19511
68	10103	19181
69	10134	18822
70	10138	18421
71	10147	18039
72	10224	17788
73	10620	18083
74	10830	18050
75	11187	18252
76	11206	17900
77	11207	17528
78	11513	17634
79	11775	17662
80	11851	17410
81	11857	17063
82	11983	16892
83	12317	17009
84	12653	17119
85	12658	16780
86	12885	16736
87	12944	16474
88	12948	16149
89	12960	15840
90	12989	15559
91	13285	15596
92	13325	15331
93	13388	15097
94	13699	15142
95	13756	14903
96	13855	14712
97	13921	14489
98	14183	14470
99	14187	14187
100	14440	14154
101	14633	14059
102	14636	13784
103	14838	13696
104	15028	13597
105	15110	13399
106	15136	13155
107	15416	13132
108	15450	12898
109	15748	12885
110	15749	12628
111	15752	12376
112	15969	12295
113	16002	12072
114	16002	11828
115	16056	11626
116	16165	11468
117	16447	11429
118	16449	11196
119	16471	10980
120	16559	10811
121	16560	10587
122	16909	10585
123	17084	10470
124	17359	10415
125	17429	10236
126	17527	10075
127	17835	10032
128	17837	9817
129	18023	9705
130	18115	9541
131	18392	9475
132	18451	9295
133	18520	9122
134	18528	8921
135	18530	8720
136	18537	8524
137	18821	8455
138	18826	8262
139	19020	8151
140	19158	8016
141	19541	7981
142	19726	7862
143	19775	7690
144	19779	7502
145	20018	7404
146	20020	7218
147	20107	7064
148	20149	6896
149	20359	6786
150	20362	6607
151	20653	6522
152	20667	6348
153	20670	6174
154	20768	6029
155	20825	5873
156	20910	5726
157	21179	5630
158	21396	5517
159	21400	5350
160	21456	5197
161	21553	5055
162	21625	4908
163	21680	4759
164	21760	4615
165	21862	4477
166	21879	4323
167	21973	4185
168	22208	4073
169	22248	3926
170	22268	3776
171	22350	3638
172	22402	3496
173	22512	3363
174	22540	3220
175	22817	3111
176	23018	2991
177	23027	2846
178	23318	2735
179	23515	2612
180	23556	2472
181	23557	2329
182	23789	2209
183	23890	2077
184	24080	1952
185	24152	1817
186	24194	1681
187	24463	1561
188	24538	1428
189	24846	1307
190	24907	1173
191	25136	1047
192	25167	912
193	25171	778
194	25212	646
195	25291	516
196	25397	386
197	25405	256
198	25691	129
199	25711	0
