pyq_text_0,pyq_text_1,pyq_text_2,pyq_text_3,pyq_text_4,pyq_text_5,pyq_text_6,pyq_text_7,pyq_text_8,pyq_text_9,pyq_text_10,pyq_text_11,pyq_text_12,pyq_text_13,pyq_text_14,pyq_text_15,pyq_text_16,pyq_text_17,pyq_text_18,pyq_text_19,pyq_text_20,pyq_text_21,pyq_text_22,pyq_text_23,pyq_text_24,pyq_text_25,pyq_text_26,pyq_text_27,pyq_text_28,pyq_text_29,pyq_text_30,pyq_text_31,title_0,title_1,title_2,title_3,title_4,title_5,title_6,title_7,title_8,title_9,title_10,title_11,title_12,title_13,title_14,title_15,title_16,title_17,title_18,title_19,title_20,title_21,title_22,title_23,title_24,title_25,title_26,title_27,title_28,title_29,title_30,title_31,label
-5.418774,-2.1061277,11.737682,-1.8826487,4.312878,0.52107346,3.5290794,-2.5050597,-0.67119133,-1.3558654,2.0492933,2.769736,-2.7698548,2.0376828,2.2351756,2.6787622,0.82891977,-1.0236423,-1.1519371,1.0627291,3.6949883,-2.1378555,-2.4692063,0.009096205,0.8168561,0.88223517,-1.2674971,-1.0336635,0.046097934,0.042894125,-0.43093225,-2.572704,-4.8075433,-7.335327,-5.911333,-0.6870231,2.824202,0.60056627,-2.3430557,0.3988126,-1.5834632,0.16603339,0.46631747,1.0066478,0.5869919,-0.62458944,0.053485718,-0.13869089,-0.25444782,-0.85221666,1.190729,0.60856473,-0.14105706,0.94453984,0.33081925,0.22551808,-0.11159131,-0.13975915,-0.9368262,-0.13607281,0.63028836,0.33587343,0.2593054,0.62398267,0.13347457627118645
16.202675,0.9035667,0.65991116,0.078347385,0.034093667,-0.25186622,0.5437329,0.16009262,-0.26300326,-0.33681762,0.1963391,-0.3569395,-0.13825354,0.119938195,-0.16292632,0.22505996,0.40300822,-0.010442287,0.4922827,-0.13381676,0.41654146,-0.14829147,0.61151016,0.19057062,0.078868896,0.20705596,-0.13733417,-0.021155298,-0.11681142,0.12025058,-0.04765676,-0.42246318,6.94163,1.0759648,-0.3900538,-1.2623436,1.5016141,-0.3986274,-0.02995116,-2.357402,-0.18750864,-0.6739184,-1.8103305,2.743222,0.6376823,0.32042733,-0.38881838,0.22327691,-1.2025123,-0.202768,1.8451984,1.0794914,0.6670808,0.29012,1.8369215,0.46144885,0.48538086,0.040523846,0.71900535,-0.6450048,-1.3863513,0.99897146,0.15218632,-0.07080345,0.9364406779661016
-1.7846255,8.870025,-2.0002108,-6.596858,3.5457754,0.4513673,-1.1407893,-1.183002,-0.23417397,-2.1638193,-2.146147,2.4126697,1.534958,-0.69784164,0.31840068,-0.974831,-1.9618999,-0.47569174,0.20953345,0.97665703,-0.6850384,-2.2398264,1.1481873,-0.83762145,0.8996949,-0.21338195,-1.3045161,3.0391974,0.08420038,0.6883731,-1.0686868,0.122942105,7.282996,-0.5053638,-0.58731335,-0.82645786,0.5175372,-2.7721603,0.7514675,-1.6400356,-1.1126428,0.4855452,1.1507871,1.6896415,0.921085,1.7068603,0.95636666,-0.35969824,1.4690858,-1.3004128,1.555373,0.005258769,1.5024538,-0.4097429,0.53061116,-1.3190151,-2.376327,0.8451512,-1.670594,1.5305598,2.9055617,0.7671293,-1.1611745,-1.8441207,0.3601694915254237
-2.0402162,-4.835045,-1.341657,-2.22121,-6.532049,6.9280615,1.0859104,-0.3467514,1.6141403,-0.44173765,0.20305783,-3.204348,0.87790227,0.054801263,-1.1280528,-1.3621657,-1.3204528,1.427785,-1.0498661,0.54273975,-0.35289976,-0.56935453,-0.72145975,2.4624012,-2.5662327,1.9571681,-0.6754455,-2.2038584,0.7223904,-0.49546468,-0.72689825,-0.50390637,-2.7393527,-4.445059,4.33343,15.896242,2.3652744,0.2309098,5.13883,-1.1305944,2.3878868,3.782446,1.3128986,4.935961,-3.4334044,-0.5344411,5.3196144,1.2013463,-0.3622419,-1.9230596,0.8987694,-4.3366976,-0.116941586,-3.0084465,2.187896,0.6243168,0.7734353,-2.290803,-0.7674527,3.422597,1.840983,-1.492531,0.23362327,2.4276137,0.3389830508474576
-0.8461591,-0.6367265,-2.6336002,-1.8142512,2.3592978,0.28990948,1.0263692,-1.7121482,4.4405403,3.30261,4.803838,1.2867016,2.59591,-2.7275746,-2.6993632,3.275808,0.022465289,-3.1003072,0.1772008,0.6894358,-0.8788045,-2.994929,1.3987385,-3.1639972,2.875118,0.5280788,0.35704654,-1.7481841,3.4990993,-1.4804877,1.3847506,-2.7317019,-1.128343,0.26406288,0.45887846,0.7978922,-4.116504,-3.1022844,2.904018,-0.87385905,-3.6597445,-2.3153849,-2.3899097,-0.63358176,0.22219299,-1.3292652,-1.6266781,5.22219,-0.16996574,-3.3123748,0.70546687,2.6340914,0.9586203,0.16445577,0.3675167,0.81954396,-2.711575,-2.0503075,0.53478414,-1.4766326,-2.5479474,-0.2570747,-2.0763934,-1.7798511,0.6652542372881356
-1.5358119,-2.1864243,-2.1661186,0.16654813,2.490337,0.3508908,0.116261005,2.3751876,-4.154505,9.033455,-3.4663901,-4.423778,-4.8257356,-3.0490203,-1.9172387,-1.8439331,-4.641666,3.9549549,-4.992155,1.8159862,0.8413763,-3.2974944,0.24116746,-1.6655918,-0.16212007,-1.7276804,0.9757438,-0.27001348,-0.57311773,0.26481012,-1.1298211,-0.42455065,-5.5007124,7.422023,-2.1613371,1.1764628,2.7909799,-0.72961766,0.69760555,1.080544,0.8610581,0.66615653,-0.45303804,-0.17794803,0.4772277,0.2742585,0.12053797,-0.14261854,-0.56584644,-2.2524176,0.6620725,-0.6118575,-1.1995195,0.89896446,-0.36275268,0.8688853,1.1508794,-0.21992269,0.7106186,-0.41177815,1.1505467,0.7585262,-0.57665294,0.099390574,0.902542372881356
0.13733545,-3.9354181,-1.5492561,-0.5261618,-2.1345284,4.0569057,-2.2246304,2.4902358,7.8935547,3.4235954,0.31548476,1.3946337,1.3449737,1.0567087,1.8095776,0.5676025,1.5221031,-1.0231761,0.60144687,4.876827,1.4558403,-2.022791,0.12469497,-2.6388135,3.0280876,-1.4731628,-0.12791586,-2.315624,0.88936424,-0.30237517,-0.54355824,-1.4921559,5.860514,1.3987577,-2.1771064,-1.1288755,-0.117209755,-2.143549,1.8699906,-3.607599,0.00671044,-0.26976103,0.5837316,1.8650191,-0.54075605,0.24602303,0.5738064,0.030996991,-1.0310302,-0.9961156,-0.8067834,-0.2320427,0.44555265,0.47167778,0.18318056,-1.1731985,-0.6057479,0.8012402,1.6834894,-1.0607827,-0.1212018,-0.9612158,-0.57871,-0.4837491,0.5932203389830508
-4.4182715,0.65725815,-0.80012196,5.172635,5.1334414,-0.04039698,0.46110564,-2.8339267,-0.8527148,0.012004077,0.33740985,-2.3136442,-1.3599691,0.9571279,1.6860635,-1.0506431,4.6633334,-2.0649695,-3.0839157,-3.5261383,-0.45020276,1.8996798,-3.5493407,3.0563073,-2.248478,-0.3544796,0.72096634,-0.8759227,-0.43034348,-1.0536865,-0.013892889,-0.91090983,7.1231375,-1.2004759,-0.5504209,1.9345737,-1.3274623,2.4139066,-0.9089413,5.900484,2.791553,1.5324725,0.40332788,-0.60486376,-0.42805558,0.06570844,-2.619843,-0.081210405,0.75856364,-0.3221084,2.123384,0.07021512,-1.3100045,-0.39876148,0.49932554,0.22994766,-0.6946801,-1.3347427,-0.44216353,-0.0011801124,0.07203004,-1.1823095,-0.41778296,-1.5497749,0.3686440677966102
-3.0411837,1.126386,-2.2157013,7.519234,7.566991,6.5079174,3.3026752,-1.7232587,-0.08769886,-0.043626636,-0.5489662,0.9262659,0.42784443,1.2574067,-0.010459125,2.2980778,0.18356824,-0.7749548,0.15209055,-1.2889991,1.601838,1.4626501,3.1429744,0.41835296,-0.7950998,-0.34936118,-2.4960535,-1.9069862,1.3440279,-2.0162158,1.2000084,3.1425853,-4.263068,2.1835015,-0.35968077,4.430373,-4.903316,8.45417,-2.4162798,-4.316335,-0.5182804,-1.7595248,-2.3528585,-1.1136445,0.5849536,-0.34966373,-1.1655632,-1.4762869,-1.0635352,-2.263442,-0.38124302,-0.6665474,0.19364049,-0.70181084,1.517139,0.640291,-0.45406556,1.4719095,-0.13458076,-0.4294934,0.23045737,-0.13745406,1.1936638,-0.467331,0.7288135593220338
-3.366599,5.881069,0.371715,-2.7889104,-2.0306735,-0.5540773,-0.19685793,0.70152164,1.7378416,-0.09476219,-1.6637726,3.0151515,-0.048649788,2.7966037,-1.7141871,-0.93526554,1.0838485,-2.7878258,-0.65900916,-0.91136444,-1.7280934,-2.7513084,-2.2662945,-1.3184249,-2.4734662,4.260473,0.87937903,-1.8601538,-5.9887323,0.10176134,1.2460538,-1.1233599,-3.6390707,-3.7426038,-0.9283112,-0.739363,-1.2125187,-4.1191716,-2.3727028,0.42119816,-0.01692409,-0.65180564,-2.695706,1.7647206,0.54531705,0.14296317,-1.836187,1.6513823,0.2842414,-0.86648476,0.34034228,1.7013478,-1.3263288,-3.6946933,0.7085153,0.55213654,0.08589965,1.2059674,3.2154207,-0.28165787,0.053915232,0.8171274,-1.6379153,-0.3994966,0.3644067796610169
