iter	Passed	Remaining
0	142	3412
1	336	3864
2	455	3339
3	971	5100
4	1270	5083
5	1807	5722
6	2356	6058
7	2954	6278
8	2996	5327
9	4310	6465
10	5625	7160
11	6998	7581
12	7209	6655
13	7770	6105
14	8323	5548
15	8461	4759
16	9689	4559
17	10908	4242
18	11399	3599
19	12560	3140
20	12718	2422
21	13005	1773
22	13653	1187
23	14801	616
24	16036	0
