iter	Passed	Remaining
0	141	28077
1	3348	331514
2	5196	341261
3	5285	258995
4	10744	419020
5	24858	803773
6	28998	799532
7	42748	1025973
8	57882	1228401
9	67520	1282894
10	67993	1168250
11	68122	1067246
12	76982	1107367
13	77059	1023791
14	77076	950613
15	84981	977282
16	92883	999863
17	94521	955716
18	100445	956875
19	100510	904597
20	100530	856902
21	101105	818037
22	101307	779625
23	101375	743421
24	102843	719901
25	111151	743859
26	118806	761240
27	130220	799925
28	130509	769557
29	130557	739824
30	131383	716254
31	134509	706175
32	137635	696519
33	145895	712314
34	146084	688684
35	151940	692172
36	157448	693624
37	264008	1125508
38	319707	1319816
39	343593	1374374
40	358346	1389684
41	359316	1351714
42	390342	1425205
43	390358	1383996
44	426853	1470273
45	427059	1429720
46	562455	1830971
47	592742	1877017
48	599315	1846870
49	629839	1889519
50	694844	2030034
51	720429	2050453
52	803852	2229552
53	804169	2174234
54	823391	2170759
55	854507	2197303
56	855083	2145210
57	883442	2162910
58	883852	2112258
59	883922	2062484
60	993265	2263343
61	1010739	2249711
62	1016620	2210745
63	1054048	2239852
64	1096271	2276872
65	1140420	2315399
66	1140534	2264045
67	1232922	2393320
68	1239693	2353621
69	1244491	2311198
70	1244750	2261588
71	1263144	2245590
72	1263246	2197703
73	1263348	2151106
74	1269277	2115462
75	1287212	2100189
76	1287797	2057130
77	1288321	2015067
78	1310096	2006603
79	1328055	1992083
80	1328319	1951481
81	1336335	1923019
82	1336416	1883863
83	1355349	1871673
84	1356549	1835332
85	1356719	1798442
86	1363029	1770372
87	1383686	1761054
88	1385181	1727586
89	1393249	1702860
90	1393303	1668902
91	1393383	1635711
